fiscal_year	IsAbove2018constantCommercialItem7500k	IsAbove2018constantCostAccounting2000kThreshold	CostAccountingStandardsClause	costorpricingdata	IsSealedBid	IsCommercialitemacquisitionprocedures	isforeigngovernment	FixedPriceEffective	AlwaysCAUisCASexemptOrWaived	contractingofficerbusinesssizedetermination	n_cau	obligatedamount
2016	1	1	NULL	Y	0	1	0	0	1	S	7	20322790.2400
2005	0	1	Y	N	0	0	0	1	1	S	7	4524330.0000
2007	0	0	X	N	1	1	0	1	1	O	406	23213454.1168
2019	0	1	N	W	0	1	0	0	1	S	8	933577.8047
2015	0	0	Y	Y	1	0	0	0	0	O	1	0.0000
2019	1	1	N		0	1	0	0	1	S	3	0.0000
2011	1	1		Y	1	0	0	0	1	O	16	3317336.0000
2022	1	1	X	N	0	1	0	1	1	S	2869	3177184798.3808
2011	0	0	Y	NULL	0	0	0	0	1	O	20	0.0000
2012	0	1	Y	W	0	0	0	0	0	S	1	0.0000
2010	1	1	Y	Y	0	1	0	0	1	O	2	0.0000
2016	0	0		N	0	0	0	0	1	O	125374	3008648994.5624
2022	0	1			0	0	0	0	0	O	685	289367510.4289
2013	0	0	Y	N	0	0	1	0	0	O	9	-3310.0800
2016	0	0	X	W	0	1	0	0	1	S	38	2046251.5323
2019	0	1	X	W	0	1	0	1	1	S	6	554212.5800
2006	0	0		N	0	1	0	0	1	O	55	15953587.9891
2023	0	1	X	N	1	1	0	1	1	S	65	26467878.1644
2002	0	0	X	W	0	0	0	0	1	S	753	62805284.0000
2015	0	0	NULL	N	0	0	1	0	1	O	256	23269114.4400
2013	0	0			0	1	0	0	1	S	92972	2061826162.4531
2007	0	0	X	W	1	1	0	0	1	S	1	-11033.0000
2024	0	0	Y	N	0	1	1	1	0	O	5	5388.8003
2023	0	1	Y		0	1	0	0	0	O	1	0.0000
2014	0	0		W	0	0	0	1	1	O	626	32546073.8784
2017	1	1	NULL	NULL	0	1	0	0	1	S	138	72661500.8000
2015	0	1	Y	N	0	1	0	0	1	O	6	-406114.1100
2022	0	0	N		0	1	0	0	1	S	6	0.0000
2008	0	0	X	Y	0	1	0	0	1	S	445	19981563.1399
2011	1	1	X	Y	0	0	0	0	0	O	3098	4605384284.9056
2020	0	1	X		0	1	1	0	1	O	3	0.0000
2018	0	1	N		0	1	0	0	1	O	9	0.0000
2002	0	1	Y	N	0	1	0	1	1	O	16	14532039.0000
2023	0	1	X	N	0	1	0	1	1	O	1126	487897994.7755
2019	0	0	N	N	0	0	NULL	1	1	O	3	-324245.9500
2001	0	0			0	0	0	0	1	S	6	128241.9400
2022	0	1		W	0	0	1	0	1	O	1	-61187.0000
2021	0	0		N	0	0	1	1	1	O	59	2063364.4727
2008	0	0	X		0	1	1	0	1	S	20	653222.1386
2014	1	1	N	N	0	0	1	0	1	O	2	0.0000
2020	0	0		Y	1	0	0	0	1	S	2	2790300.0000
2017	0	0	Y	N	0	0	0	1	0	O	299	21768178.7464
2004	1	1	X	N	0	0	0	0	0	S	877	362513695.0000
2023	0	0	Y	N	0	1	0	0	0	S	539	50123009.5903
2009	0	1	Y		0	1	0	0	0	O	1	0.0000
2023	1	1	Y	N	0	0	0	0	0	S	2149	1304492715.3623
2002	0	0	X	N	0	1	0	1	1	O	35225	3210647179.5000
2015	1	1	X	N	0	1	0	0	1	O	3353	3326229567.4867
2019	1	1	X	Y	0	1	0	0	1	S	54	62733626.5372
2011	0	1		Y	0	0	0	0	1	S	424	395325700.9799
2018	0	0	NULL	N	0	1	0	0	1	S	35	1997378.6000
2007	0	1	X	Y	1	0	0	0	1	O	39	21525943.5888
2009	0	1	X		0	0	0	0	0	S	2	0.0000
2010	1	1	X		0	0	0	0	1	O	3551	8612233005.3068
2023	0	0		N	0	0	0	0	1	S	46026	761366159.8952
2009	0	0	N	N	1	1	0	1	1	O	6	658584.2000
2002	0	0	X	N	1	0	0	0	1	S	88	2814015.0000
2016	0	0	NULL	Y	0	0	1	0	1	O	2	150500.0000
2020	0	0	NULL	W	0	1	0	0	1	O	28	3849521.8300
2005	1	1	X	Y	0	0	0	0	1	O	4024	14065645553.4197
2004	0	0	Y		0	0	0	0	1	S	6	901313.0000
2023	0	0	N	N	0	0	0	1	1	O	45	420395.9175
2007	1	1	X		0	0	0	0	0	S	105	88824823.2600
2024	1	1	X	W	0	0	0	0	0	O	8	2084656.5625
2019	0	1	X	W	0	1	1	0	1	O	2	0.0000
2012	0	1	X	N	1	1	0	1	1	O	15	4559402.0625
2005	1	1	Y		0	0	0	0	1	S	1	17000.0000
2016	1	1		Y	0	0	0	0	1	S	732	586519838.0520
2016	1	1	NULL	W	0	1	0	1	1	S	1	21410410.0000
2019	1	1	X	N	1	1	0	1	1	O	19	3625268.8912
2004	0	1	X	N	0	0	0	0	0	S	40	8923336.0000
2006	0	1	X		0	0	0	0	0	O	2677	1932589908.3571
2020	0	0	X	N	1	0	1	1	1	O	1	781762.2500
2016	0	0		N	1	1	0	0	1	O	43	3780880.5498
2011	0	1		W	0	1	0	1	1	S	6	5161744.6250
2022	0	1		W	0	0	0	1	1	S	26	12975719.7793
2009	0	0	X	W	1	1	0	0	1	S	1	0.0000
2013	0	1	Y	NULL	0	1	0	0	0	O	24	0.0000
2004	1	1	X		0	1	0	0	1	S	281	304146274.7500
2024	1	1	X	W	0	1	0	0	1	O	25	45733148.9062
2012	1	1	Y	N	0	1	0	0	1	S	8	0.0000
2013	0	1	X	Y	0	1	0	0	1	S	143	33008851.0938
2009	1	1	X		0	0	0	0	0	S	24	4559580.5500
2009	0	0		N	0	1	0	0	1	O	207	4386700.8128
2017	0	1		W	0	1	0	1	1	O	27	22360995.0653
2010	0	0	NULL	N	0	0	0	1	1	O	2	0.0000
2014	1	1	N	N	0	0	0	1	1	S	166	70202132.0200
2011	0	1	Y	N	0	1	0	0	1	O	22	4929102.7077
2005	1	1	X	N	1	1	0	0	1	O	12	31579146.0000
2006	0	1	Y	N	0	0	0	1	0	S	72	66598406.7891
2001	0	1	X	W	0	0	0	0	1	O	111	175768320.0000
2019	0	1	X	N	1	1	0	0	1	S	6	3600.8404
2011	1	1		W	0	0	1	0	1	O	5	42790114.5000
2016	0	0	X		0	0	0	0	1	S	104	-1879041.7018
2014	1	1	X	W	0	0	1	0	1	O	16	1306445.2800
2019	0	1	Y	Y	0	0	0	0	0	O	1385	418588305.9330
2018	1	1	N	Y	0	1	0	0	1	S	7	0.0000
2020	0	1	NULL	N	0	0	0	1	1	S	5	2010734.8900
2009	0	1	X	W	0	1	0	0	1	S	37	24557135.1241
2023	0	0	Y	N	0	0	0	1	1	S	68	2816933.9028
2007	0	1	X	N	0	1	0	0	1	S	3884	1069069589.7424
2002	1	1		Y	0	0	0	0	0	S	1	0.0000
2004	0	1	X	Y	0	0	0	0	1	S	1880	1270069958.0150
2022	0	0		N	0	0	0	1	1	S	14685	1914640161.4204
2012	1	1	Y	Y	0	0	1	0	0	O	2	0.0000
2014	1	1	X		1	0	0	0	1	O	24	8178195.8600
2022	1	1	NULL	N	0	1	0	0	1	O	5	12630421.5700
2021	0	1	NULL	Y	0	0	0	0	1	S	2	544626.6000
2015	0	0	NULL	NULL	0	0	0	0	1	NULL	2	30000.0000
2011	0	1	Y		0	1	0	0	0	S	1	0.0000
2019	0	1	Y		0	0	0	0	0	S	1	0.0000
2013	0	1			0	1	1	0	1	O	10	23905050.2000
2011	0	1	X	NULL	0	1	0	0	1	S	291	0.0000
2014	0	1	N	NULL	0	1	0	0	1	O	18	0.0000
2016	1	1	Y	N	1	0	0	1	0	S	51	2110279.3598
2017	1	1		N	0	0	0	0	1	S	9775	5677458446.1610
2007	0	0	Y	N	0	1	0	0	0	O	85	8370529.4400
2014	1	1	X	NULL	0	0	0	0	1	S	148	0.0000
2020	1	1	X		0	0	0	0	1	O	228	59717873.2571
2014	1	1		W	0	0	0	0	1	S	24	-377530.5600
