"Product or Service Code","Contracting Agency ID","Dollars Obligated"
"1005","12C2","$5,763.01"
"1005","1406","$6,120.00"
"1005","1422","$24,956.49"
"1005","1443","$212,977.87"
"1005","1448","$1,232.54"
"1005","1524","$5,630.00"
"1005","1540","$136,213.12"
"1005","1544","$1,658,771.21"
"1005","1549","$239,270.00"
"1005","1560","$70,712.28"
"1005","1700","$36,044,768.78"
"1005","1900","$1,289,812.16"
"1005","2004","$7,971.25"
"1005","2036","($1,706.85)"
"1005","2041","$23,141.05"
"1005","2050","$1,085,016.00"
"1005","2100","$187,453,086.31"
"1005","3300","$9,029.05"
"1005","3600","$189,071.26"
"1005","5700","$24,629,995.63"
"1005","6800","$125,816.60"
"1005","6938","$23,165.86"
"1005","7004","$79,943.30"
"1005","7008","$985,585.34"
"1005","7009","$655,972.26"
"1005","7012","$8,725,488.26"
"1005","7013","$3,903,095.20"
"1005","7014","$13,245,106.93"
"1005","7015","$981,802.86"
"1005","8900","$3,060.00"
"1005","9100","$73,561.62"
"1005","9763","($1,300,295.67)"
"1005","97AS","$111,631,566.28"
"1005","97F5","$67,769.40"
"1005","97ZS","$525,044.66"
"1010","1540","$223,387.98"
"1010","1604","$29,029.00"
"1010","1700","$36,872,592.26"
"1010","2100","$6,862,968.96"
"1010","3600","$54,310.50"
"1010","7009","$770,280.53"
"1010","7012","$167,458.59"
"1010","7014","$15,966.20"
"1010","7015","$35,750.52"
"1010","7524","$100,239.30"
"1010","8900","$357,500.00"
"1010","9763","($1,315,911.93)"
"1010","97AS","$4,429,208.57"
"1010","97ZS","$492,647.60"
"1015","1700","$106,741.96"
"1015","2100","$24,064,315.36"
"1015","5700","$90,000.00"
"1015","7008","$153,600.00"
"1015","7009","$188,572.80"
"1015","9763","($307,911.67)"
"1015","97AS","$33,012,624.92"
"1015","97ZS","$0.00"
"1020","1700","$82,778,485.90"
"1020","2100","$5,385.00"
"1020","5700","$530,470.64"
"1020","7014","$0.00"
"1020","9763","($524.40)"
"1020","97AS","$1,064,880.22"
"1025","1700","$0.00"
"1025","2100","$54,791,807.56"
"1025","3600","($1,321.65)"
"1025","9763","($28,794.12)"
"1025","97AS","$13,825,578.26"
"1030","3600","($1,237.32)"
"1030","9763","($2,056,808.00)"
"1030","97AS","$148,015.84"
"1030","97ZS","($1,244,867.50)"
"1035","2100","$123,400.00"
"1035","7012","$0.00"
"1035","7014","$25,971.20"
"1035","97AS","($26,450.00)"
"1040","12K3","$4,566.00"
"1040","1540","$11,896.39"
"1040","1700","$32,805.00"
"1040","2100","$1,600,169.08"
"1040","3600","$268,907.52"
"1040","5700","$83,059.79"
"1040","7014","$109,603.91"
"1040","7570","$25,000.00"
"1040","97AS","$493,425.39"
"1045","1700","$2,694,978.50"
"1045","2100","$50,000.00"
"1045","9763","($1,763.56)"
"1045","97AS","$715,511.04"
"1055","12C2","$146,972.57"
"1055","1700","$5,516,721.94"
"1055","2100","$18,285,559.14"
"1055","9763","($3,099,987.97)"
"1055","97AS","$6,395,963.91"
"1070","12C2","$6,469.83"
"1070","1434","$45,896.80"
"1070","1700","$47,648.00"
"1070","1900","$22,655.40"
"1070","2100","$15,253.27"
"1070","6957","$16,788.00"
"1075","1700","$47,124,955.36"
"1075","2100","$755,909.00"
"1075","5700","$105,039.33"
"1075","9763","($31,223.17)"
"1075","97AS","$1,893,279.25"
"1080","1700","$934,560.88"
"1080","2100","$17,491.37"
"1080","5700","$186,662.19"
"1080","7505","$12,041.50"
"1080","97AS","$1,566,003.20"
"1090","1540","$0.00"
"1090","1544","$20,690.00"
"1090","1549","$0.00"
"1090","1700","$767,907.33"
"1090","1900","$4,252,544.80"
"1090","2100","$254,163,508.98"
"1090","5700","$314,433.52"
"1090","7009","$0.00"
"1090","7012","$0.00"
"1090","7013","$16,193.80"
"1090","7022","$53,125.00"
"1090","7504","$81,000.00"
"1090","9763","$0.00"
"1090","97AS","$385,707.56"
