"","Broad_Field","Detailed_Field","Federal_and_Nonfederal","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"1","Engineering","Bioengineering and biomedical engineering","Federal",879674000,791607000,725035000,651401000,606696000,606943000,556651000,552555000,515611000,470432000
"2","Engineering","Bioengineering and biomedical engineering","Nonfederal",570482000,551403000,495034000,433398000,397236000,344214000,327770000,319362000,301778000,274845000
"3","Life sciences","Agricultural sciences","Federal",989573000,950573000,976822000,976109000,1095769000,1083562000,1111006000,1137729000,1042740000,957710000
"4","Life sciences","Agricultural sciences","Nonfederal",2439012000,2360909000,2298403000,2314688000,2384260000,2306455000,2241442000,2162369000,2074100000,2053440000
"5","Life sciences","Biological and biomedical sciences","Federal",9260282000,8569283000,8178673000,7698393000,7103518000,7238745000,7604786000,7741440000,8213534000,7579196000
"6","Life sciences","Biological and biomedical sciences","Nonfederal",6126325000,5943615000,5545045000,5330474000,4601001000,4467576000,4076478000,3870192000,3641934000,3367260000
"7","Life sciences","Health sciences","Federal",14185253000,13391996000,12685602000,12098365000,11723715000,11743066000,12287408000,12681515000,13184595000,12068659000
"8","Life sciences","Health sciences","Nonfederal",13089065000,12381808000,11300194000,10281536000,9576957000,8967954000,8166850000,7648898000,7213782000,7199426000
"9","Life sciences","Natural resources and conservation","Federal",367864000,318725000,270289000,315446000,NA,NA,NA,NA,NA,NA
"10","Life sciences","Natural resources and conservation","Nonfederal",470095000,457345000,419303000,375291000,NA,NA,NA,NA,NA,NA
"11","Life sciences","Other life sciences","Federal",641022000,628002000,631981000,700698000,1240292000,1204247000,1224078000,1192918000,1222539000,1096560000
"12","Life sciences","Other life sciences","Nonfederal",661647000,600880000,786942000,762687000,1047189000,946472000,853174000,765110000,744298000,661998000
