Fiscal_year,Vendor,StandardizedTopContractor,ContractorDisplayName,Small,jointventure,warningflag,UnknownCompany,Top100Federal,fundedbyforeignentity,isforeignownedandlocated,isforeigngovernment,isinternationalorganization,organizationaltype,PlaceCountryText,OriginIsUnitedStates,OriginCountryText,VendorIsUnitedStates,VendorCountryText,placeofmanufactureText,vendorcountrycode,SumOfnumberOfActions,SumOfobligatedAmount
2000,Foreign Contractor,NULL,All Other,0,0,0,1,0,,0,0,0,,NULL,1,ISRAEL,0,UNITED STATES,PERFORMED OR MANUFACTURED OUTSIDE US,UNITED STATES,2,861213
2000,ANIXTER,NULL,All Other,0,0,0,0,0,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,1,96000
2000,BAE SYSTEMS,NULL,BAE Systems,0,0,0,0,1,,0,0,0,,ISRAEL,1,ISRAEL,0,UNITED STATES,PERFORMED OR MANUFACTURED OUTSIDE US,UNITED STATES,2,1895040
2000,DELL,NULL,Dell,0,0,0,0,1,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,1,36000
2000,ELBIT SYSTEMS,NULL,All Other,0,0,0,0,0,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,2,111321
2000,GENERAL ELECTRIC,NULL,General Electric,0,0,0,0,1,,0,0,0,,ISRAEL,1,ISRAEL,0,UNITED STATES,PERFORMED OR MANUFACTURED OUTSIDE US,UNITED STATES,1,2341203
2000,ISRAEL AIRCRAFT INDUSTRIES,NULL,All Other,0,0,0,0,0,,0,0,0,,,1,,1,ISRAEL,NULL,ISRAEL,0,0
2000,ISRAEL AIRCRAFT INDUSTRIES,NULL,All Other,0,0,0,0,0,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,16,19889161
2000,514733856,AEROTEAM ENGINEERING,All Other,0,NULL,1,NULL,NULL,,0,0,0,,UNITED STATES,1,ISRAEL,1,,"PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT",,1,200000
2000,600213169,AL BEN,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,ISRAEL,NULL,ISRAEL,1,60000
2000,361517212,ALLIED DEFENSE INDUSTRIES,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,0,UNITED STATES,PERFORMED OR MANUFACTURED OUTSIDE US,UNITED STATES,1,67921
2000,97656979,ALLIED PLYWOOD CO,All Other,0,NULL,1,NULL,NULL,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,4,8000
2000,600001200,ALPHA TERMINALS & PRINTERS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,NULL,,1,-44000
2000,645189994,AMERICAN EXPRESS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,EGYPT,NULL,EGYPT,1,600000
2000,514858380,AUTO RAD,All Other,0,NULL,1,NULL,NULL,,0,0,0,,JAPAN,1,JAPAN,1,ISRAEL,NULL,ISRAEL,1,60000
2000,600740716,BAUMER & MODEL,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,ISRAEL,NULL,ISRAEL,2,133000
2000,600740674,BEN SHLUSH BARDUGO,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,ISRAEL,NULL,ISRAEL,1,58000
2000,999046451,BLADE TECHNOLOGY,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,2,1317586
2000,600014492,BLADES TECHNOLOGIES,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,5,492008
2000,600452379,BMN BUILDING & SYSTEM MAINT,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,1,255200
2000,52650082,CARLISLE MANOR HEALTH CARE,All Other,0,NULL,1,NULL,NULL,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,1,12000
2000,600143978,CHEMTRONICS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,2,213700
2000,77609196,COMPREHENSIVE TECHNOLOGIES INT,All Other,0,NULL,1,NULL,NULL,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,1,267000
2000,797414711,COMVERSE GOVERNMENT SYSTEMS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,2,375000
2000,4329694,COOPER SPLIT ROLLER BEARING,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,1,62000
2000,600117592,CYCLONE AVIATION PRODUCTS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,4,2767500
2000,600539779,DEA RESEARCH & DEVELOPMENT,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,1,136828
2000,600459671,ES SHIMRON I MOLHO PERSKY,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,ISRAEL,NULL,ISRAEL,1,28000
2000,600740690,FUAD ESA & SONS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,JAPAN,1,JAPAN,1,ISRAEL,NULL,ISRAEL,1,41000
2000,600740336,GEOPHYSICAL INSTITUTE OF ISRAE,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,2,176651
2000,50847490,HKS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,2,410000
2000,600740617,HURI BOOKS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,ISRAEL,NULL,ISRAEL,1,32000
2000,57370025,HYATT CORPORATION DEL,All Other,0,NULL,1,NULL,NULL,,0,0,0,,UNITED STATES,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,1,48000
2000,883525594,INH TECHNOLOGY,All Other,0,NULL,1,NULL,NULL,,0,0,0,,RUSSIA,1,ISRAEL,0,UNITED STATES,NULL,UNITED STATES,1,35000
2000,532277035,INTERNATIONAL FERTILITY INSTIT,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,ISRAEL,NULL,ISRAEL,1,75000
2000,600037899,ISRAEL ENGINES & TRAILERS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,0,UNITED STATES,1,ISRAEL,NULL,ISRAEL,1,26000
2000,600014914,ISRAEL INSTITUTE FOR BIOLOGICA,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,2,376129
2000,600065049,ISRAEL MILITARY INDUSTRIES,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,2,4204180
2000,600015077,ISRAEL SHIPYARDS,All Other,0,NULL,1,NULL,NULL,,0,0,0,,ISRAEL,1,ISRAEL,1,,PERFORMED OR MANUFACTURED OUTSIDE US,,7,870909
