Sum of n,Column Labels,,,,
Row Labels,7,8,9,11,Grand Total
Department of Commerce,254,,,,254
11.415,254,,,,254
FISHERIES FINANCE PROGRAM,254,,,,254
Department of Defense,,,,2259,2259
10.699,,,,33,33
PARTNERSHIP AGREEMENTS,,,,33,33
12.002,,,,3,3
PROCUREMENT TECHNICAL ASSISTANCE FOR BUSINESS FIRMS,,,,3,3
12.1,,,,5,5
AQUATIC PLANT CONTROL,,,,5,5
12.11,,,,12,12
PLANNING ASSISTANCE TO STATES,,,,12,12
12.114,,,,90,90
COLLABORATIVE RESEARCH AND DEVELOPMENT,,,,90,90
12.3,,,,66,66
BASIC AND APPLIED SCIENTIFIC RESEARCH,,,,66,66
12.33,,,,31,31
"SCIENCE, TECHNOLOGY, ENGINEERING & MATHEMATICS (STEM) EDUCATION, OUTREACH AND WORKFORCE PROGRAM",,,,31,31
12.351,,,,1,1
SCIENTIFIC RESEARCH - COMBATING WEAPONS OF MASS DESTRUCTION,,,,1,1
12.36,,,,56,56
RESEARCH ON CHEMICAL AND BIOLOGICAL DEFENSE,,,,56,56
12.401,,,,3,3
NATIONAL GUARD MILITARY OPERATIONS AND MAINTENANCE (O&M) PROJECTS,,,,3,3
12.404,,,,1,1
NATIONAL GUARD CHALLENGE PROGRAM,,,,1,1
12.42,,,,1,1
MILITARY MEDICAL RESEARCH AND DEVELOPMENT,,,,1,1
12.431,,,,90,90
BASIC SCIENTIFIC RESEARCH,,,,90,90
12.598,,,,1,1
CENTERS FOR ACADEMIC EXCELLENCE,,,,1,1
12.599,,,,5,5
CONGRESSIONALLY DIRECTED ASSISTANCE,,,,5,5
12.615,,,,92,92
RESEARCH AND TECHNICAL ASSISTANCE,,,,92,92
12.63,,,,125,125
BASIC APPLIED AND ADVANCED RESERCH IN SCIENCE AND ENGINEERING,,,,2,2
"BASIC, APPLIED, AND ADVANCED RESEARCH IN SCIENCE AND ENGINEERING",,,,123,123
12.8,,,,1165,1165
AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,,,,1165,1165
12.901,,,,10,10
MATHEMATICAL SCIENCES GRANTS PROGRAM,,,,10,10
12.902,,,,1,1
INFORMATION SECURITY GRANT PROGRAM,,,,1,1
12.91,,,,451,451
RESEARCH AND TECHNOLOGY DEVELOPMENT,,,,451,451
64.054,,,,17,17
RESEARCH AND DEVELOPMENT,,,,17,17
Department of Energy,44,60,2,172,278
81.041,1,,,,1
STATE ENERGY PROGRAM,1,,,,1
81.049,,1,1,54,56
OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,,1,1,54,56
