fiscal_year	fiscal_quarter_YTD	contract_transaction_unique_key	contract_award_unique_key	signeddate	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	anycommercial	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	AnyCommercial	typeofcontractpricing	IsLetterContract	ProductOrServiceCode	claimantprogramcode	principalnaicscode	ProjectID	EntityID	parentid	IsEntityTraditional	obligatedAmount	baseandexercisedoptionsvalue	baseandalloptionsvalue	numberOfActions
2022	1	8000_8000_80GRC021F0156_P00001_NNC14CA02C_0	CONT_AWD_80GRC021F0156_8000_NNC14CA02C_8000	2021-11-02	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	0.0000	0.0000	0.0000	1
2018	NULL	8000_8000_NND17AP01T_2_NND16AP03B_0	CONT_AWD_NND17AP01T_8000_NND16AP03B_8000	2018-03-26	8000	V126	Space Systems	NULL	MULTIPLE AWARD IDC	Competition with single offer	One Offer	Y	FFP	Medium <1B	X	USA	CA	USA	TX	USA	C	Y	J	0	V126		481212	NULL	1606070	BLUE ORIGIN	0	99051.6016	99051.6016	99051.6016	1
1991	NULL	NULL	NULL	NULL	5700	AR11	Space Systems	1517	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR11	A2 	NULL	1517	649382	GENERAL MOTORS	NULL	100000.0000	NULL	NULL	NULL
1993	NULL	NULL	NULL	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Unlabeled	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR11	A2 	NULL	NULL	48234	NULL	NULL	136576.0000	NULL	NULL	NULL
1991	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	649350	GENERAL ELECTRIC	NULL	370000.0000	NULL	NULL	NULL
1995	NULL	NULL	NULL	NULL	5700	AR13	Space Systems	NULL	NULL	No Competition (Other Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	NULL	240709	NULL	NULL	50000.0000	NULL	NULL	1
1995	NULL	NULL	NULL	NULL	5700	AR13	Space Systems	NULL	NULL	No Competition (Other Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	NULL	240709	NULL	NULL	50000.0000	NULL	NULL	1
1995	NULL	NULL	NULL	NULL	5700	AR13	Space Systems	NULL	NULL	No Competition (Other Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	NULL	240709	NULL	NULL	1154000.0000	NULL	NULL	1
1991	NULL	NULL	NULL	NULL	5700	AR35	Space Systems	1542	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Pre-Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR35	A2 	NULL	1542	661342	MARTIN MARIETTA	NULL	342000.0000	NULL	NULL	NULL
1990	NULL	NULL	NULL	NULL	5700	AR33	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	AR33	A2 	NULL	NULL	329954	NULL	NULL	60000.0000	NULL	NULL	NULL
1999	NULL	NULL	NULL	NULL	1700	AR15	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR15	S1 	NULL	NULL	668856	RAYTHEON	NULL	114400.0000	NULL	NULL	1
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	294000.0000	NULL	NULL	NULL
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	56000.0000	NULL	NULL	NULL
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	-1400000.0000	NULL	NULL	NULL
