fiscal_year	fiscal_quarter_YTD	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	anycommercial	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	EntityID	parentid	IsEntityTraditional	SumOfobligatedAmount	SumOfNumberOfActions	NumberOfRecords
1990	NULL	2100	AC24	Space Systems	NULL	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	2000000.0000	NULL	1
1990	NULL	2100	AC24	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	76141000.0000	NULL	7
1990	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	3335000.0000	NULL	1
1990	NULL	2100	AC24	Space Systems	NULL	NULL	No Competition (Other Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1175000.0000	NULL	1
1990	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	163867000.0000	NULL	41
1990	NULL	5700	AC22	Space Systems	NULL	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1000000.0000	NULL	1
1990	NULL	5700	AC22	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	164000.0000	NULL	2
1990	NULL	5700	AC23	Space Systems	NULL	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	466000.0000	NULL	3
1990	NULL	5700	AC23	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	188000.0000	NULL	2
1990	NULL	5700	AC23	Space Systems	1543	NULL	Competition with single offer	One Offer	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	683750	BOEING	NULL	1524000.0000	NULL	3
