fiscal_year	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	majorprogramcode	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	informationtechnologycommercialitemcategory	commercialitemacquisitionprocedures	commercialitemtestprogram	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	placeofperformancezipcode	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	IsSiliconValley	majorprogramcode	IsZipTraditionalSiliconValley	EntityText	EntityID	SumOfobligatedAmount	SumOfnumberOfActions
2004	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	FFP	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	69806303.0000	8
2004	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Incentive	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	73429.0000	1
2004	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	UCA	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	204996.0000	1
2004	1700	AC11	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition	F: NON-COMMERCIAL SERVICE	D	0	Other CB	Large: Big 6		USA	NY		USA	NY	NULL		0		NULL	NORTHROP GRUMMAN	665531	169085.0000	1
2004	1700	AC65	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	62352095.0000	30
2004	1700	AC65	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	UCA	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	4570391.0000	5
2004	1700	R799	Electronics, Comms, & Sensors	1843		SINGLE AWARD IDC	Full Competition (Multiple Offers)	5-9 Offers		D	0	Other CB	Large	X	USA	IN		USA	MD	NULL		NULL		NULL	URS	675375	130000.0000	2
2004	2100	7010	Electronics, Comms, & Sensors	1843		FSS	Unlabeled: Competition; Zero Offers	Unlabeled: Competition; Zero Offers		A	0	NULL	Large		USA	IA		USA	IA	NULL		NULL		NULL	ROCKWELL COLLINS	669508	1346630.0000	1
2005	1700	1230	Electronics, Comms, & Sensors	1843		DCA	Full Competition (Multiple Offers)	Two Offers		D	0	Other CB	Large: Big 6		USA	VA		USA	VA	NULL		0		NULL	GENERAL DYNAMICS	649342	27840612.0000	1
2005	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	FFP	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	45921389.0000	7
2005	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Incentive	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	384118.0000	5
2005	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	CA		USA	FL	NULL		0		NULL	RAYTHEON	668856	12407339.0000	2
2005	1700	1265	Electronics, Comms, & Sensors	1843		DCA	No Competition (Unlabeled Exception)	No competition		D	0	UCA	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	6022.0000	1
2005	1700	AC65	Electronics, Comms, & Sensors	1843		DCA	No Competition (Only One Source Exception)	No competition		D	0	Other CB	Large: Big 6		USA	FL		USA	FL	NULL		0		NULL	RAYTHEON	668856	45206098.0000	16
