"","CSIScontractID","IsOriginal","IsComplete","Action.Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","StartFiscal_Year","WhyMissing"
"1",25323084,NA,1,0,0,1,NA,2012-11-28,2012-11-28,2012-11-30,2013,"Close/Term LastCurrent Out of Range"
"2",62446784,NA,1,-2023.53,0,0,2015-03-31,2015-03-23,NA,2015-03-23,2015,"Unknown Other"
"3",60422007,NA,1,0,0,0,2015-12-31,2015-03-03,NA,2015-02-05,2015,"Unknown Other"
"4",7974692,NA,1,0,0,1,NA,2010-04-26,2010-04-26,2010-04-26,2010,"Close/Term LastCurrent Out of Range"
"5",28198331,NA,1,11202517.457,0,0,2015-12-20,2013-12-12,2015-09-17,2013-12-13,2014,"Unknown Other"
"6",4564718,NA,1,-2500,1,1,2017-01-12,2011-09-27,2011-09-27,2011-09-27,2011,"Close/Term LastCurrent Out of Range"
"7",25729368,NA,1,546156,1,0,2015-01-30,2013-01-16,2014-08-06,2013-01-16,2013,"Unknown Close/Term"
"8",19064735,NA,1,-17649.4492,1,0,1999-08-31,2009-11-27,NA,2009-11-27,2010,"Unknown Close/Term"
"9",60385267,NA,1,1136254.75,1,0,2017-02-28,2015-08-24,2015-08-24,2015-08-24,2015,"Close/Term LastCurrent Out of Range"
"10",8198514,NA,1,0,1,0,NA,2011-01-24,2011-01-24,2011-01-19,2011,"Close/Term LastCurrent Out of Range"
"11",4167095,NA,1,0,0,1,NA,2011-09-28,2011-09-28,2011-09-28,2011,"Close/Term LastCurrent Out of Range"
"12",8243166,NA,1,0,1,0,NA,2008-02-14,NA,2008-02-14,2008,"Close/Term LastCurrent Out of Range"
"13",25881406,NA,1,-5000,0,0,2013-09-30,2014-09-19,NA,2014-09-16,2014,"Unknown Other"
"14",19141100,NA,1,306112.6309,1,0,2018-09-30,2011-09-29,2013-09-05,2011-09-29,2011,"Close/Term LastCurrent Out of Range"
"15",19218708,NA,1,2643091.0164,1,0,2017-06-17,2012-05-10,2016-06-22,2012-07-02,2012,"Close/Term LastCurrent Out of Range"
"16",4384574,NA,1,0,0,1,NA,2010-12-14,2010-12-14,2010-12-14,2011,"Close/Term LastCurrent Out of Range"
"17",25566681,NA,1,784.58,0,0,2013-09-30,2013-09-17,2013-09-17,2013-09-17,2013,"Unknown Other"
"18",4168271,NA,1,0,0,1,NA,2012-05-12,2012-10-12,2012-05-12,2012,"Close/Term LastCurrent Out of Range"
"19",25435124,NA,1,0,0,0,2013-06-21,2012-12-04,NA,2012-12-04,2013,"Unknown Other"
"20",62907391,NA,1,0,0,1,NA,2015-09-21,2015-09-21,2015-09-21,2015,"Close/Term LastCurrent Out of Range"
