"","Filename","Geographic.area.name","X.","X1997.NAICS.code","Meaning.of.1997.NAICS.code","X..1","Meaning.of.Type.of.operation.or.tax.status.code","X..2","Year","Number.of.establishments","Value.of.sales..shipments..receipts..revenue..or.business.done...1.000.","Annual.payroll...1.000.","Paid.employees.for.pay.period.including.March.12..number.","X2002.NAICS.code","Meaning.of.2002.NAICS.code","Number.of.paid.employees.for.pay.period.including.March.12","Relative.standard.error.of.estimate.of.number.of.establishments....","Relative.standard.error.of.estimate.of.the.value.of.business.done","Relative.standard.error.of.estimate.of.total.payroll....","Relative.standard.error.of.estimate.of.total.number.of.employees....","X2007.NAICS.code","Meaning.of.2007.NAICS.code","Number.of.paid.employees.for.period.including.March.12"
"1","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","21","Mining","","Total","","2002","24,284","183,673,289","21,586,902","487,786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","21","Mining","","Total","","1997","25,000","173,985,314","20,798,257","509,006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","22","Utilities","","Total","","2002","17,103","398,907,044","42,417,830","663,044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","22","Utilities","","Total","","1997","15,513","411,713,327","36,594,684","702,703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","23","Construction","","Total","","2002","709,279","1,206,843,089","253,648,308","7,173,996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","23","Construction","","Total","","1997","656,448","858,581,056","174,184,608","5,664,853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","31-33","Manufacturing","","Total","","2002","350,728","3,914,719,163","575,165,127","14,664,385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","31-33","Manufacturing","","Total","","1997","362,829","3,834,700,920","569,808,845","16,805,127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","42","Wholesale trade","","Wholesale Trade","","2002","439,175","4,637,494,486","260,246,207","5,902,852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","42","Wholesale trade","","Wholesale Trade","","1997","453,470","4,059,657,778","214,915,405","5,796,557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","44-45","Retail trade","","Total","","2002","1,110,983","3,053,682,623","301,520,454","14,623,228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","44-45","Retail trade","","Total","","1997","1,118,447","2,460,886,012","237,195,503","13,991,103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","48-49 (002)","Transportation and warehousing (002)","","Total","","2002","199,618","382,152,040","115,988,733","3,650,859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","48-49","Transportation and warehousing","","Total","","1997","178,025","318,245,044","82,346,182","2,920,777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","51","Information","","Total","","2002","137,805","897,829,551","195,350,838","3,748,730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","51","Information","","Total","","1997","114,475","623,213,854","129,481,577","3,066,167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","52","Finance and insurance","","Total","","2002","440,268","2,803,854,868","377,790,172","6,578,817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","52","Finance and insurance","","Total","","1997","395,203","2,197,771,283","264,551,401","5,835,214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","53","Real estate and rental and leasing","","Total","","2002","322,805","335,585,268","60,221,815","1,948,648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","53","Real estate and rental and leasing","","Total","","1997","288,273","240,917,556","41,590,766","1,702,420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","54","Professional, scientific, and technical services","","All establishments","","2002","739,592","867,813,273","369,625,454","6,977,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","54","Professional, scientific, and technical services","","All establishments","","1997","621,129","595,250,649","231,398,791","5,361,210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","55","Management of companies and enterprises","","Total","","2002","49,340","107,630,628","179,160,997","2,607,962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","55","Management of companies and enterprises","","Total","","1997","47,319","92,473,059","154,177,673","2,617,527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","56","Administrative, support, waste management, remediation services","","Total","","2002","273,407","397,367,951","194,875,163","8,261,008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","56","Administrative, support, waste management, remediation services","","Total","","1997","276,393","295,936,350","137,336,983","7,347,366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Data//Economic//Core Business Statistics Series Comparative Statistics for the US and States (1997-2002; 2002-2007; 2007-2012)//Comparative Statistics for the United States and the States (2002 and 1997).xls","United States","","61","Educational services","","All establishments","","2002","49,319","30,690,707","10,164,378","430,164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
