"Product_or_Service_Code","Product_or_Service_Description","Action_Obligation2020","Action_Obligation2021"
"6505","DRUGS AND BIOLOGICALS",2547709466.6,13224279568.86
"6515","MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",7924227198.75,888745024.63
"8915","FRUITS AND VEGETABLES",2684520963.63,1937317382.03
"R499","SUPPORT- PROFESSIONAL: OTHER",1384187445.27,1276147291.8
"Q301","MEDICAL- LABORATORY TESTING",953566814.13,1409821254.86
"6640","LABORATORY EQUIPMENT AND SUPPLIES",1093266300.12,1252250253.17
"AN13","R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)",1430787023.5,19883733
"6532","HOSPITAL AND SURGICAL CLOTHING AND RELATED SPECIAL PURPOSE ITEMS",1280314057.94,4758095.93
"D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS",557592443.55,388507472.37
"8905","MEAT, POULTRY, AND FISH",908013312.61,31381142.22
"R710","SUPPORT- MANAGEMENT: FINANCIAL",768723842.1,85501389.66
"D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS",512853567.71,264541463.13
"M181","OPER OF GOVT R&D GOCO FACILITIES",740072531.13,11605583.59
"R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL",689937262.39,57584502.86
"AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",690370052.3,26150457
"Q999","MEDICAL- OTHER",526392522.02,157342514.53
"D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",380446413.6,155546335.38
"6550","IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",131293170.95,380458411.98
"R706","SUPPORT- MANAGEMENT: LOGISTICS SUPPORT",371681226.62,128509796.89
"8910","DAIRY FOODS AND EGGS",498314170.59,0
"M1HA","OPERATION OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES",411949090.4,80132471
"R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT",372185243.68,100728384.19
"R701","SUPPORT- MANAGEMENT: ADVERTISING",419278835.68,39980549
"2840","GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",416706418.16,0
"R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS",35889076.34,357810437.33
"R429","SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT",199675402.14,190413980.35
"8475","SPECIALIZED FLIGHT CLOTHING AND ACCESSORIES",385672582.6,-13338075.5
"AN17","R&D- MEDICAL: BIOMEDICAL (COMMERCIALIZED)",362881912.12,0
"7035","INFORMATION TECHNOLOGY SUPPORT EQUIPMENT",295845295.69,6339063.66
"Y1EC","CONSTRUCTION OF PRODUCTION BUILDINGS",294693063,-2934851
"AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",284933492.25,4452068.1
"R702","SUPPORT- MANAGEMENT: DATA COLLECTION",35570747.45,222838528.38
"V231","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",226749272.09,26097293
"S201","HOUSEKEEPING- CUSTODIAL JANITORIAL",127907838.36,97453366.48
"C1DZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER HOSPITAL BUILDINGS",217001836.91,15302.75
"Q401","MEDICAL- NURSING",129609092.98,84545595.74
