PIIDAgencyID,PIID,ReferencedIDVAgencyID,Referenced_IDV_PIID,Remotely_Crewed_CAU
7000,HSHQDC17900041,,,UAS
7001,70RSAT18T00000009,,,UAS
7001,70RSAT18T00000010,,,UAS
7001,70RSAT18T00000013,,,UAS
7001,70RSAT18T00000027,,,UAS
7001,70RSAT19T00000008,,,UAS
7001,70RSAT19T00000012,,,UAS
7001,70RSAT19T00000018,,,UAS
7001,70RSAT19T00000027,,,UAS
7001,70RSAT21T00000013,,,UAS
7001,HSHQDC17000041,,,UAS
7001,HSHQDC17900008,,,UAS
7001,HSHQDC17900014,,,UAS
7001,HSHQDC17900018,,,UAS
7001,HSHQDC17900019,,,UAS
7001,HSHQDC17900022,,,UAS
7001,HSHQDC17900031,,,UAS
7001,HSHQDC17900032,,,UAS
7001,HSHQDC17900040,,,UAS
9700,FA86492099052,,,UAS
9700,FA86492099072,,,UAS
9700,FA86492099129,,,UAS
9700,FA86492099140,,,UAS
9700,FA86492199005,,,UAS
9700,FA86492299004,,,UAS
9700,HQ00341990035,,,UAS
9700,HQ08452190013,,,UAS
9700,HQ08452190014,,,UAS
9700,HQ08452190015,,,UAS
9700,HQ08452190016,,,UAS
9700,HQ08452190017,,,UAS
9700,HQ08452190018,,,UAS
9700,HQ08452190019,,,UAS
9700,HQ08452190020,,,UAS
9700,HQ08452190021,,,UAS
9700,HQ08452190022,,,UAS
9700,HQ08452190023,,,UAS
9700,HQ08452190041,,,UAS
9700,HR00112190025,,,UAS
9700,M678542097423,,,UAS
9700,N004211990007,,,UAS
9700,N004212090008,,,UAS
9700,N004212090012,,,UAS
9700,N004212090013,,,UAS
9700,N004212190013,,,UAS
9700,N004212190022,,,UAS
9700,N683352190002,,,UAS
9700,W15QKN1791010,,,UAS
9700,W15QKN1891023,,,UAS
9700,W15QKN1891025,,,UAS
9700,W15QKN1891026,,,UAS
9700,W15QKN1891028,,,UAS
9700,W15QKN1891029,,,UAS
9700,W15QKN1895000,,,UAS
9700,W15QKN1895001,,,UAS
9700,W15QKN1991003,,,UAS
9700,W15QKN1991008,,,UAS
9700,W15QKN1991010,,,UAS
9700,W15QKN2090025,,,UAS
9700,W15QKN2090026,,,UAS
9700,W15QKN2090027,,,UAS
9700,W15QKN2090028,,,UAS
9700,W15QKN2090029,,,UAS
9700,W50RAJ209C001,,,UAS/C-UAS
9700,W50RAJ2190046,,,UAS
9700,W52P1J1993001,,,UAS
9700,W52P1J1993005,,,UAS
9700,W52P1J1993013,,,UAS
9700,W911QY1990005,,,UAS
9700,W911QY1990006,,,UAS
9700,W911QY2190034,,,UAS
9700,W91CRB2090003,,,UAS
