Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer of Research by Field,"Universities and colleges, excluding FFRDCs, Other than universities and colleges",,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Research and Applied Research,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed Fields,"Agricultural sciences, Biological sciences (excluding environmental), Environmental biology, Medical sciences, Other life sciences, Biological aspects",,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
[measures],[Science and Engineering],[Broad Fields],[Detailed Fields],[Federal Department],[Federal Agency],[Basic Research and Applied Research],,,,,,,,,,,,,,,,,,,,,
Science,Total for selected values,Total for selected values,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"38,321,186","37,014,306","34,100,009","32,065,202","30,644,172","30,965,832","29,677,101","31,020,324","29,466,090","33,922,728","33,269,239","28,940,597","29,467,359","27,930,714","28,130,186","27,734,433","27,795,461","25,487,421","23,070,944","17,972,892","15,440,486"
Science,Life sciences,Total for selected values,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"38,303,662","36,994,357","34,089,600","32,045,384","30,625,102","30,950,787","29,662,778","31,006,157","29,449,719","33,909,132","33,267,096","28,918,830","29,463,558","27,927,700","28,127,841","27,728,483","27,772,220","25,476,802","23,057,305","17,964,701","15,422,452"
Science,Life sciences,Agricultural sciences,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"1,445,519","1,325,014","1,353,434","1,283,147","1,320,265","1,004,236","903,085","942,732","1,084,953","1,131,888","1,120,363","1,020,274","1,139,415","1,108,158","1,094,192","1,086,793","1,045,954","1,047,642","1,007,686","894,956","849,416"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Total for selected values,Total for selected values,Total for selected values,"1,262,223","1,171,815","1,150,583","1,108,472","1,091,078","986,993","868,385","924,078","1,029,667","1,103,155","1,025,189","977,502","1,052,561","1,036,424","1,011,437","986,895","947,841","958,785","927,007","789,538","760,922"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Marketing Service,Total for selected values,Total for selected values,"3,855","3,606","3,605","3,333","3,376","2,869","2,495","2,143","2,143","2,182","2,130","2,500","6,415","6,337","7,718","7,942","4,138","4,413","4,112","4,294","4,015"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Marketing Service,Applied research,Total for selected values,"3,855","3,606","3,605","3,333","3,376","2,869","2,495","2,143","2,143","2,182","2,130","2,500","6,415","6,337","7,718","7,942","4,138","4,413","4,112","4,294","4,015"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Marketing Service,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,90,-,190,173,-,215,197,188,401,406,286
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Marketing Service,Applied research,Other than universities and colleges,"3,855","3,606","3,605","3,333","3,376","2,869","2,495","2,143","2,143","2,182","2,040","2,500","6,225","6,164","7,718","7,727","3,941","4,225","3,711","3,888","3,729"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Research Service,Total for selected values,Total for selected values,"830,131","771,153","751,765","735,114","726,855","667,456","603,516","648,407","727,761","756,848","733,056","721,077","733,572","729,005","711,536","705,315","689,734","688,307","645,803","574,004","550,135"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Research Service,Basic research,Total for selected values,"461,184","428,418","417,647","408,397","403,809","382,061","345,461","371,157","404,312","420,471","407,253","392,587","399,389","396,903","387,391","384,005","416,872","416,010","390,320","340,618","329,259"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Research Service,Basic research,"Universities and colleges, excluding FFRDCs","45,434","40,581","33,990","29,604","30,431","27,633","20,785","22,721","27,201","33,246","32,058","31,251","33,024","38,740","30,788","32,500","33,383","29,950","25,613","19,207","17,641"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Research Service,Basic research,Other than universities and colleges,"415,750","387,838","383,657","378,793","373,378","354,428","324,676","348,435","377,110","387,225","375,195","361,336","366,365","358,163","356,603","351,505","383,489","386,060","364,707","321,411","311,618"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Research Service,Applied research,Total for selected values,"368,947","342,735","334,118","326,718","323,047","285,395","258,055","277,250","323,449","336,377","325,803","328,490","334,183","332,102","324,145","321,310","272,862","272,297","255,483","233,386","220,876"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Research Service,Applied research,"Universities and colleges, excluding FFRDCs","36,347","32,465","27,192","23,684","24,345","20,641","15,526","16,973","21,761","26,597","25,646","26,147","27,632","32,415","25,762","27,194","21,851","19,603","16,765","13,159","11,834"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Agricultural Research Service,Applied research,Other than universities and colleges,"332,600","310,270","306,926","303,034","298,702","264,754","242,529","260,277","301,688","309,780","300,156","302,343","306,551","299,687","298,383","294,116","251,011","252,694","238,718","220,227","209,042"
Science,Life sciences,Agricultural sciences,Department of Agriculture,Animal and Plant Health Inspection Service,Total for selected values,Total for selected values,"18,812","18,132","18,816","19,617","19,544","19,022","17,713",-,-,-,-,-,-,-,-,-,-,-,-,-,-
