SIC,Part.Indicator,SIC.Titles.and.Part.Descriptions,X1997.NAICS,X1997.NAICS.Titles.and.Part.Indicators
NA,NA,"Agriculture, forestry, and fishing",NA,NA
01,NA,Agricultural production- crops,NA,NA
0111,NA,Wheat,11114,Wheat Farming
0112,NA,Rice,11116,Rice Farming
0115,NA,Corn,11115,Corn Farming (pt)
0116,NA,Soybeans,11111,Soybean Farming
0119,NA,"Cash Grains, NEC",NA,NA
0131,NA,Cotton,11192,Cotton Farming
0132,NA,Tobacco,11191,Tobacco Farming
0133,NA,Sugarcane and Sugar Beets,NA,NA
0134,NA,Irish Potatoes,111211,Potato Farming
0139,NA,"Field Crops, Except Cash Grains, NEC",NA,NA
0161,NA,Vegetables and Melons,111219,Other Vegetable (except Potato) and Melon Farming (pt)
0171,NA,Berry Crops,NA,NA
0172,NA,Grapes,111332,Grape Vineyards
0173,NA,Tree Nuts,111335,Tree Nut Farming
0174,NA,Citrus Fruits,NA,NA
0175,NA,Deciduous Tree Fruits,NA,NA
0179,NA,"Fruits and Tree Nuts, NEC",NA,NA
0181,NA,Ornamental Floriculture and Nursery Products,NA,NA
0182,NA,Food Crops Grown Under Cover,NA,NA
0191,NA,"General Farms, Primarily Crop",111998,All Other Miscellaneous Crop Farming (pt)
02,NA,Agricultural production- livestock,NA,NA
0211,NA,Beef Cattle Feedlots,112112,Cattle Feedlots
0212,NA,"Beef Cattle, Except Feedlots",112111,Beef Cattle Ranching and Farming (pt)
0213,NA,Hogs,11221,Hog and Pig Farming
0214,NA,Sheep and Goats,NA,NA
0219,NA,"General Livestock,  Except Dairy and Poultry",11299,All Other Animal Production  (pt)
0241,NA,Dairy Farms,NA,NA
0251,NA,"Broiler, Fryers, and Roaster Chickens",11232,Broilers and Other Meat-Type Chicken Production
0252,NA,Chicken Eggs,11231,Chicken Egg Production
0253,NA,Turkey and Turkey Eggs,11233,Turkey Production
0254,NA,Poultry Hatcheries,11234,Poultry Hatcheries
0259,NA,"Poultry and Eggs, NEC",11239,Other Poultry Production
0271,NA,Fur-Bearing Animals and Rabbits,11293,Fur-Bearing Animal and Rabbit Production
0272,NA,Horses and Other Equines,11292,Horse and Other Equine Production
0273,NA,Animal Aquaculture,NA,NA
0279,NA,"Animal Specialities, NEC",NA,NA
0291,NA,"General Farms, Primarily Livestock and Animal Specialties",11299,All Other Animal Production (pt)
07,NA,Agricultural services,NA,NA
0711,NA,Soil Preparation Services,115112,"Soil Preparation, Planting, and Cultivating (pt)"
0721,NA,"Crop Planting, Cultivating, and Protecting",115112,"Soil Preparation, Planting, and Cultivating (pt)"
0722,NA,"Crop Harvesting, Primarily by Machine",115113,"Crop Harvesting, Primarily By Machine"
0723,NA,"Crop Preparation Services For Market, except Cotton Ginning",NA,NA
0724,NA,Cotton Ginning,115111,Cotton Ginning
0741,NA,Veterinary Services For Livestock,54194,Veterinary Services (pt)
0742,NA,Veterinary Services for Animal Specialties,54194,Veterinary Services (pt)
0751,NA,"Livestock Services, Except Veterinary",NA,NA
0752,NA,"Animal Specialty Services, Except Veterinary",NA,NA
0761,NA,Farm Labor Contractors and Crew Leaders,115115,Farm Labor Contractors and Crew Leaders
0762,NA,Farm Management Services,115116,Farm Management Services
0781,NA,Landscape Counseling and Planning,NA,NA
0782,NA,Lawn and Garden Services,56173,Landscaping Services (pt)
0783,NA,Ornamental Shrub and Tree Services,56173,Landscaping Services (pt)
08,NA,Forestry,NA,NA
0811,NA,Timber Tracts,NA,NA
0831,NA,Forest Nurseries and Gathering of Forest Products,NA,NA
0851,NA,Forestry Services,11531,Support Activities for Forestry
09,NA,"Fishing, hunting, and trapping",NA,NA
0912,NA,Finfish,114111,Finfish Fishing
0913,NA,Shellfish,114112,Shellfish Fishing
0919,NA,Miscellaneous Marine Products,NA,NA
0921,NA,Fish Hatcheries and Preserves,NA,NA
0971,NA,"Hunting and Trapping, and Game Propagation",11421,Hunting and Trapping
NA,NA,Mining,NA,NA
10,NA,Metal mining,NA,NA
1011,NA,Iron Ores,21221,Iron Ore Mining
1021,NA,Copper Ores,212234,Copper Ore and Nickel Ore Mining (pt)
1031,NA,Lead and Zinc Ores,212231,Lead Ore and Zinc Ore Mining
1041,NA,Gold Ores,212221,Gold Ore Mining
1044,NA,Silver Ores,212222,Silver Ore Mining
1061,NA,"Ferroalloy Ores, Except Vanadium",NA,NA
1081,NA,Metal Mining Services,NA,NA
1094,NA,Uranium-Radium-Vanadium Ores,212291,Uranium-Radium-Vanadium Ore Mining
1099,NA,"Miscellaneous Metal Ores, NEC",212299,Other Metal Ore Mining (pt)
12,NA,Coal mining,NA,NA
1221,NA,Bituminous Coal and Lignite Surface Mining,212111,Bituminous Coal and Lignite Surface Mining
1222,NA,Bituminous Coal Underground Mining,212112,Bituminous Coal Underground Mining
1231,NA,Anthracite Mining,212113,Anthracite Mining
1241,NA,Coal Mining Services,213113,Support Activities for Coal Mining
13,NA,Oil and gas extraction,NA,NA
1311,NA,Crude Petroleum and Natural Gas,211111,Crude Petroleum and Natural Gas Extraction
1321,NA,Natural Gas Liquids,211112,Natural Gas Liquid Extraction (pt)
1381,NA,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells
1382,NA,Oil and Gas Field Exploration Services,NA,NA
1389,NA,"Oil and Gas Field Services, NEC",213112,Support Activities for Oil and Gas Field Operations (pt)
14,NA,"Nonmetallic minerals, except fuels",NA,NA
1411,NA,Dimension Stone,212311,Dimension Stone Mining and Quarrying
1422,NA,Crushed and Broken Limestone,212312,Crushed and Broken Limestone Mining and Quarrying
1423,NA,Crushed and Broken Granite,212313,Crushed and Broken Granite Mining and Quarrying
1429,NA,"Crushed and Broken Stone, NEC",212319,Other Crushed and Broken Stone Mining and Quarrying (pt)
1442,NA,Construction Sand and Gravel,212321,Construction Sand and Gravel Mining
1446,NA,Industrial Sand,212322,Industrial Sand Mining
1455,NA,Kaolin and Ball Clay,212324,Kaolin and Ball Clay Mining
1459,NA,"Clay, Ceramic, and Refractory Minerals, NEC",212325,Clay and Ceramic and Refractory Minerals Mining
1474,NA,"Potash, Soda, and Borate Minerals",212391,"Potash, Soda, and Borate Mineral Mining"
1475,NA,Phosphate Rock,212392,Phosphate Rock Mining
1479,NA,"Chemical and Fertilizer Mineral Mining, NEC",212393,Other Chemical and Fertilizer Mineral Mining
1481,NA,Nonmetallic Minerals Services Except Fuels,NA,NA
1499,NA,"Miscellaneous Nonmetallic Minerals, Except Fuels",NA,NA
NA,NA,Construction,NA,NA
15,NA,General building contractors,NA,NA
1521,NA,General Contractors-Single-Family Houses,23321,Single Family Housing Construction (pt)
1522,NA,"General Contractors-Residential Buildings, Other Than Single-Family",NA,NA
1531,NA,Operative Builders,NA,NA
1541,NA,General Contractors-Industrial Buildings and Warehouses,NA,NA
1542,NA,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses",23332,Commercial and Institutional Building Construction  (pt)
16,NA,Heavy construction contractors,NA,NA
1611,NA,"Highway and Street Construction, Except Elevated Highways",23411,Highway and Street Construction (pt)
1622,NA,"Bridge, Tunnel, and Elevated Highway Construction",23412,Bridge and Tunnel Construction (pt)
1623,NA,"Water, Sewer, Pipeline, and Communications and Power Line Construction",NA,NA
1629,NA,"Heavy Construction, NEC",NA,NA
17,NA,Special trade contractors,NA,NA
1711,NA,"Plumbing, Heating, and Air-Conditioning",23511,"Plumbing, Heating, and Air-Conditioning Contractors (pt)"
1721,NA,Painting and Paper Hanging,23521,Painting and Wall Covering Contractors (pt)
1731,NA,Electrical Work,23531,Electrical Contractors
1741,NA,"Masonry, Stone Setting, and Other Stone Work",23541,Masonry and Stone Contractors
1742,NA,"Plastering, Drywall, Acoustical, and Insulation Work",23542,"Drywall, Plastering, Acoustical, and Insulation Contractors (pt)"
1743,NA,"Terrazzo, Tile, Marble, and Mosaic Work",NA,NA
1751,NA,Carpentry Work,23551,Carpentry Contractors
1752,NA,"Floor Laying and Other Floor Work, NEC",23552,Floor Laying and Other Floor Contractors
1761,NA,"Roofing, Siding, and Sheet Metal Work",23561,"Roofing, Siding, and Sheet Metal Contractors"
1771,NA,Concrete Work,NA,NA
1781,NA,Water Well Drilling,23581,Water Well Drilling Contractors
1791,NA,Structural Steel Erection,23591,Structural Steel Erection Contractors
1793,NA,Glass and Glazing Work,23592,Glass and Glazing Contractors (pt)
1794,NA,Excavation Work,23593,Excavation Contractors
1795,NA,Wrecking and Demolition Work,23594,Wrecking and Demolition Contractors
1796,NA,"Installation or Erection of Building Equipment, NEC",23595,Building Equipment and Other Machinery Installation Contractors
1799,NA,"Special Trade Contractors, NEC",NA,NA
NA,NA,Manufacturing,NA,NA
20,NA,Food and kindred products,NA,NA
2011,NA,Meat Packing Plants,311611,Animal (except Poultry) Slaughtering (pt)
2013,NA,Sausages and Other Prepared Meats,NA,NA
2015,NA,Poultry Slaughtering and Processing,NA,NA
2021,NA,Creamery Butter,311512,Creamery Butter Manufacturing
2022,NA,"Natural, Processed, and Imitation Cheese",311513,Cheese Manufacturing
2023,NA,"Dry, Condensed, and Evaporated Dairy Products",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
2024,NA,Ice Cream and Frozen Desserts,31152,Ice Cream and Frozen Dessert Manufacturing
2026,NA,Fluid Milk,NA,NA
2032,NA,Canned Specialties,NA,NA
2033,NA,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",311421,Fruit and Vegetable Canning  (pt)
2034,NA,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes",NA,NA
2035,NA,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings",NA,NA
2037,NA,"Frozen Fruits, Fruit Juices, and Vegetables",311411,"Frozen Fruit, Juice, and Vegetable Processing"
2038,NA,"Frozen Specialties, NEC",311412,Frozen Specialty Food Manufacturing
2041,NA,Flour and Other Grain Mill Products,311211,Flour Milling (pt)
2043,NA,Cereal Breakfast Foods,NA,NA
2044,NA,Rice Milling,311212,Rice Milling
2045,NA,Prepared Flour Mixes and Doughs,311822,Flour Mixes and Dough Manufacturing from Purchased Flour
2046,NA,Wet Corn Milling,311221,Wet Corn Milling
2047,NA,Dog and Cat Food,311111,Dog and Cat Food Manufacturing
2048,NA,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats",NA,NA
2051,NA,"Bread and Other Bakery Products, Except Cookies and Crackers",311812,Commercial Bakeries (pt)
2052,NA,Cookies and Crackers,NA,NA
2053,NA,"Frozen Bakery Products, Except Bread",311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
2061,NA,"Cane Sugar, Except Refining",311311,Sugarcane Mills
2062,NA,Cane Sugar Refining,311312,Cane Sugar Refining
2063,NA,Beet Sugar,311313,Beet Sugar Manufacturing
2064,NA,Candy and Other Confectionery Products,NA,NA
2066,NA,Chocolate and Cocoa Products,NA,NA
2067,NA,Chewing Gum,31134,Nonchocolate  Confectionery Manufacturing (pt)
2068,NA,Salted and Roasted Nuts and Seeds,311911,Roasted Nuts and Peanut Butter Manufacturing (pt)
2074,NA,Cottonseed Oil Mills,NA,NA
2075,NA,Soybean Oil Mills,NA,NA
2076,NA,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybeans",NA,NA
2077,NA,Animal and Marine Fats and Oils,NA,NA
2079,NA,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC",NA,NA
2082,NA,Malt Beverages,NA,NA
2083,NA,Malt,311213,Malt Manufacturing
2084,NA,"Wines, Brandy, and Brandy Spirits",31213,Wineries (pt)
2085,NA,Distilled and Blended Liquors,NA,NA
2086,NA,Bottled and Canned Soft Drinks and Carbonated Waters,NA,NA
2087,NA,Flavoring Extracts and Flavoring Syrups NEC,NA,NA
2091,NA,Canned and Cured Fish and Seafood,311711,Seafood Canning (pt)
