GEO.id,Geographic identifier code
GEO.id2,Id2
GEO.display-label,Geographic area name
NAICS.id,2002 NAICS code
NAICS.display-label,Meaning of 2002 NAICS code
CONCENFI.id,Firm concentration code
CONCENFI.display-label,Meaning of Firm concentration code
YEAR.id,Year
ESTAB,Number of establishments
RCPTOT,"Revenue ($1,000)"
VALPCT,"Sales, receipts, or revenue from concentration of largest firms as percent of total sales, receipts, or revenue (%)"
PAYANT,"Annual payroll ($1,000)"
PAYQ1T,"First-quarter payroll ($1,000)"
EMP,Paid employees for pay period including March 12 (number)
