"Column Name","Label"
"GEO_ID","Geographic identifier code"
"NAME","Geographic Area Name"
"NAICS2017","2017 NAICS code"
"NAICS2017_LABEL","Meaning of NAICS Code"
"NAPCS2017","2017 NAPCS collection code"
"NAPCS2017_LABEL","Meaning of NAPCS collection code"
"YEAR","Year"
"NAPCSDOL","Sales, value of shipments, or revenue of NAPCS collection code ($1,000)"
"NAPCSDOL_S","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%)"
"NAPCSDOL_IMP","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed"
