"Column Name","Label"
"GEO_ID","Geographic identifier code"
"GEO_TTL","Geographic Area Name"
"NAICS2012","2012 NAICS code"
"NAICS2012_TTL","Meaning of 2012 NAICS code"
"CONCENFI","Firm concentration code"
"CONCENFI_TTL","Meaning of Firm concentration code"
"YEAR","Year"
"YEAR_TTL","Meaning of Year"
"COMPANY","Number of companies"
"RCPTOT","Value of sales, shipments, receipts, revenue, or business done ($1,000)"
"CCORCPPCT","Percent of total value of shipments (%)"
"VSHERFI","Percent of value of shipments by the Herfindahl-Hirschman index for 50 largest companies "
