Competition

"Department Name","Department ID","Total Actions","Total Dollars","Competed Actions","% Competed Actions","Competed Dollars","% Competed Dollars","Not Competed Actions","% Not Competed Actions","Not Competed Dollars","% Not Competed Dollars","Extent Competed Null Actions","% Extent Competed Null Actions","Extent Competed Null Dollars","% Extent Competed Null Dollars"
"LIBRARY OF CONGRESS","0300","8","$500.00","7","87.5000%","$500.00","100.0000%","1","12.5000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"NUCLEAR WASTE TECHNICAL REVIEW BOARD","4856","1","$29,835.08","1","100.0000%","$29,835.08","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)","3400","8","$189,787.03","4","50.0000%","$107,887.03","56.8464%","4","50.0000%","$81,900.00","43.1536%","0","0.0000%","$0.00","0.0000%"
"ADMINISTRATIVE CONFERENCE OF THE U. S.","9515","6","$194,608.16","5","83.3333%","$168,056.00","86.3561%","1","16.6667%","$26,552.16","13.6439%","0","0.0000%","$0.00","0.0000%"
"MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION","9545","6","$220,917.64","0","0.0000%","$0.00","0.0000%","6","100.0000%","$220,917.64","100.0000%","0","0.0000%","$0.00","0.0000%"
"FEDERAL HOUSING FINANCE AGENCY","9542","1","$304,938.00","1","100.0000%","$304,938.00","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION","9514","50","$993,368.68","49","98.0000%","$994,005.15","100.0641%","1","2.0000%","($636.47)","(0.0641%)","0","0.0000%","$0.00","0.0000%"
"THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY","9511","21","$1,561,106.08","21","100.0000%","$1,561,106.08","100.0000%","0","0.0000%","$0.00","0.0000%","0","0.0000%","$0.00","0.0000%"
"FEDERAL LABOR RELATIONS AUTHORITY","5400","122","$2,220,555.37","120","98.3607%","$1,954,806.25","88.0323%","2","1.6393%","$265,749.12","11.9677%","0","0.0000%","$0.00","0.0000%"
"COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED","9518","35","$2,228,551.08","13","37.1429%","$709,741.65","31.8477%","22","62.8571%","$1,518,809.43","68.1523%","0","0.0000%","$0.00","0.0000%"
"NATIONAL ENDOWMENT FOR THE HUMANITIES","4340","50","$2,309,034.16","19","38.0000%","$1,041,920.41","45.1236%","31","62.0000%","$1,267,113.75","54.8764%","0","0.0000%","$0.00","0.0000%"
"J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","20","$2,736,805.34","17","85.0000%","$2,585,515.28","94.4720%","3","15.0000%","$151,290.06","5.5280%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MARITIME COMMISSION","6500","72","$3,457,173.79","43","59.7222%","$1,062,878.72","30.7442%","29","40.2778%","$2,394,295.07","69.2558%","0","0.0000%","$0.00","0.0000%"
"NATIONAL ENDOWMENT FOR THE ARTS","5920","46","$3,535,196.77","35","76.0870%","$2,785,220.78","78.7855%","11","23.9130%","$749,975.99","21.2145%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION","9504","202","$3,892,014.09","0","0.0000%","$0.00","0.0000%","202","100.0000%","$3,892,014.09","100.0000%","0","0.0000%","$0.00","0.0000%"
"MERIT SYSTEMS PROTECTION BOARD","4100","241","$3,939,447.34","68","28.2158%","$2,139,337.63","54.3055%","173","71.7842%","$1,800,109.71","45.6945%","0","0.0000%","$0.00","0.0000%"
"FEDERAL MEDIATION AND CONCILIATION SERVICE","9300","114","$4,361,528.01","64","56.1404%","$1,940,792.92","44.4980%","50","43.8596%","$2,420,735.09","55.5020%","0","0.0000%","$0.00","0.0000%"
"SELECTIVE SERVICE SYSTEM","9000","91","$5,407,057.94","87","95.6044%","$5,357,407.94","99.0818%","4","4.3956%","$49,650.00","0.9182%","0","0.0000%","$0.00","0.0000%"
"THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","5300","64","$5,610,325.44","47","73.4375%","$4,599,808.14","81.9883%","17","26.5625%","$1,010,517.30","18.0117%","0","0.0000%","$0.00","0.0000%"
"DEFENSE NUCLEAR FACILITIES SAFETY BOARD","9516","42","$6,558,555.88","22","52.3810%","$1,784,503.59","27.2088%","20","47.6190%","$4,774,052.29","72.7912%","0","0.0000%","$0.00","0.0000%"
"FEDERAL ELECTION COMMISSION","9506","143","$9,397,130.48","83","58.0420%","$5,816,755.08","61.8993%","60","41.9580%","$3,580,375.40","38.1007%","0","0.0000%","$0.00","0.0000%"
"INTERNATIONAL TRADE COMMISSION","3400","179","$13,375,338.02","105","58.6592%","$9,627,864.58","71.9822%","74","41.3408%","$3,747,473.44","28.0178%","0","0.0000%","$0.00","0.0000%"
"NATIONAL TRANSPORTATION SAFETY BOARD","9508","225","$16,480,094.72","173","76.8889%","$13,538,941.23","82.1533%","52","23.1111%","$2,941,153.49","17.8467%","0","0.0000%","$0.00","0.0000%"
"UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","197","$17,719,434.15","165","83.7563%","$14,117,778.81","79.6740%","32","16.2437%","$3,601,655.34","20.3260%","0","0.0000%","$0.00","0.0000%"
"NATIONAL LABOR RELATIONS BOARD","6300","210","$18,550,542.76","153","72.8571%","$9,056,555.01","48.8210%","57","27.1429%","$9,493,987.75","51.1790%","0","0.0000%","$0.00","0.0000%"
"DISTRICT OF COLUMBIA COURTS","9534","216","$24,715,314.25","137","63.4259%","$15,245,972.83","61.6863%","79","36.5741%","$9,469,341.42","38.3137%","0","0.0000%","$0.00","0.0000%"
"EXPORT-IMPORT BANK OF THE U.S.","8300","357","$33,427,273.52","225","63.0252%","$47,284,790.58","141.4557%","131","36.6947%","($13,857,517.06)","(41.4557%)","1","0.2801%","$0.00","0.0000%"
"NATIONAL GALLERY OF ART","3355","555","$35,262,368.76","380","68.4685%","$27,182,481.81","77.0864%","175","31.5315%","$8,079,886.95","22.9136%","0","0.0000%","$0.00","0.0000%"
"COURT SERVICES AND OFFENDER SUPERVISION AGENCY","9594","356","$36,851,106.64","279","78.3708%","$25,197,429.54","68.3763%","77","21.6292%","$11,653,677.10","31.6237%","0","0.0000%","$0.00","0.0000%"
"CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","9577","183","$37,375,067.36","123","67.2131%","$13,412,459.90","35.8861%","60","32.7869%","$23,962,607.46","64.1139%","0","0.0000%","$0.00","0.0000%"
"CONSUMER PRODUCT SAFETY COMMISSION","6100","759","$41,017,848.16","206","27.1410%","$20,255,731.54","49.3827%","553","72.8590%","$20,762,116.62","50.6173%","0","0.0000%","$0.00","0.0000%"
"UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CORPORATION","7700","422","$42,070,263.51","302","71.5640%","$32,570,274.46","77.4188%","120","28.4360%","$9,499,989.05","22.5812%","0","0.0000%","$0.00","0.0000%"
"INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","19BM","618","$54,495,971.44","401","64.8867%","$46,107,525.67","84.6072%","217","35.1133%","$8,388,445.77","15.3928%","0","0.0000%","$0.00","0.0000%"
"RAILROAD RETIREMENT BOARD","6000","468","$55,853,799.99","368","78.6325%","$42,817,995.27","76.6608%","100","21.3675%","$13,035,804.72","23.3392%","0","0.0000%","$0.00","0.0000%"
"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","4500","831","$58,412,073.47","347","41.7569%","$20,613,856.91","35.2904%","484","58.2431%","$37,798,216.56","64.7096%","0","0.0000%","$0.00","0.0000%"
"EXECUTIVE OFFICE OF THE PRESIDENT","1100","532","$65,898,842.56","275","51.6917%","$33,116,818.73","50.2540%","257","48.3083%","$32,782,023.83","49.7460%","0","0.0000%","$0.00","0.0000%"
"COMMODITY FUTURES TRADING COMMISSION","9507","570","$77,581,449.45","332","58.2456%","$61,278,813.88","78.9864%","238","41.7544%","$16,302,635.57","21.0136%","0","0.0000%","$0.00","0.0000%"
"FEDERAL TRADE COMMISSION","2900","587","$83,907,831.23","292","49.7445%","$66,568,697.55","79.3355%","295","50.2555%","$17,339,133.68","20.6645%","0","0.0000%","$0.00","0.0000%"
"MILLENNIUM CHALLENGE CORPORATION","9543","555","$97,770,897.44","502","90.4505%","$89,862,178.79","91.9110%","53","9.5495%","$7,908,718.65","8.0890%","0","0.0000%","$0.00","0.0000%"
"PEACE CORPS","1145","12,966","$109,727,368.03","12,816","98.8431%","$104,422,691.47","95.1656%","150","1.1569%","$5,304,676.56","4.8344%","0","0.0000%","$0.00","0.0000%"
"GOVERNMENT ACCOUNTABILITY OFFICE","0500","563","$110,851,781.84","453","80.4618%","$103,778,434.99","93.6191%","110","19.5382%","$7,073,346.85","6.3809%","0","0.0000%","$0.00","0.0000%"
"CONSUMER FINANCIAL PROTECTION BUREAU","955F","840","$118,072,293.09","603","71.7857%","$93,012,117.21","78.7756%","237","28.2143%","$25,060,175.88","21.2244%","0","0.0000%","$0.00","0.0000%"
"UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG","9568","3,418","$160,831,073.38","2,914","85.2545%","$111,864,327.09","69.5539%","504","14.7455%","$48,966,746.29","30.4461%","0","0.0000%","$0.00","0.0000%"
"NUCLEAR REGULATORY COMMISSION","3100","1,723","$162,125,878.97","961","55.7748%","$117,067,089.57","72.2075%","762","44.2252%","$45,058,789.40","27.7925%","0","0.0000%","$0.00","0.0000%"
"NATIONAL ARCHIVES AND RECORDS ADMINISTRATION","8800","1,342","$170,976,986.40","865","64.4560%","$109,195,067.99","63.8654%","477","35.5440%","$61,781,918.41","36.1346%","0","0.0000%","$0.00","0.0000%"
"FEDERAL COMMUNICATIONS COMMISSION","2700","825","$346,258,557.15","526","63.7576%","$144,144,370.73","41.6291%","299","36.2424%","$202,114,186.42","58.3709%","0","0.0000%","$0.00","0.0000%"
"PENSION BENEFIT GUARANTY CORPORATION","1665","943","$376,563,221.05","776","82.2906%","$334,223,047.63","88.7562%","167","17.7094%","$42,340,173.42","11.2438%","0","0.0000%","$0.00","0.0000%"
"SMITHSONIAN INSTITUTION","3300","3,767","$398,248,063.78","1,176","31.2185%","$249,818,961.22","62.7295%","2,591","68.7815%","$148,429,102.56","37.2705%","0","0.0000%","$0.00","0.0000%"
"OFFICE OF PERSONNEL MANAGEMENT","2400","2,379","$468,186,884.86","1,305","54.8550%","$326,769,366.18","69.7946%","1,072","45.0609%","$142,404,336.76","30.4161%","2","0.0841%","($986,818.08)","(0.2108%)"
"NATIONAL SCIENCE FOUNDATION","4900","933","$497,701,579.57","536","57.4491%","$430,288,663.86","86.4552%","396","42.4437%","$67,442,428.50","13.5508%","1","0.1072%","($29,512.79)","(0.0059%)"
"SECURITIES AND EXCHANGE COMMISSION","5000","1,592","$549,947,320.77","863","54.2085%","$434,214,834.98","78.9557%","729","45.7915%","$115,732,485.79","21.0443%","0","0.0000%","$0.00","0.0000%"
"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","8600","1,956","$683,106,696.69","1,138","58.1800%","($174,880,647.91)","(25.6008%)","818","41.8200%","$857,987,344.60","125.6008%","0","0.0000%","$0.00","0.0000%"
"SMALL BUSINESS ADMINISTRATION","7300","1,551","$1,147,879,555.46","1,080","69.6325%","$544,644,305.10","47.4479%","471","30.3675%","$603,235,250.36","52.5521%","0","0.0000%","$0.00","0.0000%"
"ENVIRONMENTAL PROTECTION AGENCY","6800","14,039","$1,198,263,186.67","11,561","82.3492%","$1,022,822,418.33","85.3587%","2,409","17.1593%","$179,523,030.04","14.9819%","67","0.4772%","($4,070,572.30)","(0.3397%)"
"SOCIAL SECURITY ADMINISTRATION","2800","4,485","$1,830,946,556.70","3,025","67.4470%","$1,510,188,328.31","82.4813%","1,460","32.5530%","$320,758,228.39","17.5187%","0","0.0000%","$0.00","0.0000%"
"LABOR, DEPARTMENT OF","1600","6,196","$2,365,883,479.09","4,463","72.0303%","$2,066,544,695.85","87.3477%","1,730","27.9212%","$299,341,560.39","12.6524%","3","0.0484%","($2,777.15)","(0.0001%)"
"EDUCATION, DEPARTMENT OF","9100","2,330","$2,684,395,355.26","1,881","80.7296%","$2,485,267,618.95","92.5820%","442","18.9700%","$199,131,691.15","7.4181%","6","0.2575%","($972.09)","(0.0000%)"
"COMMERCE, DEPARTMENT OF","1300","19,518","$4,519,741,965.82","13,845","70.9345%","$3,148,223,701.28","69.6549%","5,518","28.2713%","$1,367,337,346.49","30.2526%","150","0.7685%","$4,010,009.53","0.0887%"
"INTERIOR, DEPARTMENT OF THE","1400","47,984","$5,089,974,112.35","37,497","78.1448%","$4,145,525,761.50","81.4449%","10,460","21.7989%","$944,494,694.45","18.5560%","27","0.0563%","($46,343.60)","(0.0009%)"
