Sum of Dollars Obligated,Column Labels,
Row Labels,2015,Grand Total
300,0,0
559,49644916.65,49644916.65
1100,67559791.09,67559791.09
1145,145481419.9,145481419.9
1153,19859351.72,19859351.72
1204,6565045.65,6565045.65
1205,545304928.1,545304928.1
1301,94435557.22,94435557.22
1323,395933042.4,395933042.4
1330,1400081228,1400081228
1341,318366117.7,318366117.7
1344,949883136.5,949883136.5
1404,2078898.9,2078898.9
1406,1761150250,1761150250
1422,336136738.9,336136738.9
1425,315761928.7,315761928.7
1434,268048534.7,268048534.7
1435,28495982.6,28495982.6
1436,69254823.05,69254823.05
1438,4806759.78,4806759.78
1443,762328424.2,762328424.2
1448,339729665.4,339729665.4
1450,259663540.5,259663540.5
1501,1321344565,1321344565
1524,541659165.6,541659165.6
1540,2838649028,2838649028
1544,1030582393,1030582393
1549,1818527082,1818527082
1550,99867716.42,99867716.42
1560,221936993.9,221936993.9
1604,5602200.75,5602200.75
1605,461772093,461772093
1625,83410514.88,83410514.88
1630,1401158153,1401158153
1645,23731053.6,23731053.6
1665,283728650.8,283728650.8
1700,84886712417,84886712417
1900,8159277300,8159277300
2001,120942022.4,120942022.4
2004,7461595.86,7461595.86
2026,-10834.98,-10834.98
2033,-11525,-11525
2036,418618763.4,418618763.4
2041,268335108,268335108
2044,2792839720,2792839720
2046,143628283.3,143628283.3
2050,1927408277,1927408277
2083,20000,20000
2100,72691492022,72691492022
2400,924228525.6,924228525.6
2700,110526423.4,110526423.4
2800,1642046942,1642046942
2900,65589011.75,65589011.75
3100,222315307.1,222315307.1
3300,294595786,294595786
3352,1848532.04,1848532.04
3355,33699465.91,33699465.91
3358,701635.75,701635.75
3400,10392268.3,10392268.3
3600,20149201966,20149201966
4100,2386329.24,2386329.24
4500,45827785.88,45827785.88
4704,3016271.28,3016271.28
4705,221532502.2,221532502.2
4732,6285717347,6285717347
4740,3095968473,3095968473
4900,422627219.9,422627219.9
5000,399545255,399545255
5300,3475838.78,3475838.78
5400,1438448.53,1438448.53
5700,52962023105,52962023105
5920,4490168.31,4490168.31
5940,2497048,2497048
6000,43190890.81,43190890.81
6100,29307794.91,29307794.91
6300,24242110.69,24242110.69
6500,3282466.75,3282466.75
6800,1390073169,1390073169
6901,362151822.3,362151822.3
6920,4405945536,4405945536
6925,650053586.6,650053586.6
6930,56205911.94,56205911.94
6938,347967260,347967260
6940,182154427.4,182154427.4
6947,16015901.4,16015901.4
6953,76424228.09,76424228.09
6955,126084411.3,126084411.3
6957,43108710.64,43108710.64
7001,2600903909,2600903909
7003,974577537.6,974577537.6
7004,21305248.86,21305248.86
7008,2558119235,2558119235
7009,231503833.7,231503833.7
7012,1326781351,1326781351
7013,1648518032,1648518032
7014,2125847242,2125847242
7015,1034731364,1034731364
7022,916613783.5,916613783.5
7100,20530174.64,20530174.64
7200,4907828016,4907828016
7300,107700832.6,107700832.6
7500,20210.72,20210.72
7505,949695175.8,949695175.8
7522,279612884.8,279612884.8
7523,5720682332,5720682332
7524,1135360673,1135360673
7526,233241994.1,233241994.1
7527,725829775.6,725829775.6
7528,141637438.7,141637438.7
7529,4548826695,4548826695
7530,6748978747,6748978747
7570,1567552950,1567552950
8000,15913812423,15913812423
8300,30386311.89,30386311.89
8600,1152132376,1152132376
8604,11152859.79,11152859.79
8800,156422960.8,156422960.8
8900,25113272970,25113272970
8960,60710993.75,60710993.75
9000,387672,387672
9100,2666704700,2666704700
9300,2423176.67,2423176.67
9502,1323170.51,1323170.51
9506,9298316.95,9298316.95
9507,82189352.03,82189352.03
9508,12178824.16,12178824.16
9516,3316745.45,3316745.45
9542,928125,928125
9543,80773238.24,80773238.24
9565,1819279.42,1819279.42
9568,175789240.3,175789240.3
9577,64648860.12,64648860.12
9594,35262451.42,35262451.42
9748,269630793.5,269630793.5
9761,955911936.4,955911936.4
9763,-28811258.98,-28811258.98
9771,519148238.1,519148238.1
9776,3370153487,3370153487
12000,93474746.09,93474746.09
12C2,1403134090,1403134090
12C3,137691046.1,137691046.1
12D2,1129174891,1129174891
12F2,157290725.6,157290725.6
12G2,52060257.96,52060257.96
12H2,234032087.8,234032087.8
12K2,1734408753,1734408753
12K3,682789129.8,682789129.8
19BM,31310629.68,31310629.68
955F,61295368.58,61295368.58
959P,8238108.55,8238108.55
97AE,946935422.2,946935422.2
97AK,4947413643,4947413643
97AS,30898318404,30898318404
97AT,65418198.25,65418198.25
97AV,94966965.19,94966965.19
97AZ,262015568.6,262015568.6
97BZ,200394993.5,200394993.5
97DH,12096962633,12096962633
97F1,70817062.33,70817062.33
97F2,251069955.3,251069955.3
97F5,1337528868,1337528868
97F7,57862275.06,57862275.06
97HW,45205896.97,45205896.97
97JC,4695984129,4695984129
97ZS,2914488946,2914488946
Grand Total,4.40149E+11,4.40149E+11
