,Column Labels,,,,,,,,,,,,
Values,2000,2001,2002,2003,2004,2005,2006,2007,2008,2018,2019,2020,Grand Total
Sum of Dollars Obligated," 206,798,506,174 "," 223,078,174,734 "," 264,181,233,457 "," 324,942,873,917 "," 339,218,457,318 "," 391,135,642,377 "," 430,955,252,735 "," 469,628,012,897 "," 541,674,789,858 "," 555,295,316,873 "," 590,185,036,192 "," 668,188,086,359 "," 5,005,281,382,892 "
Sum of Number of Records," 594,624 "," 642,068 "," 830,649 "," 1,183,901 "," 2,001,892 "," 2,923,780 "," 3,798,077 "," 4,112,089 "," 4,505,603 "," 5,616,376 "," 6,484,030 "," 6,291,158 "," 38,984,247 "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,5150710,,,
,,,,,,,,,,465666,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fiscal_year,FPDSobligatedamount,fs2obligatedamount,BothCount,FPDScount,fs2count,FYearMismatch,,,,,,,
1987,-171000,NULL,0,2,0,0,,,,,,,
1988,7652670,NULL,0,57,0,0,,,,,,,
1989,1636683946,NULL,0,2813,0,0,,,,,,,
1990,1.2035E+11,NULL,0,217182,0,0,,,,,,,
1991,1.36154E+11,NULL,0,249091,0,0,,,,,,,
1992,1.23407E+11,NULL,0,240574,0,0,,,,,,,
1993,1.21373E+11,NULL,0,227903,0,0,,,,,,,
1994,1.17964E+11,NULL,0,230094,0,0,,,,,,,
1995,1.1804E+11,NULL,0,239997,0,0,,,,,,,
1996,1.19667E+11,NULL,0,260836,0,0,,,,,,,
1997,1.17204E+11,NULL,0,256866,0,0,,,,,,,
1998,1.18133E+11,NULL,0,259810,0,0,,,,,,,
1999,1.24701E+11,NULL,0,271684,0,0,,,,,,,
2000,2.06955E+11,NULL,0,594651,0,0,,,,,,,
2001,2.24431E+11,NULL,0,641995,0,0,,,,,,,
2002,2.65271E+11,NULL,0,830370,0,0,,,,,,,
2003,3.19166E+11,NULL,0,1183363,0,0,,,,,,,
2004,3.38745E+11,NULL,0,1997452,0,0,,,,,,,
2005,3.90521E+11,NULL,0,2918815,0,0,,,,,,,
2006,4.29745E+11,NULL,0,3793506,0,0,,,,,,,
2007,4.68701E+11,NULL,0,4108007,0,0,,,,,,,
2008,5.26794E+11,NULL,0,4501602,0,0,,,,,,,
2009,5.53777E+11,NULL,0,3492746,0,0,,,,,,,
2010,5.59179E+11,NULL,0,3535246,0,0,,,,,,,
2011,5.38334E+11,NULL,0,3400426,0,0,,,,,,,
2012,5.20075E+11,NULL,0,3124003,0,0,,,,,,,
2013,4.6111E+11,NULL,0,2492271,0,0,,,,,,,
2014,4.4542E+11,NULL,0,2524855,0,0,,,,,,,
2015,4.41715E+11,NULL,0,4374821,0,0,,,,,,,
2016,4.76612E+11,NULL,0,4823826,0,0,,,,,,,
2017,5.11291E+11,4217224.415,5,4892801,5,5,,,,,,,
2018," 544,692,651,626 "," 555,423,087,680 "," 5,154,275 "," 5,179,606 "," 5,615,516 ", -   ,,,,,,,
2019,5.90155E+11,NULL,0,6480074,0,0,,,,,,,
2020,6.52915E+11,NULL,0,6019389,0,0,,,,,,,
