Series,Aproximate Date,Monthly Production,Links,Speaker,Article Date,Text,Estimate Date
Actuals,2/1/2022,"14,000",https://www.defensenews.com/pentagon/2022/12/05/army-plans-dramatic-ammo-production-boost-as-ukraine-drains-stocks/,Warmuth,12/5/2022,"Army Secretary Christine Wormuth separately told reporters that the U.S. will go from making 14,000 155mm shells each month to 20,000 by the spring and 40,000 by 2025.",12/4/2022
Army Dec. 2022 Targets,6/21/2022,"20,000",https://www.politico.com/news/2022/12/04/pentagon-industry-struggle-to-arm-ukraine-00072125,Warmuth,12/4/2022,"By the spring, “we will be able to do 20,000 rounds a month,” she said.",12/4/2022
Army Dec. 2022 Targets,6/20/2025,"40,000",https://www.politico.com/news/2022/12/04/pentagon-industry-struggle-to-arm-ukraine-00072125,Warmuth,12/4/2022,"But it will take time to manufacture enough of them, she said, adding that the U.S. will get that rate up to 40,000 rounds a month in the spring of 2025.",12/4/2022
Actuals,2/23/2022,"14,400",https://www.nytimes.com/2023/01/24/us/politics/pentagon-ukraine-ammunition.html,,1/24/2023,"Before Russia invaded Ukraine on Feb. 24, the U.S. Army’s production of 14,400 unguided shells a month had been sufficient for the American military’s way of war. But the need to supply Kyiv’s armed forces prompted Pentagon leaders to triple production goals in September, and then double them again in January so that they could eventually make 90,000 or more shells a month.",1/24/2023
Army Mar. 2022 Targets,12/31/2023,"24,000",https://www.defensenews.com/digital-show-dailies/2023/03/28/us-army-eyes-six-fold-production-boost-of-155mm-shells-used-in-ukraine/,"Camarillo said at the Association of the U.S. Army’s Global Force Symposium in Huntsville, Alabama.",3/28/2023,"“to expand 155mm artillery production from 14,000 a month to over 24,000 later this year,”",3/28/2023
Army Mar. 2022 Targets,9/30/2028,"85,000",https://www.defensenews.com/pentagon/2023/09/15/production-of-key-munition-years-ahead-of-schedule-pentagon-says/,Camarillo,9/15/2023,"The Pentagon’s original goal was to build 85,000 of the rounds per month by fiscal 2028.",3/28/2023
Actuals,9/15/2023,"28,000",https://www.defensenews.com/pentagon/2023/09/15/production-of-key-munition-years-ahead-of-schedule-pentagon-says/,LaPlante,9/15/2023,"The current rate, he noted, is 28,000 per month — about double the rate from half a year ago.",9/15/2023
A&S Sept. 2022 Targets,6/20/2024,"57,000",https://www.defensenews.com/pentagon/2023/09/15/production-of-key-munition-years-ahead-of-schedule-pentagon-says/,LaPlante,9/15/2023,"and at least 57,000 a month by spring 2024.",9/15/2023
A&S Sept. 2022 Targets,9/30/2025,"100,000",https://www.defensenews.com/pentagon/2023/09/15/production-of-key-munition-years-ahead-of-schedule-pentagon-says/,LaPlante,9/15/2023,"It’s currently on pace to reach 100,000 per month by FY25",9/15/2023
Army Dec. 2023 Targets,3/31/2023,"36,000",https://www.defenseone.com/business/2023/11/race-make-artillery-shells-us-eu-see-different-results/392288/,Bush,11/27/2023,"Bush said the service now aims to boost its monthly production to 36,000 by March",11/27/2023
Army Dec. 2023 Targets,9/30/2023,"60,000",https://www.defenseone.com/business/2023/11/race-make-artillery-shells-us-eu-see-different-results/392288/,Bush,11/27/2023,"60,000 by September,",11/27/2023
Army Dec. 2023 Targets,3/31/2025,"70,000",https://www.defenseone.com/business/2023/11/race-make-artillery-shells-us-eu-see-different-results/392288/,Bush,11/27/2023,"70,000 to 80,000 in early 2025",11/27/2023
Army Dec. 2023 Targets,12/31/2025,"100,000",https://www.defenseone.com/business/2023/11/race-make-artillery-shells-us-eu-see-different-results/392288/,Bush,11/27/2023,"and 100,000 by the end of calendar 2025",11/27/2023
