"","Name","Column","Class","Label","Format","NAs","MaxChar"
"1","platpscintl_FPDS","ProductOrServiceCode","character",NA,NA,1482,4
"2","platpscintl_FPDS","PlatformPortfolio","factor",NA,NA,0,29
"3","platpscintl_FPDS","claimantprogramcode","factor",NA,NA,250204,3
"4","platpscintl_FPDS","ProjectID","numeric",NA,NA,9120174,4
"5","platpscintl_FPDS","Contracting_Agency_ID","character",NA,NA,0,4
"6","platpscintl_FPDS","Fiscal_Year","numeric",NA,NA,0,4
"7","platpscintl_FPDS","fiscal_quarter_YTD","numeric",NA,NA,8334288,1
"8","platpscintl_FPDS","fundedbyforeignentity","factor",NA,NA,2528261,1
"9","platpscintl_FPDS","IsFMS","numeric",NA,NA,1151313,1
"10","platpscintl_FPDS","PlaceISOalpha3","factor",NA,NA,782680,3
"11","platpscintl_FPDS","PlaceStateCode","factor",NA,NA,3904370,2
"12","platpscintl_FPDS","pop_state_code","factor",NA,NA,548769,2
"13","platpscintl_FPDS","placeofperformancezipcode","character",NA,NA,539465,10
"14","platpscintl_FPDS","VendorISOalpha3","factor",NA,NA,330736,3
"15","platpscintl_FPDS","VendorStateCode","factor",NA,NA,319747,35
"16","platpscintl_FPDS","OriginISOalpha3","factor",NA,NA,1819681,3
"17","platpscintl_FPDS","PlaceOfManufacture","character",NA,NA,494928,1
"18","platpscintl_FPDS","ManufacturingOrganizationType","factor",NA,NA,329564,1
"19","platpscintl_FPDS","VendorSize","factor",NA,NA,0,34
"20","platpscintl_FPDS","AnyCommercial","factor",NA,NA,268046,6
"21","platpscintl_FPDS","informationtechnologycommercialitemcategoryText","factor",NA,NA,513044,27
"22","platpscintl_FPDS","gfe_gfp_code","factor",NA,NA,266841,1
"23","platpscintl_FPDS","multiyearcontract","logical",NA,NA,3680797,5
"24","platpscintl_FPDS","Action_Obligation_Then_Year","numeric",NA,NA,14,15
"25","platpscintl_FPDS","SumOfobligatedAmountCovid19","numeric",NA,NA,9408533,16
"26","platpscintl_FPDS","NumberOfActions","numeric",NA,NA,611736,8
"27","platpscintl_FPDS","dFYear","Date",NA,NA,0,10
"28","platpscintl_FPDS","Fiscal_YQ","numeric",NA,NA,0,6
"29","platpscintl_FPDS","ContractingAgencyName","factor",NA,NA,0,62
"30","platpscintl_FPDS","ContractingCustomer","factor",NA,NA,0,7
"31","platpscintl_FPDS","SubCustomer","factor",NA,NA,0,14
"32","platpscintl_FPDS","SubCustomer.sum","factor",NA,NA,0,9
"33","platpscintl_FPDS","SubCustomer.platform","factor",NA,NA,0,9
"34","platpscintl_FPDS","ProductOrServiceCodeText","factor",NA,NA,1482,100
"35","platpscintl_FPDS","SimpleArea","factor",NA,NA,1482,8
"36","platpscintl_FPDS","ProductOrServiceArea","factor",NA,NA,1482,28
"37","platpscintl_FPDS","ProductServiceOrRnDarea","factor",NA,NA,1482,43
"38","platpscintl_FPDS","PlatformPortfolioUAV","factor",NA,NA,0,29
"39","platpscintl_FPDS","Project.Name","factor",NA,NA,9120174,85
"40","platpscintl_FPDS","IsUnknown","logical",NA,NA,9120174,5
"41","platpscintl_FPDS","IsRemotelyOperated","logical",NA,NA,9514357,4
"42","platpscintl_FPDS","SubCustomer.JPO","factor",NA,NA,0,9
"43","platpscintl_FPDS","Shiny.VendorSize","factor",NA,NA,0,9
"44","platpscintl_FPDS","Action_Obligation_OMB25_GDP23","numeric",NA,NA,14,21
"45","platpscintl_FPDS","foreign_funding_description","factor",NA,NA,2528261,25
"46","platpscintl_FPDS","PlaceOfManufactureText","factor",NA,NA,1812720,109
"47","platpscintl_FPDS","PlaceOfManufacture_Sum","factor",NA,NA,1812720,39
"48","platpscintl_FPDS","PlaceOfManufacture_DoD","factor",NA,NA,1812720,51
"49","platpscintl_FPDS","MFGorPerformIsForeign","logical",NA,NA,4943399,5
"50","platpscintl_FPDS","MFGisForeign","logical",NA,NA,5057300,5
"51","platpscintl_FPDS","ManufacturingOrganizationText","factor",NA,NA,3771516,51
"52","platpscintl_FPDS","ManufacturingOrganizationText_sum","factor",NA,NA,3771516,51
"53","platpscintl_FPDS","ManufacturingOrganizationParentHQisForeign","logical",NA,NA,3771516,5
"54","platpscintl_FPDS","PlaceIsForeign","logical",NA,NA,782680,5
"55","platpscintl_FPDS","OriginIsForeign","logical",NA,NA,1819681,5
"56","platpscintl_FPDS","VendorIsForeign","logical",NA,NA,330736,5
"57","platpscintl_FPDS","VendorSize_Intl","factor",NA,NA,0,13
"58","platpscintl_FPDS","IsJSF","character",NA,NA,0,15
"59","platpscintl_FPDS","IsFMSplaceIntl","factor",NA,NA,8735532,9
"60","platpscintl_FPDS","AnyInternational","numeric",NA,NA,8555219,1
"61","platpscintl_FPDS","YTD","factor",NA,NA,0,9
