"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"200 KW MOD MEP-009",1754,33110,,,,,,,,,,,,,,,,,,,,,,,
"404L TRAFF CNTRL & LAND S",1708,222247,1450545,,5357235,,,,,,,,,,,,,,,,,,,,
"411L AWACS",1713,4916474,,,7373691,,,,,,0,,,,,,,,,,,,,,
"421",2037,,,,,,,,,,,,,,,,748631,0,50000,222939.9844,,,-142046.125,,
"427M CHEYENNE",1724,26522402,2893555,52500,,,,,,,,,,,,,,,,,,,,,
"433L WEATHER SYSTEM",1710,,,9175569,,,,,,,,,,,,,,,,,,,,,
"439",2041,,,,,,,,,,,,,,,,47049131.4299,67351159,94073479,235177348,306193368.8501,99078859.1973,605493657.4865,361043933.6251,413533868.1406
"470",2046,,,,,,,,,,,,,,,,8872876.4393,22705774.9483,10431455.5,16790483.2491,4078205.6094,4734922.9063,1579383.3242,-376444.9053,
"474",2047,,,,,,,,,,,,,,,,142802870.4532,184939584.7696,386800413.3282,502709000.4131,377659904.8982,365001346.219,543043074.6052,396788117.7438,170672280.5079
"474L BMEWS",1714,8081129,,271606,,,,,,,,,,,,,,,,,,,,,
"479",2048,,,,,,,,,,,,,,,,881472.8,,,,19813000.01,8174413,3355338,1185143.2344,
"483",2049,,,,,,,,,,,,,,,,39832,,,,,,,,
"522",2242,,,,,,,,,,,,,,,,,,,,388118,5712323,6121634,6063916.5234,10344027.0469
"586",2249,,,,,,,,,,,,,,,,,,,,,70591389,60602802.75,93613520.6719,272455189.375
"589",2250,,,,,,,,,,,,,,,,,,,,,21854769.2032,33766017.125,35691816.2656,19281980.3281
"716",1852,,,,,,,,,,,,,,,0,,,,,,,,,
"750 KW",1753,186612,19971368,30414004,92090924,,,,,,,,,,,,,,,,,,,,
"A-1 SKYRAIDER",704,1e+05,859737,776409,199266,,,,,,,,,,,,,,,,,,,,
"A-10",1499,55312562,115975672,71243268,133214300,4030966,-102768,359009,168655282.7878,140378107.2677,132382769.279,228645472.0148,238314058.0085,92583466.3288,280646652.4402,59077291.3212,11249127.795,14129268.1458,950686.1802,172686,0,,-459007.5786,14495216.2998,-2991231.4687
"A-37",711,376480,364380,29972,210138,,,,,,,,,,,,,,,,,,,,
"A-6E / A-6 UPGRADE",83,,,,,,,,,,4839,0,,,,,,,,,,,,,
"A-7 CORSAIR II",708,335250,159900,1018768,243090,,,,,,,,,,,,,,,,,,,,
"A-7D",1318,,,,,,,,884,38916,3064.71,2515.7901,0,,,,,,,,,,,,
"A-7E",1314,,,,,,,,,0,,,,,,,,,,,,,,,
"AABNCP-E4",1461,-10546984,20890810,22292158,11616502,,,,,,,,,,,,,,,,,,,,
"AAG",2192,,,,,,,,,,,,,,,,,,,49993.5781,,,,,
"ABH",1882,,,15819431,35948445,13485356,3124689,882602,0,,,0,,399145,,,,,,,,,,,
"ABL",639,,,,,6394,287809,569885,531871,9642512,4385790,,,,-568349,,,,,,,,,,
"ABMS",2255,,,,,,,,,,,,,,,,,,,,2192734,33560162.8906,10989181,62344801.25,60887959.5
"ACA",1884,,517091,71734804,16035087,7081360,3810573,140085,797411.625,15921.8602,,,,-879675,,,,,,,,,,,
"ACD",1886,,8322646,40277642,43065858,45640392,14819494,37987071,23803574.665,9850094.9433,3863053,,,,75252.85,,79000,,,,,,,,
