"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",4789185000,3756302000,3544004985,3407867705,2342794931,2690530705,2500024569,2500873742,3707396686,4156351914.67,7820341431.53,7737776345.25,6120423006.62,7292829540,9158613858.2889,8202415154.4794,8289438826.1878,8863691665.6738,13426758403.4561,10720767172.305,10814501826.3466,12348655101.2414,14454959219.8624,12349683270.0529,9611185751.4657,9341529506.7622,11205093913.4257,11338182883.964,9661683137.3102,9202089971.7,9750831359.5525,7026053093.1851,5870325083.6815,9745825140.8068,6740646338.16,4233918592.37
"Electronics, Comms, & Sensors",4419741134.53,4299187000,4502403465,5021341707,2534031984,5631956298,6200365609,7535414006.2,6784040633,7735632683.31,4580530895.9665,6382222467.1912,6829597972.3017,9322517559.2423,11718340388.3056,15482354724.6472,16368438909.2554,19993837560.0241,24927282899.8378,22925357499.7923,22279474215.9459,17500742881.2913,15394594295.4761,11972796371.0325,10901495723.4415,10278630136.8088,11054840911.99,11207115747.4204,12645108763.6318,11770170606.6276,11712507895.8049,10086127686.9593,10703176071.4727,11320660880.5034,11915325110.77,4146419728.76
"Facilities and Construction",4945058000,8722018000,8669804464,8638763409,8389731188,9498373095,9534790721,10275166566,10693576261,11764336797.14,10486717040.6205,11721061581.0003,13479107970.5395,18125945424.6083,20244387139.1126,22144303830.5388,25683154872.2044,26366193100.1999,35824151340.5435,43489222718.1489,39069817838.9679,33243526816.2061,29867124512.629,23384798280.8141,24156494035.3892,20946799774.3094,20700340335.5077,20630190562.0529,26589283680.1986,29900704148.6086,34080384113.2849,25618507824.6236,29253651853.5212,34750408866.6942,33389206990.3719,10072158217.22
"Land Vehicles",3719560000,6088233000,3682471399,4039011387,225537379,2703509938,3305568630,4267497462,3491169608,4603761396,2711518902.419,2572935202.8,3624593660.5361,8541273889.54,6725253899.7808,13179021648.5024,14005214809.6139,22313185094.7931,28557900087.8699,24060172788.1136,20053234932.7509,14652100404.3176,7378169509.5406,5493859650.935,4126945711.6815,5527115659.3221,5023810020.4263,5684508262.5197,8710236958.3654,8951929943.5929,8068173897.2062,6815736343.5701,7729694532.2808,10147744413.125,8707463502,4711768808.29
"Missile Defense",1120025000,2981127000,2223992743,2959858750,2358517153,2017408518,2230964453,3073986159,2877613852,2379267979,1354702863,1490995427.4,2090283132,1997872448,1838114930,1722646752,2393886882.91,2049531599.6261,2640295511.5117,3865414824.9638,4406562411.1806,4606138568.5741,3991826385.0534,2793951304.9646,2251323747.6617,4456914414.9631,2917984105.9196,2710491353.1743,4667739676.9956,5397572682.8034,5899425613.3359,2417855774.7764,3326330296.493,4930294728.3096,3612203476.75,1259163144.43
"Ordnance and Missiles",1754521000,5760661000,5342432105,3850429829,1565644804,3171493465,3500773528,4121607687,4029330202,5328954672.01,3127915111.9,3763484654.1795,4948564567.38,5105336384.3897,5555490294.2377,6724939162.7662,6048292015.0509,7427890474.3093,10224436498.4789,9150799705.0046,7940228572.2188,7181779590.0035,6702210538.209,4499834280.2069,4198461318.6017,4213690181.9822,5556036162.4639,7801927964.0675,8172295690.2056,8844253844.7058,8498055962.7483,8245665531.372,7665179472.1684,17434030672.3715,16113017815.38,3840485150.54
"Other Products",590021000,923951000,509570160,400302592,403821065,356797574,429802612,423467607,506442949,728199897,554428929,561131566,809979038.3111,1485296497.2064,1778521058.0616,8163691622.6308,7672705940.8601,8669795981.269,10848160227.4274,5075435564.6893,4420056073.628,4126773621.1251,2777834081.7179,2259555336.865,2225734604.4996,1473070476.2499,1542322494.999,1542343603.0149,1753079915.7769,1937305809.1145,3619136785.5773,31343937124.3547,30233655763.9392,4713838107.444,2645185988.86,438380395.77
"Other R&D and Knowledge Based",1054032000,1684852000,1681122599,1654212854,2182586194,2636761581,2987399972,3307396015.06,4243681530,4347642056.38,3810071469.2123,3701836344.5103,5196869619.9827,6879272651.0099,8554512446.203,10002826586.523,11528906940.8962,13729623287.9063,15367757083.3165,16481382768.3477,17759898484.3937,17703627782.1464,17649388939.897,14927768294.936,12549663201.8174,12148247098.3214,11411397903.7555,12035514171.8276,12552200901.887,12677819234.6451,12510881745.9047,12671962491.3587,12127645943.5951,12837188276.3395,15005515907.84,6680111943.74
"Other Services",460294000,739507000,721428300,614467215,576034333,702514157,978731112,1137311378,956787961,2202710176,2172056314.1198,2341728430.3494,2554072220.9803,4685951121.5098,9741607844.3791,9236607466.913,8770622073.1851,7935352746.69,9841580971.9272,10245593309.5033,13080985163.4256,12994734830.9703,9717971559.515,9029217883.6923,4572205034.0497,3933865539.0539,4155319281.4781,4947981735.9576,5714516540.6657,5464806683.3295,5164279436.4873,5027389737.908,4990817721.5085,5168265202.4804,5134389426.2,1766302719.12
"Ships & Submarines",104426000,70978000,177184855,113353959,82447656,84166972,100032537,113002458,137461486,158850646,65831080,107493408,140421826,171196518,143866947,223091196.7793,239646309.2816,218840886.5495,335604048.1476,395633867.7776,343451927.8346,209898600.843,281926353.8444,220104794.2794,181749946.6075,179503548.9968,300940645.3871,274189056.41,347847182.6919,335660976.3571,520191696.7569,484256352.9265,619184301.4783,953837882.5366,898634833.77,419587228.99
