"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"****AFX",1896,321974696,115665795,157385007,249189227,267940006,165985451,100293,4456032,0,-634928.24,-2002263,-3151588,,0,0,,,,,,,,,
"105MM ART AMMUNITION ALL",370,37759,,,,,,,,,,,,,,,,,,,,,,,
"105MM GUN M-60 COMBAT",897,,,,121691,,,,,,,,,,,,,,,,,,,,
"125/250 AIR CONDITIONING",1162,,,49752,85000,,,,,,,,,,,,,,,,,,,,
"20MM AMMUNITION ALL TYPES",349,,150000,,,,,,,,,,,,,,,,,,,,,,
"2500 LM GAS TURBINE",1148,,6737643,6961745,7718459,,,,,,,,,,,,,,,,,,,,
"2GFM",1010,,248435,,,,,,,,,,,,,,,,,,,,,,
"2GID",1026,,219908,,,,,,,,,,,,,,,,,,,,,,
"2GNB",1048,,-29200,,,,,,,,,,,,,,,,,,,,,,
"375",1369,,,,,,,,,,,,,2220077,69335,28000,-450000,-12000,,,,,,,
"400 HZ POWER GENERATOR",1143,,26385,,,,,,,,,,,,,,,,,,,,,,
"404L TRAFF CNTRL & LAND S",1708,596561,,,,,,,,,,,,,,,,,,,,,,,
"407L TACTICAL AIR CONTROL",1707,,49005,,,,,,,,,,,,,,,,,,,,,,
"433",2039,,,,,,,,,,,,,,,,1979367.7305,-1171,26030.9004,,-11083,2337666,1585055.625,-191338.5469,
"442",2042,,,,,,,,,,,,,,,,238452307.65,347271886.6563,270995631.1275,34361995.1301,896004322.8716,452891644,340349546,274535979,452372735.25
"443",2043,,,,,,,,,,,,,,,,17929063,42273538,54463272.9531,60218901.1484,42565343.1875,63033358.4063,68469604.125,50699046.1406,19536530.8125
"479",2048,,,,,,,,,,,,,,,,,,,,,3815132.375,4005000,1484094.625,0
"483",2049,,,,,,,,,,,,,,,,,,3191100.7208,,,,,,
"5""/38 CAL CARTRIDGE",910,,64260,,,,,,,,,,,,,,,,,,,,,,
"5-INCH GUIDED PROJ",10,,,,,,,,37454288,200859,,,,,,,,,,,,,,,
"5./54 MK-41 PROJECTILE",917,,123965,,,,,,,,,,,,,,,,,,,,,,
"5.56MM AMMUNITION ALL TYP",360,,,1941408,,,,,,,,,,,,,,,,,,,,,
"5.56MM CARBINE",313,,,,1812699,,,,,,,,,,,,,,,,,,,,
"5.56MM M249 SQD AUTOMATIC",318,,,28800,,,,,,,,,,,,,,,,,,,,,
"50CAL M2 MACHINE GUN",307,,,,195700,,,,,,,,,,,,,,,,,,,,
"9MM AMMUNITION ALL TYPES",361,,,,205125,,,,,,,,,,,,,,,,,,,,
"<60 KW",568,,,,262593,,,,,,,,,,,,,,,,,,,,
"A-1 SKYRAIDER",704,,1653432,5572001,9540174,,,,,,-5518,360,,,,,,,,,,,,,
"A-10",1499,,,,,,,18141.9599,,,,,,,,,,,,,,,,,
"A-12 AVENGER (TO REPLACE",710,,,72065,29643,,,,,,,,,,,,,,,,,,,,
"A-37",711,,,,174999,,,,,,,,,,,,,,,,,,,,
"A-4 SKYHAWK",1879,8620409,7731673,13502937,100666284,7518307,127000,-69200,,294894,1700452.4844,1230,-1406.48,,,,,,,,,,,,
"A-6 INTRUDER",707,17920610,16690839,27892472,30723643,,,,,,0,,,,,,,,,,,,,,
"A-6E / A-6 UPGRADE",83,,,,,,,3052.54,52416.9519,388.72,,,,,,,,,,,,,,,
"A-7 CORSAIR II",708,1968420,119019,1229584,10960076,,,,,,,,,,,,,,,,,,,,
"A-7D",1318,,,,,,,13150679.5,20077652,54403528,66644724,94502010,51067022,48671784,31807186,-153711,0,,,,,,,,
"A-7E",1314,,,,,,,,,,,,,136284,,,,,,,,,,,
"A/EA-3 SKYWARRIOR",709,,,35000,43860,,,,,,,,,,,,,,,,,,,,
"A/P22P-9(V) CBR",1165,5302078,,2883023,,,,,,,,,,,,,,,,,,,,,
"A6",1878,,,,,,,,1000,,,,,,,,,,,,,,,,
"AAG",2192,,,,,,,,,,,,,,,,,,,,1871246,,1912444,85247,0
"ABL",639,,,,,,3030,,,,-80,,,8945.5498,,,,,,,,,,,
