"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft",134711000,287485000,179737478,144482433,244706625,336504711,470390720,706142074,912600205,1160319103,1468070937,1747480582,2073322664,2076600003.2793,2038112243.4219,2396416755.4048,2694225152.6742,2194765307.1332,3595888041.5493,4343156487.3977,5272833323.6326,5495636275.3613,5475089652.8919,4387321037.5969,4533602586.4338,4516734347.4595,5332174363.8206,6621852686.5576,9304958121.8215,9689498777.6962,8328390585.5033,7087186964.0333,7234953673.6211,2904828602.9646
"Electronics, Comms, & Sensors",1135399000,1727344000,2254565904,2162149497,2424092036,2297375725,2608218447,2582559681,3018761512,3310040026,3375414602.4015,4029557033.8874,4910301811.6674,6080062295.8643,6616095210.8855,7127430907.4423,7074650760.5251,6779088071.9124,7062657746.3328,7712248219.1145,9400166117.6607,10031188365.5803,9949671699.5978,8619483666.7143,9218925233.44,9211253189.6476,10136382001.8207,10928737372.0502,13152236212.0923,15204416921.7976,15221032699.7988,13176192282.5912,13619634037.4598,6259406150.2758
"Facilities and Construction",518699000,713157000,666749187,717022767,721217192,680073979,530061675,710056716,528579386,911181509,935228299.3146,1197785582.438,1924272218.1971,2197723843.7113,2679416909.3048,3081702152.4742,4232027345.351,3362336074.8051,3013800513.0323,2744697550.4405,3069947784.1947,3005172042.0697,2578566247.6041,2580541157.7153,2811602355.3136,3128119050.1624,3137981098.6095,3531579039.0732,4735625441.6559,4617729852.6159,4420806215.3675,6084540107.861,6631838415.6611,3073856555.3751
"Land Vehicles",100488000,141971000,120868471,111460120,797072369,103772508,130538205,152693930,117805097,147009978,172233703,166939599,225164260,386425490.1368,616313383.6178,618113488.3738,560880406.9845,772091644.0417,1377843619.3795,1374812041.1802,1334472303.2038,1070460650.5976,1200847746.8853,876559719.3282,1039322543.1915,1362316486.7526,1494772155.4003,1894506680.3975,2452221301.2608,2344955770.7277,2100807210.1179,1028908820.7424,1315761357.9288,581742113.0664
"Missile Defense",644651000,698253000,896703840,657288021,343747860,251953162,302444813,391376973,553426839,929210807,1375385776,1674978143,2488249399.8281,2671534150.0938,3382922949.586,3841965100.1563,3492633280.4842,4929029582.7202,5759516938.0691,5691196525.1624,5361488761.3845,5430892451.8828,6908642274.0371,7712469731.3897,6046765004.5286,4700257741.9091,6605353014.3279,5434407924.8987,8368200653.2769,8868802544.9865,12332793492.9963,8815194707.4599,9845383866.0602,4776452999.8963
"Ordnance and Missiles",6295000,51692000,12502086,93033140,245758104,18115708,65566521,33294410,24989537,21006959,39350794,70728141,180756021,164452470,262584717,144826408.6406,237501821.5,196287566.709,215568322.8748,190224039.8387,195249692.2223,227321277.9436,233251284.3411,170037272.2401,163271829.7645,208761270.0557,285276366.9864,306074243.6742,332606076.0826,453166090.9105,376473849.0503,314129526.1121,380504273.9409,602800245.1337
"Other Products",7984480000,10082896000,6485156670,7479868135,6526763761,5335636314,5828849361,6137841854,5488237585,5388725685,6773380434.09,7957929748,10465416940,12963801624.8095,14358260232.5789,21500856743.0072,24779626844.9488,23373436794.8028,26658937162.2451,28474038897.8283,22871610282.9487,23947664766.3479,31105321714.3905,22869651267.3333,20807324692.7423,18643316484.4314,16743274502.7052,19056001872.8315,22391297778.7218,20093212378.3717,20484549673.1611,19700877997.285,26642497516.1458,12080432230.74
"Other R&D and Knowledge Based",1196180000,1513255000,1981378472,1992619361,886811301,906887030,757212882,774370442,891037537,984775582,1037219874.8661,1093957732.8199,1547837787.0564,1921682458.0322,2113331303.0268,2863415611.5259,3382053377.9641,2370795875.9664,2775250743.1623,3150005700.4009,3552369688.1438,3488084550.2774,3518210883.5261,3830616371.7436,4415126534.8554,4659684834.6268,4781718911.5505,4864319651.9413,5277470353.3301,6318830332.2687,7088264560.5706,8017459233.4329,8361099872.4378,4679099489.6707
"Other Services",744384000,351323000,361140826,439373452,536626404,1366972401,1434392602,1946679297,2645264728,2757255211,1597341411,2537834346,4457528535.8999,6299534532.1022,5574421851.1096,7020600163.2807,8598954904.074,9705054239.5757,13836059071.128,16365443342.8003,15941313839.826,19327900994.1285,19984591036.1088,17806945827.7055,17213097832.003,15335441927.5022,15318109063.6735,16155321649.8241,17241779108.6047,18300251211.3433,18583758772.1328,18130178550.1713,19916822110.0697,14440963626.1314
"Ships & Submarines",46812000,115733000,71865030,76521952,66912289,91424022,105131446,101339554,129481382,83958208,133534162,117155576,144495805,147133923,180279875.9502,248453693.5,324351126.4687,419673689.0822,481005477.3654,746480011.9886,1240004423.34,1357995289.2222,1618348240.623,1548026226.5352,1633770322.7521,1886632207.7577,2128456425.0099,2740210923.0062,4556461202.9929,4977245247.9212,4589307026.2625,4097632047.1771,4755940781.5366,1731608898.1914
"Space Systems",7544000,12209000,15207939,6594424,53880311,1548106,389731,1159668,992429,1791720,1149160,166969,2616567,572258,3778328.9375,28866125,10230932.87,23753560.04,15863158.8829,12118413.2116,-8971912.0848,152352595.5557,-20019310.8582,-6050706.7907,21719702.07,-34868970.9883,-31957759.1483,5624295.2771,-6895151.9765,1132909.8093,63420828.2791,12888079.9644,119049552.4237,2690385.8459
"Unlabeled",,,,,,,,,,,2213101,626030,3257853.25,310453,1969306.0366,517024.1223,1554169.0395,,-58463.8594,291201.1904,-27082.3394,-27800.39,,,,,-2316.6801,-245,,,0,,75942.4795,308998.4317
