"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"****AFX",1896,,,,,,,,,,-19303,-5493913.2021,-2980021.9063,-871780.6984,-1304283.84,,,,,-29712.0195,,,,,
"12",2228,,,,,,,,,,,,,,,,,,4641.2002,-4641.2002,,,,,
"155 MM HIP",688,,,,,,,,,,169164.4531,148693.1954,,,,,,,,,,,,,
"2500 LM GAS TURBINE",1148,1575926,4641567,3650050,257190,,,,,,,,,,,,,,,,,0,,,
"25MM M242 AUTOMATIC GUN",319,,,,,,,,,,,,,0,,,,,,,,,,,
"39A",2034,,,,,,,,,,,,,,,,48248,,,,,,,,
"404L TRAFF CNTRL & LAND S",1708,393936,58850,301873,,,,,,,,,,,,,,,,,,,,,
"433",2039,,,,,,,,,,,,,,,,,1784.8,0,,-59303.5,,,,
"439",2041,,,,,,,,,,,,,,,,,,0,1233836,40074,-468595.5088,-21857.4395,-1011167.7795,0
"442",2042,,,,,,,,,,,,,,,,,,94494,216965,193280,1094972.84,499876,1230192.9601,-254307.5809
"443",2043,,,,,,,,,,,,,,,,,0,,,,-54751.2617,-869977.8125,-464409.3538,
"466",2044,,,,,,,,,,,,,,,,,,0,,,0,0,0,0
"470",2046,,,,,,,,,,,,,,,,,0,0,0,,-11606.2197,-459010.4688,,-263513.875
"474",2047,,,,,,,,,,,,,,,,,,,,,4997513.7598,,,
"479",2048,,,,,,,,,,,,,,,,,,,-7612.5698,,,0,0,0
"5.56MM M249 SQD AUTOMATIC",318,,,32125,,,,,,,,,,,,,,,,,,,,,
"50MM M85 MACHINE GUN",304,,39197,523771,,,,,,,,,,,,,,,,,,,,,
"522",2242,,,,,,,,,,,,,,,,,,,,,,24500,,
"586",2249,,,,,,,,,,,,,,,,,,,,,0,0,0,
"60MM AMMUNITION ALL TYPES",364,,,,,,,,,,,-28.22,,,,,,,,,,,,,
"81MM M29 ON MOUNT M23",331,,,38900,,,,,,,,,,,,,,,,,,,,,
"9MM AMMUNITION ALL TYPES",361,307700,,,,,,,,,,,,,,,,,,,,,,,
"<15KW 60 CYCLE DE",565,,,43610,,,,,,,,,,,,,,,,,,,,,
"<5KW 60 CYCLE GE",563,,154570,,,,,,,,,,,,,,,,,,,,,,
"<60 KW",568,,,180634,,,,,,,,,,,,,,,,,,,,,
"A-10",1499,6620440,41633742,14653128,190998,,,,0,3219916.2168,26883010.1817,2639301.8138,2735149.1534,12396609.13,8353469.8,3898403.79,-59316.9715,-551845.927,-752863.3906,-4900,-171541.218,-38056.1608,,27909423,-27820880.5601
"A-4 SKYHAWK",1879,1842321,1689698,237660,,,,,,,-7284.1001,-72743.1172,-12922.6897,-28819.25,,,,,,,0,,0,0,
"A-6 INTRUDER",707,1968551,1721524,2016303,,,,,,,,-264,-34368.2617,,-125921.52,,,-500,,,,,,,
"A-7 CORSAIR II",708,637510,112759,111915,,,,,,,,,,,,,,,,,,,,,
"A-7D",1318,,,,,,,,,,,,,,,,-37653.4414,-75733.8672,-254883.3125,,,,,-140882.5625,
"AAG",2192,,,,,,,,,,,,,,,,,,14896.2002,,,0,,,
"ABH",1882,,,,,,,,,,-270863.5625,-314704.1875,-1015800.5,-82111,,-152193,,,,,,,,,
"ABL",639,,,,,,,,,,,,,-7349.0498,-1009284.54,10578.7,,,,,,,,,
"ABMS",2255,,,,,,,,,,,,,,,,,,,,,,,0,
"ABRAMS SERIES (M1/M1A1/M1",250,,,,,,,,,,,,-36505.8399,,,,,,,,,,,,
"ABRAMS UPGRADE",1839,,,,,28016,,,,,0,-20504.16,-222860.8594,-595328.2344,-130341.8981,648413.72,-7181033.6375,,2243891.9375,-82,,0,,-302105.9063,
"ACA",1884,,,,,,,,0,,-350,-350,-9287.51,-26705.9395,-6204.36,-42500,-122080.5,,-44837.0313,,0,0,,,
"ACC",1885,,,,,,,,,,-56849.8691,-73214.999,-19697.6697,-8613.4302,-28979.28,-28920.21,,,,,0,,0,,
"ACD",1886,,,,,,,,,,-641810.0156,-196281.6787,-307017.8275,-474199.3436,-140166.34,0,0,-10686.9697,-809688.9575,,,0,,,
"ACM",1850,,,,,,,21654.1699,87116.5,,,-11200,-930.03,-702.66,8291.94,0,-3694.01,,,,,,,,
"ACN",1887,,,,,,,,,,,,,,,-5356.53,,,,,,,,,
