"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BRAC ACTIVITIES",27039649,50914611,73512779,49965641.5,215862178.125,281560954,517390039.9531,278108775.207,271626626.9946,289971538.0054,230046388.4386,164643456.0032,146538272.9643,183794593.4596,126746848.81,84715995.148,131907417.1338,51028348.7409,26464744.8253,19164123.0599,16127355.0386,36291857.0845,14399176.3782,12746687.1572
"CHEM DEMIL-ACWA",,,,,,,,9675574,37525240,197969503,314895977,314139477.875,387470667.5,629930036.13,641856841,465336051.2705,482207532,443353641.0756,706829320.4912,484450149.5625,689596109.7501,727918562.2033,787757338.9206,664643587.5147
"DEF ENVIR & RESTORA PRG (",440528842,420153030,481833508,384021405,1502708.9297,,1202268.0898,-2964,36041.0903,-810752.233,6053.1204,-191424.3938,-25039.2207,,,,,-27284.9297,0,0,,,,
"DERP",69456817.2695,77021952,39382285,116783532,436314155,245682253,200630823.0191,213595424.9641,168138537.7832,227643996.0586,275257630.3702,257361662.7502,343596575.0978,249262058.379,258272568.1907,179116388.074,207873259.1737,163765731.2778,142808034.6928,203981514.4887,135936578.5017,169675266.5653,146554377.2825,21456837.8815
"EPA SUPERFUND",35846294,70648338,107818930,116012016,228560767,221739797,181408615.4057,190443188.8125,149173877.372,226423628.842,216047931.1599,170801124.0067,102617709.1523,94149737.4186,106477184.3799,95274043.4356,204359912.1891,77770005.3768,106539510.3941,111917656.1595,101656733.8184,103404331.533,137789400.3621,135845674.2983
"HURRICANE KATRINA",,,,,,1254801170,3218989825.6321,311498986.7026,-111717928.9464,-30781166.912,-50670841.2193,-647014.4611,164525.6716,1050014.64,-190259.56,-48582.3604,-16950,-22865.8008,,,,-66.67,,
"OTHER ENVIRONMENTAL PROGR",520811835,560202036,542002239,833837129,1597213105,1424496295.03,1024369786.0016,1314567377.9406,1287756257.1068,1105601000.4953,1068587794.8827,1114919683.8954,927751677.2288,741273537.7365,809519835.9999,1022588148.4741,804604107.1085,975532298.8011,604349099.6188,736038219.4786,601590871.3298,550695923.8834,483497856.7914,189109022.1631
"Other Labeled Project",390722334,345863462,312161502,397160441,9191797,65773214.2833,430919752.3398,18618629.0343,16279872.4122,129118081.9483,242982399.7039,266667421.1339,141847103.5347,148548792.23,59682543.78,166934152.5257,91732086.4373,133588643.1801,81440392.7096,133310065.9018,127653033.4739,86027815.1195,178140066.4938,75023457.4494
"STATUS OF FORCES AGREEMENT",,,,,,,,,,,,,,,,,,,408920083.5682,779185017.6446,897811297.674,673380834.1057,1124769179.5592,619492925.2493
,19315524037.8049,21541478288.2593,24506053718.2005,32549093780.787,33213863137.9153,36064956796.397,39974549780.3847,43860573013.1595,55472245877.0826,64219017592.1946,58943011877.9037,52292932831.3099,46961700154.4722,37192735910.2756,40210989598.6688,36113872863.4011,36638806763.2298,36595449199.1736,44874239657.3215,49589180278.9825,57603503788.1744,48807992053.5109,54414468275.4439,28136449963.8028
