"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"COMBAT ASSAULT &
TACTICAL VEH",730161277,516882630,565847800.125,556653777,870463999,2289410024.9375,2171300586.8829,9205620990.6241,15067642372.2059,6193371896.2171,5602355487.4711,4611366596.524,2981586242.9583,843544560.0588,1096513420.3609,800013342.2485,1397026939.1587,1258967476.1549,3492670508.8744,2814739017.7834,2717051714.9591,1013120180.4408,2776051869.8384,1688028143.0956
"COMBAT ASSAULT AND
TACTICAL VEHICLES
WHEELED",,,,,,,,0,15642095.6811,2517658299.9587,5586510528.1393,2806640797.4891,2203132538.5287,1542396948.968,1122782367.9311,798430042.1025,702139834.0726,1382375915.0364,1816326587.5204,2937958766.3253,2655470810.5356,3329548288.4012,2636677131.8249,1318731512.1399
"GROUND EFFECT
VEHICLES",3209689,1367737,3294860.3301,3378276,49954764,188152778,85228593,281640377.8693,836295353.8466,516435260.1954,1220923212.2841,2671520961.1199,653597491.5224,455052379.3164,340795942.3392,17644778.6328,414052703.7058,290867815.1033,71204987.0671,67234555.8748,7182773.5118,9851334.9656,6663294.6572,11496687.4568
"MAINT-REP OF
VEHICLES-TRAILERS-CYC",117008991.9815,164423044,111282805.3203,158030491,303118272.3198,720843197.5625,901965713.1274,957904385.8519,781316047.4994,718441608.9555,161566429.4165,20798526.3962,165086487.0874,99902586.8965,66191335.9198,88824131.3768,100397637.3086,184652375.8434,243249965.4403,370017260.2822,162917897.6668,134979694.014,44742707.8169,83965444.0014
"MISCELLANEOUS
VEHICULAR
COMPONENTS",71736862,24833883,61586144,99146583.7969,111011227,144890029.4063,239428154.0719,483383718.7884,1159866098.2912,469400405.2188,429376675.0078,550624819.5756,326684554.2814,136920507.9738,228456337.1139,171476860.5452,212620571.1849,146820374.2813,145464228.9459,166136587.8651,149373123.6989,179677033.0119,158814872.9406,139718084.1242
"Other Labeled PSC",1266093650,1847545887,2119940739.7022,2776530193.6371,3471868730.3333,6145815335.6377,4601635890.9508,5946867807.1456,6348658224.3774,7290026788.8769,5530121098.2285,4881546747.6719,3539524163.0377,3059899974.315,2164837915.242,3235025825.1128,2909245751.5896,2801170428.4913,5199305873.3542,4598691960.7892,4336446619.5307,3999773549.3636,3885517427.2394,2843055224.1139
"R&D- OTHER RESEARCH
AND DEVELOPMENT
(OPERATIONAL
SYSTEMS
DEVELOPMENT)",,,,496505,874664,254355916,2744395667,2730673784,2696944186,2693577069.91,1359472153,895656146,-180762568,-5e+07,,-7e+07,-234381440,-94933042,,,,,,
"TRUCKS AND TRUCK
TRACTORS, WHEELED",1060929765.4375,602228061.7969,1665735499.8696,5243046410,2854091412.7827,4628328239,4827885533.66,7902676336.4653,11793241716.1511,7762559511.4134,4884756890.3114,2658005912.6301,641075406.7011,1098146052.9545,374622344.3622,2006205335.654,1339078011.634,1476893786.52,970004514.7339,1218487167.5124,851122156.0617,669351227.1496,803593516.396,819900975.2149
"VEH BRAKE STEERING
AXLE WHEEL COMP",63863599,66396540,129131306,368684043,488326700,454522318.75,235450391,375540268.3349,600951215.0256,329566825.2949,247430017.8576,220438635.8865,191333446.6206,77412171.0367,161339809.612,193388921.4075,230332948.0022,442542322.0108,337987102.4548,340593338.9986,333080057.6467,114414414.5824,182378295.9798,150673724.9518
"VEH POWER
TRANSMISSION
COMPONENTS",45465081,40755684.4609,68758925,97652673,247746952,270431743.5,178565899.2266,156584288.146,259235966.3933,203167540.2388,167713216.7973,117716336.3273,178357755.8715,70826937.8437,144408728.3948,117288757.0552,162362157.1162,223056854.6161,247893354.0724,252307381.8203,424041813.877,175520290.1215,190857487.3453,149563889.5695
"VEHICULAR FURNITURE
AND ACCESSORIES",37798059,33356199,59179759,337893678,148033966,165023000,145908492.36,157704916.9854,197338329.486,140948491.5204,145869202.2015,143872620.9319,136913109.8716,100797970.2153,125638332.7769,139834868.5924,119722617.7696,140890147.7017,165002280.9717,142573580.8117,109065807.9546,61569988.4118,71071005.0701,56895063.3869
,,0,,,,,,,,,,,,,,,,,,,,,,
