"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"442",2042,,,,,,,,,,,,,,,,,,,,,10110000,,,
"470",2046,,,,,,,,,,,,,,,,8872876.4393,22705774.9483,10431455.5,16790483.2491,4078205.6094,4723316.6866,1120372.8554,-376444.9053,-263513.875
"586",2249,,,,,,,,,,,,,,,,,,,,,60637232,,,
"AEHF",668,,,,,1301064,2064362,1300000,22669147.5,29821767.25,23213687.4719,17655783.9345,13925704.3359,257017479.9208,737956607.2,340571748.19,314915404.2618,297738836.2032,534122877.6797,134496690.2868,199152993.0385,185877325.723,63044278.26,30680273.4291,9820311.25
"ASMS ADV STRATEGIC MSL SY",1543,16568699,9588544,4609655,390539,,,,,,,,,,,,,,,,,,,,
"CNQ",1919,23173187,13994565,20665541,17646500,11108288,6321727,5214610,5020991,1874063,404359,624354.25,0,-33963,-513664.44,-19417,-1317768.125,,,-9287,-39835,,,,
"CNT",1920,,,,23726243,3001831,3806670,2e+06,0,-53857,0,0,-1820263.75,-1.14,,,,0,180720.7344,,,,,,
"CNY",2071,,,,803882,10000002,3694963,4344442,2658332,-5e+05,,,-280000,,,,-52409.0781,,,,,,,,
"DEF METEOR SAT PROG",1517,60023094,41391101,44911918,13289353,,,,,,,,,0,,,,,,,,,,,
"DEF SATELLITE COMMS SYS",473,6997680,8936067,480371,,,,,,,,,,,,,,,,,,,,,
"DMSP",617,,,,,21403281,34044927,16743250,33195352,32762139.7793,29320052.8027,31306565.5801,27077769.6758,24027345.1387,33843567.34,6705349,12396833,11735348,2368305,0,-336787.4063,-10864.0195,,,
"DSCS II",1794,,,,,,,,264607.875,,,,,,,,,,,,,,,,
"DSCS III",19,,,,,,,,,0,,4623.6201,,331905,,,,,,,,,,,
"DSCS-3 DEF STAT COMM SYS",1641,29311385,23742163,15163277,7335963,,,,,,,,,,,,,,,,0,,,,
"DSP",618,,,,,,,,29800,297360.3751,189998.0117,79308.1302,55238,-6824.8,,,,,,,,,,,
"EELV",72,,,,,1188918,940864,887502610.6101,309254818.8501,1452836014.0667,1408366777.7144,1309035292.8859,1675661578.3354,2460436023.9666,1295284212.66,2574970473.8961,1769915183.1825,1617007977.7999,2094715754.5127,1553999439.0235,1276084913.7849,578227435.8985,400110589.9015,478920083.1773,212819465.5391
"EVOLVED EXPENDABLE LV PRO",1521,81279848,394871360,,,,,,,,,,,,,,,,,,,,,,
"GAJ",1937,115401731,165439852,232382663,212908276,151176967,380370738,466120161,273421685.9131,313082246.9923,240230307.9064,210269367.0122,187615381.461,106281895.6367,19820830.53,-4114950.69,-3441476,0,0,-3198208,,,,,
"GBS",648,,,,,1619417,32546716,16537611,6801879,22072459.875,40371572.2188,40400902.918,39628179.3133,79067883.3631,44476140.1,21522628.22,35019975.7588,18355500.0853,7048347.4463,12645784.4278,9438571.9961,7442324.3125,-126,-722866.1666,
"GBSD",2187,,,,,,,,,,,,,,,,,,,,,1.1e+08,,,
"GDE",2229,,,,,,,,,,,,,,,,,,0,,,,,,
"GEODSS",1607,-65214,,,1803993,,,,,,,,,,,,,,,,,,,,
"GPS III",696,,,,,,,,44361764,19616785.8203,3459503.65,6232224.2002,3734524,18311.9395,402220,24657897,9710704.5,59033450.5625,50788884,52763830.4162,96777105.9688,54753424.8574,49857235.5264,6893727.9219,-66816.5938
"H/LGM 25 TITAN",1524,,,,,,,,,,,,,,,,,-3336160.25,,,,,,,
"IUS FULL SCALE DEVELOP SY",1539,35278986,35739442,36725071,11387597,,,,,,,,,,,,,,,,,,,,
"MILSTAR",1869,352723493,358942381,137521314,58006794,156953983,236022787,228589758,370051876.4043,357654800.9502,257906420.9344,97106121.1456,106445139.7824,90147962.2618,108986164.0209,81052687.0587,34977120.6919,-33686.6484,20078.2998,-16706.3105,-1269.08,-696607.0625,,,
"MUOS",1343,,,,,4.7e+07,362286363,422510715,599440734.4375,631666388.25,868280428.3848,428605488.4688,769640648.711,295655263.2396,560169225.375,95428554.6852,85777054.2987,90135204.5507,68150674.836,77988821.3254,102773489.1406,21312163.0088,494693.3501,6013449.3887,1750276.5501
"Mk21A Reentry Vehicle",2247,,,,,,,,,,,,,,,,,,,,,49727103,,,
"NAVSTAR",1613,19914422,73457444,73647684,252667774,,,,,,,,,,,,,,,,0,,,,
"NAVSTAR GPS",62,,,,,223719545,233039169,250051053,361930826.6172,687510417.1691,911017190.1799,1043143690.2457,982302281.8416,1240424995.444,894775969.045,1359417460.3782,683197110.1984,1017002072.4655,626910598.1056,709494739.4825,553340072.3239,489031560.4714,368299916.9922,362597635.0343,179566379.6875
"NESP",1829,,,,,24921008,4527755,17039192,29874508,14904213,4702827,909012,-44000,-71416.9791,,,,,,,,,,,
"NMT",695,,,,,27565326,26614240,25834777,37127431.7188,73571213.8907,80337145.875,99474398.1095,145669766.5156,119794496.0312,128028024.57,150670020.16,77609666.3266,7791515.25,846941.5781,738232.3749,3950608.6562,1315161.8437,-71743.125,-962030.7735,-9832.5801
"NON-SYSTEM TRAINING DEVIC",609,,93445,,,,,,,,,,,,,,,,,,,,,,
"NPOESS",650,,,,,2706804,26280,1077968,2472165,382547,6102214.46,2411442,-366784.7002,-15312.5195,7575970,0,,,,,,,,,
"NPOESS (DOC/NOAA)",1731,23790481,64364245,130045004,2781770,,,,,,,,,,,,,,,,,,,,
"Other UAS",2258,,,,,,,531000,2580829,60000,,,,,,-9520.45,,,,,,,,,
"QM-107 GD MSL TGT SYS",154,,,-1097007,,,,,,,,,,,,,,,,,,,,,
"SATELLITE COMMUNICATIONS",2114,22059586,31657134,130090808,96784389,24410459,14860487,4247420,2398634.255,-9799.70120000001,-58357.8116,-109438.0001,-80850.1397,-406358.7188,-22680.82,-110611.33,,0,,,,,,,
"SBIRS HIGH",622,,,,,13018224,37434444,33928043,44974570.8515,243036895.1251,1558779816.1015,707363117.8773,497016133.5361,425078575.4986,818013002.82,1105181783.06,703269183.1259,813848674.2716,432348401.0835,509553307.2709,766870549.2379,430986861.8139,319084073.3188,400697867.3355,221213412.3143
"SBR",1354,,,,,61863968,42658032,64988067,151405531.4082,30386716,-391.71,,-166451.1194,45622.8416,15294,-128856.97,,,,0,0,,,,
"SICBM SM INT BALL MSL",1545,946070,,,,,,,,,,,,,,,,,,,,,,,
"SPACE DEF SYSTEM 64406F",1541,,,71338,14782994,,,,,,-22525.7305,-188491.1392,,,,,,,,,,,,,
"SPACE SHUTTLE 64411F",1542,,,,385000,,,,,,,-154.9,-44256.4414,,,,,,,,,,,,
"SPS",1961,,,,,,364927,,278111,,,,11961.4199,,,,,-7053.6201,,,,,,,
"TELEPORT",1978,,,,,246718.9375,-62910,935122,1123253.0469,4523652.3048,5185224.1095,1488116.2188,1004177.1563,847429.0938,141042.17,-4267.15,,,,0,-148342.9609,,,,
"TITAN IV",675,,,,-1530000,57579906,988992,3229502,229574364,,,,,-38309.8789,,,-6931258.05,,,,,,,,
"TITAN IV LAUNCH VEH PROGR",1550,264915250,272968677,263552182,103756010,,,,,,,-7179128.375,-1372634.2539,,,,,,,,,,,,
