"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ENGINEERING AND
TECHNICAL SERVICES",,-114669,11269352,1084838,67394425,87576992,84546127,128921185.8242,126693387.7188,123730165.3477,39174057.9738,33603663.6106,58765381.5278,56349096.9459,55728881.1637,74551215.6157,126997722.5115,123076895.581,140673513.4058,132363674.049,72894962.9203,183718472.9111,346110901.3641,256871969.7187
"Other Labeled PSC",825702692,1081127866,808740848,1076805769.582,1158748685.7383,1659078667.5625,2166108625.2429,2028464698.9988,2410490744.2688,3356019004.2473,2683636311.1551,2206148367.5793,1716374180.8418,1684162989.3935,1235324658.5965,1136474483.2882,1046106488.5442,882785364.447,1298427118.4237,1805400003.5032,1719735836.8831,1797647219.4667,2162783273.3105,2113406273.7478
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS (ADVANCED
DEVELOPMENT)",540759198,731937365,763691606,1097828229,1316961140,1151898633,1411764317.87,1777645318.7919,1827089812.9624,1342088828.7871,1290520663.7128,1166036112.3084,1140881016.0236,777882164.92,451814364.9988,501971454.3389,439631500.5668,460563791.2264,225377684.0834,234467037.5392,317374951.2365,,,
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS (APPLIED
RESEARCH/EXPLORATORY
DEVELOPMENT)",254748063,320041774,279954752,342494802.0781,398360815.4219,359897416.7031,397722883.3691,538342329.8131,618234882.5905,277157816.8654,144183602.9663,236969937.8839,137998453.4992,110331062.15,121611756.82,126616605.2187,198305225.7006,212121804.1816,251029542.685,600588163.4671,666841718.3999,2059997.9766,1672161.125,246725
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS
(ENGINEERING
DEVELOPMENT)",28077522,24922374,46637715,290910895,300029567,278199887,334263457.6797,458244028.0625,444495389.8949,304408893.4103,209905228.3602,142070875.4943,145787191.4735,96424870.36,58616849.81,64858619.6932,92814532.7753,180078479.3096,415097565.7491,867782205.7997,1651253484.5547,,6068033,1750276.5501
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS
(MANAGEMENT/SUPPORT)",55539996,117021321,236979623,187640019,189401669,165907085,198465045,174226547.6569,232546191.8576,276924346.8465,424103401.0004,410020466.9781,348588430.274,324402532.26,330431730.6,94177582.1336,123775771.0213,144186773.9946,268796527.3347,222050917.1062,158483929.1231,107826183.9629,84243507.6939,43900311.441
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS
(OPERATIONAL
SYSTEMS
DEVELOPMENT)",786754007,788725447,702312210,280213684,461035630,659944888,588905370.4062,692051633.8643,250423806.7812,223089558.7753,382428157.085,689116760.8992,1298776358.5286,228651093.58,227903341.39,320628732.026,385635852.89,275073608.5224,402036340.0158,960038220.0031,1151587092.1584,242973767.6625,43889566.3232,42551149
"R&D- SPACE: OTHER
(APPLIED
RESEARCH/EXPLORATORY
DEVELOPMENT)",185156402,346038142,467656132,813111520,841436395,700985409,981892565,574629503.2295,685751924.9805,559670179.5723,687171003.2738,1666381264.1907,735375894.7275,881638483.98,423603456.4,425003095.88,278504998.75,492228346.9688,114682756.2461,46691494.0214,14237217.4063,-5565163.4063,-1320000,0
"R&D- SPACE:
SCIENCE/APPLICATIONS
(OPERATIONAL
SYSTEMS
DEVELOPMENT)",334194048,442933813,473061326,539308696,545618920,611298296,653969926,612025234.25,768870623.75,791347972.5,797355880.1249,886148713.5,829346402.3125,812794640,729239965.95,840444751.69,8.66e+08,886027470.625,965430000.75,-6661436.125,-2894529.5,-2398718.75,-2208787.75,
"SPACE TRANSP &
LAUNCH",,,3384713,7631864,7974208,8945970,8855782,9178324,10666429,10189237.9492,11922318.8125,117966.46,178053.7325,1284897459.49,2448060318.6861,1746132089.711,1575060740.8302,2086384111.75,1560960626.4609,1829322115.6587,1423511208.8282,1188396802.722,1778304990.0626,267879045.7032
"SPACE VEHICLES",171820196,301682280,700087251,652453821,991737061,838562628,1183990837,1216679622.7425,2202244875.7621,3116410750.3518,2418966782.9284,2861787581.098,3537259013.5528,1313645276.27,1767150209.45,632203889.9032,943032880.6923,308051732.1679,303012934.9981,524402885.1133,173731529.4375,110409218.8321,223512490.5709,2350904.625
