"Project.Name","PlatformPortfolio","Action_Obligation_OMB24_GDP22","Action_Obligation_2023","rank_total","rank_2023","TopProject"
"(ALMSC)","Land Vehicles",3628275.03961165,0,122,114,NA
"****AFX","Aircraft",1690526763.46854,0,98,273.5,NA
"****AFX","Electronics, Comms, & Sensors",259402343.06999,0,90,376.5,NA
"0-1 BIRD DOG","Aircraft",74041.4477456499,0,430,273.5,NA
"0-300D","Aircraft",69563.6048291714,0,431,273.5,NA
"1 1/4 TON ABT CS","Land Vehicles",1125281.21442442,0,149,114,NA
"1.5KW 28V MILITARY DESIGN","Electronics, Comms, & Sensors",514178.647871446,0,562,376.5,NA
"100 KW MOD MER-007","Electronics, Comms, & Sensors",7996717.97455847,0,351,376.5,NA
"105MM ART AMMUNITION ALL","Ordnance and Missiles",4655476.14556209,0,186,185,NA
"105MM GUN M-60 COMBAT","Ordnance and Missiles",2803438.92280707,0,208,185,NA
"105MM GUN M68","Ordnance and Missiles",84439.5002217122,0,294,185,NA
"105MM TANK AMMO ALL TYPES","Ordnance and Missiles",11163337.7284732,0,162,185,NA
"10KW 60 CYCLE GE","Electronics, Comms, & Sensors",1171109.66057935,0,505,376.5,NA
"12","Ships & Submarines",124.441719061476,0,227,131,NA
"1200 PSI STEAM SYSTEM","Ships & Submarines",-1411422.54463972,0,239,131,NA
"120MM","Ordnance and Missiles",6961353.43386721,0,174,185,NA
"120MM AMMUNITION ALL TYPE","Ordnance and Missiles",289149228.200704,0,74,185,NA
"120MM CTG TANK","Ordnance and Missiles",83159.6317503166,0,295,185,NA
"120MM TANK AMMUNITION","Ordnance and Missiles",3273634881.05794,0,20,185,NA
"125/250 AIR CONDITIONING","Ships & Submarines",3202657.103416,0,161,131,NA
"1250 KW TURBINE","Ships & Submarines",78682.2615702318,0,213,131,NA
"15 KW","Aircraft",79501.2626619102,0,427,273.5,NA
"1500 KW SSTG","Ships & Submarines",-119251.893992865,0,234,131,NA
"155 MM HIP","Electronics, Comms, & Sensors",28420.9084111453,0,656,376.5,NA
"155 MM HIP","Land Vehicles",1495808.24179248,0,141,114,NA
"155 MM HIP","Ordnance and Missiles",11916.1682398669,0,309,185,NA
"155MM ARTY ALL (EXCLG SAD","Ordnance and Missiles",141677173.836333,0,90,185,NA
"155MM HE","Ordnance and Missiles",-1857818.72973575,0,323,185,NA
"155MM M4 WHITE BAG","Ordnance and Missiles",1740244.54798105,0,224,185,NA
"1CMF","Space Systems",31109363.7988224,0,38,36.5,NA
"1CRN","Facilities and Construction",166946.861761927,0,105,78,NA
"1CRN","Ordnance and Missiles",502805.217380429,0,259,185,NA
"1CRO","Ordnance and Missiles",7733678.41994185,0,171,185,NA
"1DBR","Land Vehicles",5946720.46577739,0,104,114,NA
"1DPD","Land Vehicles",54570.8139108005,0,194,114,NA
"1EFI","Ordnance and Missiles",323377.502211076,0,265,185,NA
"1FDV","Ordnance and Missiles",360384.074207293,0,264,185,NA
"1FNC","Ordnance and Missiles",3633018.30601093,0,196,185,NA
"1FVC","Ordnance and Missiles",10952713.4669483,0,163,185,NA
"1FVD","Ordnance and Missiles",1044187.330534,0,243,185,NA
"1GDC","Electronics, Comms, & Sensors",24251335.6308863,0,274,376.5,NA
"1GIC","Facilities and Construction",12744477.0536478,0,43,78,NA
"1GIK","Ordnance and Missiles",414801.512095441,0,263,185,NA
"1GIK","Other Products",54781.5789210588,0,50,31.5,NA
"1GIM","Land Vehicles",107560.685568464,0,185,114,NA
"1GPA","Other R&D and Knowledge Based",-2229250.0333237,0,103,63,NA
"1GVM","Electronics, Comms, & Sensors",54244.7463346937,0,654,376.5,NA
"1GVM","Other R&D and Knowledge Based",39989.0454939485,0,98,63,NA
"1HDO","Aircraft",62101.6422127005,0,433,273.5,NA
"1HDO","Land Vehicles",111585.199837032,0,184,114,NA
"1HDO","Ordnance and Missiles",51139.6183964922,0,303,185,NA
"1HYA","Electronics, Comms, & Sensors",188688.501050683,0,606,376.5,NA
"1HYA","Land Vehicles",65250.9473370834,0,192,114,NA
"2 1/2 TON 6X6 ALL BODY TY","Land Vehicles",972670438.924434,0,21,114,NA
"2 1/2 TON 8X8 XM410","Land Vehicles",2646410.70013048,0,130,114,NA
"2.75"" ROCKET ALL TYPES","Ordnance and Missiles",193951385.355328,0,84,185,NA
"200 KW MOD MEP-009","Aircraft",7834273.94454176,0,301,273.5,NA
"2000 KW SSTG","Ships & Submarines",97389.04676084,0,210,131,NA
"20MM AMMUNITION ALL TYPES","Ordnance and Missiles",62811286.721271,0,112,185,NA
"20MM GUN (HS)","Ordnance and Missiles",1600413.73183345,0,226,185,NA
"20MM GUN (VULCAN) M61","Ordnance and Missiles",1101217.89762387,0,240,185,NA
"20MM GUN XM163","Ordnance and Missiles",5309281.77433499,0,181,185,NA
"20MM XM167 TOWED","Ordnance and Missiles",2245300.02423552,0,214,185,NA
"214 COMMERCIAL","Electronics, Comms, & Sensors",14916538.4640098,0,309,376.5,NA
"25/MK 58 LOCATION MARKER","Ordnance and Missiles",1707704.18012161,0,225,185,NA
"2500 LM GAS TURBINE","Ships & Submarines",111998839.210978,0,73,131,NA
