"Shiny.VendorSize","PricingUCA.1year","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five","<=1 Year (All Types)",10141533368.3703,12957319054.1075,12143947472.7056,13421496623.0041,11634777478.2087,12528690178.2203,10689322385.8726,9198561384.0992,10434744956.1201,10120610717.7804,10933928352.3536,13724122411.4609,12076172542.2431,11258227084.5655,12506402277.8856,11313417508.7971,13234480139.466,10950188068.8333,5037816141.09
"Big Five","Cost or Effort-Based",28368269689.0581,24163947488.5498,27616016044.012,27103390284.0658,26196865389.5318,21663937612.218,18363807697.5626,18212412095.3984,17177481281.7349,16326323181.5642,17146399115.9173,15700246367.4558,17875782704.6477,16436489746.9067,17472651966.1766,18611751154.2579,17898426135.805,19839027663.74,9854544306.87
"Big Five","Crosscutting",20896125322.6013,24775186137.0006,24529071495.1561,10716108183.5176,6158937587.882,19858662109.148,13302676575.9591,5420076947.4307,6066076339.3479,17541179256.7068,30764221430.2452,21901653888.9266,19415987589.4984,40248947883.5021,13734902205.614,21426924318.603,24035148748.6933,29061619532.24,19868866887.47
"Big Five","Fixed-Price",31351039286.1432,31460930932.6967,30722294479.9998,29439819192.0706,31435241142.9768,26763086904.7278,24403465793.2884,20430471933.3696,20426559432.755,31059050988.9261,28342926114.8825,26496222402.504,33636007380.5521,43095902502.6799,30756331404.664,27905820250.4262,43045713771.5642,30449137028.83,12858431088.96
"Big Five","Incentive",8328015167.547,11908574191.6197,12232955359.2777,16257610182.5609,34073689684.3141,24686845942.5313,30196668555.2897,28764078205.0756,27985013071.1228,27946909471.3032,25474030384.0407,35722467851.4467,40136454264.3187,42174548474.2583,39867049221.5884,43033708540.2344,61169771981.7727,44410217864.92,20331652262.76
"Large","<=1 Year (All Types)",33729193818.8622,43758746227.633,41028368961.7515,36894424427.2247,39215484224.5656,34794339958.5728,25592214903.6882,30487870147.3541,27500781619.4657,26698234443.0543,28358251502.6453,33047134402.5243,29171352644.2223,31969620290.8502,42839318110.512,54302486549.623,34216221500.9744,34733348511.0378,13934772309.82
"Large","Cost or Effort-Based",23292707256.17,25406287403.4799,22736657660.1772,28949358002.546,30656980968.6013,29936189160.6966,30195358888.8965,27260470143.0699,25492019978.3793,24894878788.0679,27624920018.6573,24943042785.7132,27963776831.5278,27676051585.6774,28456727730.9599,30545890613.7597,33814943844.3137,36931219979.17,16712733892.08
"Large","Crosscutting",5679921786.3069,9439765274.1474,8136186761.823,5100990434.3917,2630935551.7001,3387138939.369,1455662229.3513,1867945017.9386,881676665.7677,4367933113.2926,2642806247.8423,11211030368.8634,7568857075.8475,8563889727.8666,2274657721.721,920184121.9966,3260383689.0697,3770442269.84,776950075.39
"Large","Fixed-Price",35695237453.5079,45204530790.331,46532376783.1841,43585573645.268,36738110742.1257,39576832288.5309,33081471963.8451,23809679931.7285,23009477889.1235,20113163567.2749,22255985496.273,27805970350.5714,29517720426.4466,30554689966.5355,40666337243.0434,32121876529.7977,28340311737.3147,28586937473.0541,12173401804.96
"Large","Incentive",7552732327.9396,7272741068.6108,8501100544.8515,9553726677.9209,9002171018.7304,10197381578.2039,8900298813.7122,8344712846.2964,8584675298.688,8357732897.9911,8744238368.7588,8232254440.4541,14893223586.2857,12641862446.298,7839595083.3891,7701187127.6494,10940826434.8169,7203137728.03,4185429943.19
"Medium","<=1 Year (All Types)",23896520990.5109,26154511955.3473,28902029144.5598,29438805362.0546,27470902711.9998,25058042464.7776,20869550406.474,20589415139.9112,18397110871.0152,18603643724.1749,19889282195.3943,23635393177.6785,23550612765.702,22895621828.5943,22967079247.6778,25093375336.568,26927259400.6592,29082574506.304,12494137072.53
"Medium","Cost or Effort-Based",9306973029.3207,10063040350.8351,11181677500.0932,12210092461.3598,11912173606.1518,10800309062.6473,9207731549.1231,8816782839.5587,8835797129.6595,9836505552.2175,10381550882.6171,11556079229.2147,12590509641.0049,15305526749.3367,14299806342.4373,15175174687.6861,18028377112.9992,18904874823.36,9275014514.25
"Medium","Crosscutting",4730972231.4594,4325542738.9333,8646127640.5537,1181270658.7737,1274909414.6423,1268186001.5509,755095012.2718,484378437.484,240013140.0268,941554668.6333,694232570.4299,1147702571.7086,1476314867.574,705934757.9794,862128824.2424,698981056.9806,1431144904.0807,1893842874.1175,680574918.15
"Medium","Fixed-Price",21235900559.79,25928929385.2201,26419082532.8516,25796228081.9861,26656396781.9021,25646253361.8057,22536779769.5253,18631107998.6715,18408317350.4119,17386868714.8782,20987436842.3904,23828657086.961,29700417442.9872,33432768893.1322,28535731839.7723,33270593675.8336,36742641337.2164,36279593196.6987,14832378429.96
"Medium","Incentive",969324852.2717,2041851434.835,595052879.2194,3675946168.473,5024480505.0084,5307078121.0812,3682214431.6595,2112383605.42,2236904608.3595,2068106442.8127,1672114632.1975,2825881737.3249,2423052743.5714,1601207751.3581,1699543120.0259,1676662988.1174,1560641292.3907,1727456605.84,320161956.26
"Small","<=1 Year (All Types)",26662650308.2057,30669306598.9108,31014086649.2969,30608282273.5835,29657172245.02,28650352611.8842,23189541226.5434,26706914085.3356,27052024635.1514,28689919298.1962,28721430887.7756,34406257925.1395,33023977024.114,34276894836.5712,33299611835.157,36139192983.6001,38201290142.1087,40541272455.7393,15043594848.41
"Small","Cost or Effort-Based",6022102263.6665,5837841421.1849,5937197399.3245,7269851995.559,7220536582.0555,6954136529.7092,6739940495.7531,6991593184.4644,7518592836.5371,8171177628.1599,8924916859.5024,10337496479.888,12324596552.7986,12190165680.3753,11444763656.6394,11699376868.092,12452490737.1569,13553751157.25,5625109431.2
"Small","Crosscutting",2028007495.5649,3130808670.9812,3813989173.1776,1199353775.8586,500563779.0477,420162589.9337,295822941.7219,341271681.7689,182793233.6963,519775239.668,497073345.2703,328212621.9928,311156551.235,380194311.1622,298610926.2197,300438515.0449,548415148.0926,477864122.03,162661419.25
"Small","Fixed-Price",15012951716.3281,15268897729.3279,18405197989.5403,18741098576.106,18628513902.1461,19944667342.262,16901337584.8869,18971357789.9119,16967004167.4378,18232869380.2595,20243728802.5732,24341330401.0984,26634882018.134,28099915064.1497,28384821125.5144,33060337805.5443,38344972732.6993,39105398229.1523,14393671901.91
"Small","Incentive",76261081.6334,57626279.1869,96264815.0688,442981747.3266,272300841.8732,201751112.1714,180895899.1937,334079410.026,580372022.8547,645429354.5217,681102311.4971,632606120.9735,572138272.3425,665360324.767,506958655.4848,362184860.2661,377661893.1553,281125611.49,100143644.67
"To Be Labeled","<=1 Year (All Types)",1524862179.2369,1061327527.9993,1259458487.3664,2130063397.8477,3042049867.0428,1782094799.3958,1270495400.1501,2054816756.8908,1878844688.0815,1594273335.6679,1851419975.7218,2095385092.7417,2425402763.3247,2629600254.8448,2688996489.9176,3183635563.7212,3513066922.5324,3470343277.21,3072446406.73
"To Be Labeled","Cost or Effort-Based",235168414.472,245212979.582,369707925.8031,454078663.1725,424907105.1506,504169185.4526,614817952.5971,541634447.3962,659762709.0699,613823185.1606,725126681.6956,656152081.0916,723528886.3515,791832475.4723,846004040.8523,985546931.0597,1397569975.2036,2525540188.71,1692259941.96
"To Be Labeled","Crosscutting",94596609.35,204969696.5644,112069849.0577,401356206.5175,538444416.726,17606416.8848,19994301.1647,10241181.6556,631458.0735,55325698.4322,10327983.6386,96097232.6837,295718848.0962,98945272.6794,52444979.9744,386066359.5574,280482917.5426,1966588938.94,449548474.61
"To Be Labeled","Fixed-Price",4177213704.3242,6576488540.0979,3989048698.1743,2889722359.4887,3241120573.859,3770413964.1986,3296133523.4342,1953364111.9554,2472854658.3105,2306592428.5014,2742306665.9447,2792805905.0854,3327845136.3779,3564209351.9067,3413196530.437,3835276486.6407,6319941743.0596,7762183968.58,3805435534.05
"To Be Labeled","Incentive",31525291,322072624,440628100.21,343942037.8149,276141850.624,222622759.5468,86547785.43,32998108.72,36631164.4687,170302549.6756,221822452.0998,320320940.2683,220390403.79,492675434.05,494631351.31,369299523.35,572551120.6766,1486654390.88,887470864.7
"Unlabeled","<=1 Year (All Types)",6696930436.9085,8234869691.0208,4470694578.3712,3459392867.037,3265987790.2534,2272425848.988,1268404751.5021,507178452.2566,507910524.8241,741639778.6133,836929395.4081,665236872.2159,775387342.0349,571899111.389,452608822.0646,23369571.5407,90258764.4334,75923975.86,34561884.14
"Unlabeled","Cost or Effort-Based",-1070,21110763.06,42094020.56,117513686.6586,385677817.9448,628161437.5005,648895723.87,126571009.36,102720057.1684,-260816625.47,-14380979.4208,195832199.1,-4775825.49,-8563944.91,3959577.36,-703552.3,-63111.1,-430548.59,
"Unlabeled","Crosscutting",2193926.1,-825850.16,-25458480.1938,1682764.9453,322066.9804,67567.0703,1639521.43,-9871.49,520300,237778.23,36500,-4721005.29,-795478.26,180733.51,2220,0,10000,55000,0
"Unlabeled","Fixed-Price",399514323.5623,1493921439.2169,1698237973.9705,1311273860.1462,1074704288.0816,948279693.7271,453891405.4449,393888155.5101,586778386.5801,586390976.8492,520250172.1338,507849062.0746,663736997.6978,106574670.6123,238064517.6107,210388066.6013,392863807.6269,219713019.2,29657575.92
"Unlabeled","Incentive",,0,,64600,1250,,,,,22221881.87,0,212882507,318944441,113571755,71038272.6,,-16148167.6,,
