"PlatformPortfolio","max_fq","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","1",10473847592,12735728361,10940676747.6485,16653365940.5,18138358851.9751,18913222784.4814,15167797269.6696,26541090248.3442,22269458557.801,25911312072.8016,17946146910.4251,23162280327.7115,21258341190.3708,28807012920.0539,16000558494.4892,21700218694.6812,19407583411.5276,18825179630.9584,17518061372.7417,26374714541.2262,39229639325.023,19528186083.7303,17368687244.1144,27716784718.8515
"Electronics, Comms, & Sensors","1",5341394160.3361,5741179781.2924,6138820950.0094,7629110792.7674,9810394743.9833,10387120260.6671,8537353573.4002,12079852784.8908,10776108324.9881,10857883800.2784,8615951579.9493,8916000838.189,7590900477.1703,8981112618.6726,7167683923.884,7025076101.3266,7142344695.0475,7980527374.044,8423652063.8221,10939078338.3446,9331689974.166,8822489625.9556,8861862431.4062,10338421924.4823
"Facilities and Construction","1",4788731789.1745,6148963584.5293,4976153520.7426,6541507992.4877,8601243853.2499,9043048177.3007,8839322408.4601,7959360931.0486,8555748319.6722,11250466000.3536,9320167913.596,7881673755.0898,6544688099.4929,7595136851.9603,6244958465.5324,7059930526.2855,6622625193.5481,6664922384.4079,9496327916.4667,8930695835.1696,8305103244.5174,7820769616.6279,9725296312.9702,8869088019.7861
"Land Vehicles","1",1646677123.419,720646735,1299323516.7393,1969897385,2033264576.0154,3109402624.9823,2594066134.9824,9969612123.0048,9294634529.9208,7481170803.0389,6390942202.7978,5682055096.0964,2699498180.3501,2555007491.1483,1550443961.4005,1685025303.3921,1524264559.9972,1507758134.6297,2838395649.1456,5752395903.6741,3176322561.7732,2868558243.1247,1892046218.2158,2587795170.275
"Missile Defense","1",830086076,1733056215,800393851,2170015735,2697931834,3493898669.4063,1343333389.4297,3579895625.2863,2773450283.9759,3716489750.971,3062109492.0795,3650563317.1772,2593741243.9471,2676848765.7666,2139413015.4566,3054022672.1399,3811049547.5577,2426076016.7484,3570887256.9381,5027108119.7812,3531576935.6519,2460381156.2127,2727697764.6283,2410703165.0919
"Ordnance and Missiles","1",3220443140,3987120266,3659657662.5,4444952505.8301,3968678924,4210502705.1094,2699150463.7335,5241786682.8977,4517565185.8014,4511347239.717,3078732536.8661,2196527701.7013,2613629282.8656,3582730021.5069,2213232902.6304,3049472672.1683,2893161629.871,2565659379.6321,4101073857.1188,4514962728.8457,3534901088.8123,3748173624.3871,3873874778.3514,6258024163.9667
"Other Products","1",2083722242,2994205330,2760919864.8704,2661868249.4199,4083045759.3498,7821071815.7168,7898202032.5345,6927819361.4537,8223155512.1498,8559775379.6371,5703089469.546,6803772264.8861,9530342282.5833,7472107373.5583,4854402727.2988,5701748685.1632,4592578833.9744,5041916769.4566,5997320580.6006,5780084718.5009,5429156499.6633,10563693321.1672,16380281756.5542,8255921860.4174
"Other R&D and Knowledge Based","1",3270012136.2705,3466457811.4009,3355538730.0599,4413265375.968,4984461518.1409,5843584347.5066,4794343629.7591,6173001090.9108,5964268858.0362,7731821579.1212,6992927973.8533,6440686036.0349,5446498871.0769,6439494623.6297,4831847514.0162,5674636852.4832,5230622850.1056,5830244350.8909,6159370063.0967,8502758015.6922,7419975963.3785,10426425422.9461,10651037833.7938,10711010035.6723
"Other Services","1",2244585905,2977460589,4118729221.103,6431098358.7751,8603223796.3938,9290732098.3907,8273276086.1096,8509143507.4399,9619885930.0603,10697935568.6429,10117615655.0168,10798104809.2584,9996368441.8528,9915657716.3904,7723538291.329,6017087580.9535,6550431272.9659,8168271233.4763,7783705312.4068,13926790169.8009,8677362696.0545,8018399605.1169,9931281512.735,8875070814.1329
"Ships & Submarines","1",4244978783,3174716906,2958251138.5,5034249688.1104,6648511287,6984968455.0093,3682966362.3818,8147766616.6788,4317700457.005,10169324938.6407,3990109935.9729,5529970719.3593,2273998340.8315,7284115698.3739,3209393565.8742,4322445161.5469,5284994106.9431,7171974728.3428,6734169730.0676,12348591850.3423,11739363829.1643,7898583972.2108,8327029935.0059,6746804790.0182
"Space Systems","1",1420607472,1517138390,861082179,2674927876,2502776099.0234,3091893479,1321883882.8047,4330872290.9675,3352357890.9365,4297795725.5911,1640330570.2792,3450071731.5552,2199869449.1496,2972731372.5725,2722263673.9861,1085272513.2795,1169411360.9926,1173359096.9969,1297927128.7741,2181191732.3373,1670398269.0537,875719218.12,961383159.0396,1061262145.4332
"Unlabeled","1",14768747.7865,1192335.2285,2130334.1153,4724438.4901,1702688.4152,2175689.8992,65129345.3597,16489273.5156,27153.9102,-14513.0303,-3116.3301,-76873.3513,-5000.8501,-128.29,,,,0,,,10000,0,,161477.875
