"casorffp","CriticalTech","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"No CAS or CAS Waived","Biotechnology",,,,,,,,,,,,,,2672113,61049692,87953072.5596,108809769.3999,110649082.4,258613136.4775,163135635.5044,360208942.7443,559813627.752,442467639.9487,479690480.85,271340380.6521,191144196.8985,334756415.4137,224202561.3191,199480070.7868,69656159.1048,123991113.8634,104041849.0358,127853225.6102,1998281958.0547,29518900426.9193,26003949881.3889,2995283985.8174
"No CAS or CAS Waived","Computing",,,,,,,,,,,,,,2984253303.4895,6207253150.6516,8005749796.95,10082822918.671,11695421486.6182,12294931184.9231,13643512064.7296,13899152952.6102,14075887066.0214,12699699601.1969,9097098965.8436,4543341272.6802,2907408766.2243,2348564997.2023,1941743245.4591,1699662602.768,1648197329.3339,1575095318.9424,1707114977.8947,1882593634.7226,2325207934.6171,2503577333.904,2862237572.8273,4512022665.0965
"No CAS or CAS Waived","FutureG",,,,,,,,,,,,,,889251696,2299642453.6602,3456179661.5,4173409090.0303,4508310333.5966,5911286027.1167,6815239211.2867,6965090004.6557,8012315744.8038,7687198056.884,5134621974.8377,1465154534.4423,974486713.4297,410859711.0108,579824126.9719,292114396.547,192202109.4557,203331148.3638,205765141.135,216552990.956,335898114.2634,208126779.2201,258913219.2687,940086955.8869
"No CAS or CAS Waived","High Technology",,,,,,,,,,,,,,761643053.9531,7430621026.3412,9708822855.6455,10850186530.7427,12388214036.9998,15441971382.9183,15343547825.4253,17525317821.842,18010797451.2936,19772644946.6125,13579282142.1524,8264488626.1173,6495306863.7952,3940768340.5422,3371468434.7174,2890953565.405,2897783333.4298,3125159519.2637,3331372807.3203,4641175185.047,5790201921.8591,6171846452.4046,7198610314.598,4881595860.4924
"No CAS or CAS Waived","Microelectronics",,,,,,,,,,,,,,205809107,1308889717,1772829355.4063,1957408570.625,1747069193.1696,2173023142.2407,2322790514.1678,2963659360.3236,2391485221.6031,1876649598.4309,975264410.6373,900793495.275,651918230.566,206905915.2156,134311519.1864,146863835.9978,188161863.3501,226757663.7474,746765349.2918,309254752.4196,504245775.332,349223547.2634,300027553.5444,200323926.4018
"No CAS or CAS Waived","Renewables",,,,,,,,,,,,,,5666968,159956522,139591672,486979964,298065223,239318867.5625,165080774.2527,176153311.1979,192026814.6079,87416885.5779,203347039.8797,80465820.2778,50157944.394,54695382.51,43197308.73,20615144.8529,18895095.7188,15335941.1135,25843195.3068,28238815.3432,23072970.825,10212963.7724,20061913.793,42205538.302
"No CAS or CAS Waived","Rest of Defense",,,,,,,,,,,,,,23399362775.6592,90590722685.22,103348696630.89,121381318227.117,127848838385.725,164159441249.923,172222878913.358,193101552093.044,228504652018.68,216627897303.114,154795171697.448,81968774095.2561,55802178378.7706,38928353326.7137,36093325015.8457,33130314763.0336,31342240209.6666,33271152625.2156,36199157434.6099,41368724913.0702,42033034010.201,39313630657.2222,41585220530.6185,47006103434.6551
"No CAS or CAS Waived","SensorCyber",,,,,,,,,,,,,,724337994,2927310555,3485170036,3020772435.2891,3171706217,4384883925.8594,3955609369.8871,5428551104.7954,5608797532.2097,4960644769.9361,2697525694.2398,2027507935.3664,1820288305.3389,1391926818.9125,1499102630.2678,1209697181.5194,1071345829.1061,900327403.0109,1131863476.1988,968639144.5252,880972315.2871,810272826.6607,1065287518.0323,817886496.0399
"No CAS or CAS Waived","Space",,,,,,,,,,,,,,1550288910,3530435600,3363886701,3072858112.5508,3997494708.669,3281973656.233,3418573348.5217,5010106269.9583,8066069932.4171,6305682902.6286,4562135563.4979,3099431976.609,1668593348.8604,1299173790.6643,1014554296.1966,586433873.6212,528473603.5942,1579394064.7667,1888989555.5402,1377959048.5622,1880786480.8835,691047727.8822,636290715.9188,395760222.836
"No CAS or CAS Waived",,,,,,,,,,,,,,,97697155796.7183,11735742703.0268,11660866413.6772,8504594822.5642,7606675651.4309,13020823319.1059,18473647485.8542,3886306156.4022,3401735285.6319,2917722084.0272,628144686.5581,642104602.2563,472125655.8549,308396071.3552,44611265.7429,123234045.6507,96659074.3633,92636666.5536,38707948.9673,-180707558.4297,62372144.1217,30929781.0081,23064035.8427,161698821.9228
"CAS Status Unknown, but FFP","Biotechnology",,,,,,,,,,,,,,,,,,0,,21690,,115451.7031,1292096.6289,27680211.8865,302172869.0875,364705595.5569,346161675.5868,1878214477.1415,2690182819.7698,3610053349.7193,3774661238.9905,3648167595.1362,3716080783.5274,3973308997.2246,6191068794.77,6506830358.183,1498102906.899
"CAS Status Unknown, but FFP","Computing",,,,,,,,,,,,,,88404.0791,146118.4597,1813044.1914,472271.2492,5904581.1435,3424123.2459,83288307.8124,15477249.8712,27139231.1496,122696306.3469,2188773305.0529,6805815156.182,7996115160.157,7917568306.6178,8991049785.1649,9360281656.223,10458601151.4101,11635171522.9094,12501401236.2346,14587290089.4326,16872287469.88,16083512684.3862,17391477720.3336,5410041225.8735
