"PricingUCA","costorpricingdata","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Combination/Other","N",4746233.4072,13534362,59109851.5703,55014436,94585871.0313,140235793.4363,1259289306.8788,13916952387.5231,21324751263.1665,28092113414.2924,408823933.765,198777214.2694,-5185422.3456,-27318304.2589,-23586155.0815,306683.9262,0,0,0,0,62886.3819,0,467462,
"Combination/Other","W",,,1032.5,0,,346102,1002763,30112775.0956,20524779.5489,16292019.1145,-75771.1992,1321582.3985,474074.1075,-642283.71,-14538.21,,,,,,,,,
"Combination/Other","Y",,192407472,5669605,8965287.9375,10379412.5,9262224.875,1311614764,2897143611.5111,3295826932.2551,3438174113.1647,5433711.6767,4722975.4472,-1698398.6286,-3178759.65,-2151095.23,-252,,,,,,,,
"Combination/Other",,478410.4063,337237.0996,1187639.6602,138594795.42,390175214.6768,891208861.6729,1241740822.8569,2137687125.1933,2434689653.3269,2285438763.9547,151044842.3081,31439208.3983,3454755.9289,-5917826.16,-2579215.8498,,,,,,,,,
"FFP","N",41203334937.02,49153804053.2161,62807177719.3975,82724952236.6358,79103571496.977,39690107766.1874,39858013983.5118,100795388639.122,122962606832.83,124911912258.388,125998037050.427,117683812783.839,109639410183.205,96723020804.9611,99889350221.606,99256377829.6428,101941124734.386,111375618533.741,129058888786.33,138527105758.018,155218909214.439,155872041048.461,169107384098.161,79243341780.3683
"FFP","W",1030487485,1154701956.6309,1937776270.79,4172735744.4902,3195450929,1561087300.9247,3604026249.9505,3956226137.3366,6909665384.7636,3510953604.8328,3870918382.5565,4169815760.1374,2702389764.5129,2311882532.3646,1440249747.5043,790308312.7732,849026074.3191,827702094.0427,1276375871.9072,1829040888.3793,2107669424.7602,1874076643.8005,2349920530.9893,1468619565.8894
"FFP","Y",16350774179,17232268226.4016,18338621766.2861,20386998190.5468,24134760123.3259,10650593084.6081,11335663482.7577,31651367307.2986,30612131620.1654,30905637057.8224,36107592113.8056,47574322114.0338,46586554014.8569,35317208311.772,32572646740.4593,33021519973.0625,36502481861.8953,30918823146.6184,33101504492.506,35554322155.6802,39736041548.7378,38575974214.3978,33368080945.0572,27229931001.9817
"FFP",,596001096.358,642611862.3221,957786917.7204,1906571103.3991,3482513521.1298,76154573366.3341,90848614509.5205,30444155028.9373,33197420813.2257,29494980744.0259,24733810631.7777,16051081268.2988,13386859863.1227,11203358401.3898,11652071525.005,11685283201.6678,11862405453.7912,12756736049.8081,15675309570.4206,17398153552.0395,17656995026.8535,15900258455.8337,16468102579.5641,8488446679.9139
"Incentive","N",2190257977,2406645919,3524819158,4010561637,4451891945.5957,10166602273.4531,7044600656.9365,10994839634.4287,10947324642.5158,13417863581.6019,20147254284.825,27614050848.9915,24332502050.8359,26235899211.8089,21816198309.3483,22669757194.7191,20736411021.3432,17994077335.3255,22139058590.9441,29791093446.2853,37342363390.8768,24870997866.6897,28433131905.4005,34407652094.2576
"Incentive","W",64812176,326868,203211140,-17289765,257965224,230105650,9731574.375,147422104.62,57561135.4062,94982795.522,430459865.5938,120608703.2617,58612895.6486,36225384.57,752235241.1123,315637312.0269,403083469.1727,363046124.024,400664565.0764,1056765812.6018,856998640.2248,1068633132.5548,722754152.1424,1441924948.4859
