"VendorSize_Intl","PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Unlabeled","Aircraft",30980247148,30513099255,30337971567,29918044865,30546960405,26815505318,28856006190,24930833919,26529770069,27545374131,462588126,342145895,405951469,296941905,388529775,393379002.8125,724039093.7043,168455350.0109,123529600.7354,115334268.8724,124638399.8433,95868664.663,14412389.4571,5873504,4026096.19,-753335.9704,-938829.7449,-3320488.2537,775483.0828,22335.49,38586497.1223,39547409.7677,-16790953.1998,-3614290.3764
"Unlabeled","Electronics, Comms, & Sensors",19702439894,19319595733,19385047958,18241613499,17643919462,18690643667,18181185718,18425728076,17479311563,19571291342,500425380.542,431077843.305,332603145.02,664121642.8892,1101988848.2623,450102041.4887,379862200.8816,214731282.3655,158413679.8838,295958499.3747,247870661.4945,292234989.0504,135918957.9948,89694184.8594,13604776.8673,81822527.3726,79036846.5504,40827541.9189,15399617.2005,24327187.5404,53227440.1518,22693632.7737,5131391.1272,1742109.8524
"Unlabeled","Facilities and Construction",12183236305,18492829868,17657715911,17178015869,20332444544,20137905407,20282796585,20228512717,19564618261,20604829391,1944358451.7842,1813619020.8579,1630515879.8582,2411152064.4034,2594510140.7229,3092377523.3762,2499259752.1407,1543309235.745,2195666598.6105,3322898510.6318,2593001533.0626,1956610541.4325,1482495543.4731,583005167.9704,269539299.546,346741087.3687,423590443.5465,217479731.2941,156087799.5196,307084184.603,154561294.4703,326124707.456,270211555.142,215227054.6939
"Unlabeled","Land Vehicles",4275032000,6503975889,4166812450,4396364530,3619043411,3098454659,3678250068,3652647546,2804250415,3507393596,110636726,205751478,118937832.042,203146487.6992,315425548.4548,222726751.1747,202706217.1007,96342009.4077,102572665.6375,116168208.545,210082648.9471,180870458.4429,151593779.1168,70063824.929,9418761.663,19152810.3087,10308262.9117,13900040.3193,16393298.1795,6142102.0697,117230837.0275,71493208.3606,3308557.7014,1060701.6976
"Unlabeled","Missile Defense",3035334000,5206015283,3918554592,4991418711,4289293657,3486356407,3715624896,4012460461,3602703203,3665542951,35268789,19050698.3999,10952921,15424469,16438336,11321208,8499834.5699,6211111,1494070.8438,1249704.4502,3290.28,36427.1211,,864699,0,0,,,,98917.8603,77045.2216,,,
"Unlabeled","Ordnance and Missiles",11331278000,14834080775,13464555013,11175370345,8533017359,8543659793,8817441132,8032566815,8630834203,9161817835,56990972,99678090,274322647.5625,244415290.5801,362640199,207454077.3516,211649081.1875,20457366.5663,35323907.2169,91828784.5239,59059237.0512,128484157.2319,33623054.2237,20892740.01,-2075005.9,3859334.9492,1647651.1533,2496032.4199,305870.4709,209909.9131,635078.6699,259542.6485,2725365,
"Unlabeled","Other Products",10893531000,13666534115,9670953302,10550468583,8625703645,8564693193,9626845429,9689825022,8560246161,7673714576,1596342758,2065822917,3056459780.9302,2390668944.7422,3924411281.2207,10095741647.4514,9099772469.2472,5788473754.3018,7776692943.7483,2007406884.4339,988823964.9576,844913395.949,604927547.7865,531843687.44,201970091.2999,63356478.8428,96935727.7446,152028008.2611,-778779.306100002,18267095.2877,364590112.0561,240186735.1034,9513465.8357,1033415.7358
"Unlabeled","Other R&D and Knowledge Based",7773865381,7927436229,8786567450,8567595442,8463162454,8878189431,9287693638,9695769466,10804672536,11285682035,131314429.3842,103974583.9623,94541935,110392481,183652707.0274,291184864.7159,135825626.4973,91762035.8596,30223511.7471,575450332.2356,515868133.5795,376722529.6037,205591543.5548,41440226.985,18586613.8076,3719440.0152,14189583.7358,21138421.1371,10316118.3388,12095526.5857,74733244.6514,35830610.5752,5476160.438,4022439.5804
"Unlabeled","Other Services",4385190184,5641814985,4211344274,3075823560,4014703413,5272937433,5083168952,5793220616,6068760797,7339018466,267478030,269475701,197005387,478828730.6563,416254076.9088,436412767.1675,312751258.7633,202939324.2533,134066641.3141,206415839.1145,355015898.8245,446670805.7376,452681384.5032,263278950.249,163993900.9587,48142254.2488,147511193.4575,100006326.6297,41877105.4649,12095719.2193,-15455469.6575,30275735.2138,3435361.6643,15328237.4178
"Unlabeled","Ships & Submarines",10680657493,9512770712,8600082026,9502770472,7389026646,9654356740,7969628348,8340521642,9369233233,8320132027,114762818,129724411,459662035,157659372,164695199.375,111116994.0216,114910920.6631,55341903.8641,15986776.0114,31944056.103,9839725.4227,8302088.0112,1746399.3989,2076583.06,1331832.6607,791575.1035,-5698682.6153,1612280.5053,331734.5327,234098.0566,531644.7636,3249212.789,1709716.6362,233687.2825
