"Source","Metric","MutualAcqKSA_UAE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"DSCA","Dollars","NATO",3236015071.55253,3819115784.40333,3843180851.96672,4241512350.46633,2402608522.27029,2770668705.3565,2603056134.81188,2773081449.08608,,,,,
"DSCA","Dollars","Major Non-NATO & Treaty Ally",3043515904.2689,2451796826.88229,2381955875.14552,2001803461.54746,2381606843.74956,5076847742.02028,3232884573.66112,14671779986.4358,,,,,
"DSCA","Dollars","Other Major Non-NATO",5874255111.65483,6130507073.26432,5427293359.96447,5631384805.11703,6073908414.07119,3855740550.77845,4954142827.20326,4093705561.39207,,,,,
"DSCA","Dollars","Other Treaty Ally",641129697.961343,288679777.46466,445593230.514981,340516797.452468,245899556.023958,284041178.359168,232420909.53617,186038638.88629,,,,,
"DSCA","Dollars","Saudi Arabia & UAE",2978682755.11506,2727689964.5361,3760464990.7825,5041007701.48084,3713849188.14882,3895321121.04438,4484191718.97262,6950954999.47605,,,,,
"DSCA","Dollars","Rest of World",1696313468.06423,1995766082.08076,1939755198.82989,1915803028.90378,3480934495.22967,4254327772.34577,4221143624.64731,3838039027.52906,,,,,
"SIPRI","TIV","NATO",1365680000,1464170000,2243240000,1236536000,1819324000,1593790000,1472750000,1983866000,1436760000,1779926000,2292360000,2725460000,3637790000
"SIPRI","TIV","Major Non-NATO & Treaty Ally",2957350000,2830260000,1801120000,560650000,975898400,1415410000,1758530000,1934850000,2149050000,2925300000,2833180000,2541490000,2360850000
"SIPRI","TIV","Other Major Non-NATO",1498250000,1176290000,1910073200,1661506000,2484590000,2207488000,1543170000,2255304000,1716822000,1109690000,885790000,1670336000,3416760000
"SIPRI","TIV","Saudi Arabia & UAE",5.11e+08,1259170000,1316550000,1670185000,1944640000,2584420000,2681174800,3723652000,4118700000,3521042000,2299230000,1662900000,1876100000
"SIPRI","TIV","Rest of World",1758216800,2369665800,1860977000,2513032000,3087614000,2382974000,2438590000,2152420000,968014000,1415880000,1061790000,2012900000,3221098000
"USITC","Dollars","NATO",5719667545.2698,6098757460.20221,5605667979.07171,4839513721.56683,5167699820.89896,5335400734.1694,5058812274.25147,5432404728.91994,5437606729.71294,5517072215.26387,5446246417.07999,5628113024.38694,3124212736
"USITC","Dollars","Major Non-NATO & Treaty Ally",5162489901.13362,4414953197.74512,4828740264.70661,4125234880.07822,4630292401.15537,4963291619.64073,6523893986.47633,4483501103.2212,3795326877.61729,4376916605.57986,3610326625.2911,3974047055.18985,1595904510
"USITC","Dollars","Other Major Non-NATO",3645603213.78466,3057695677.03491,2930299069.51534,4198052425.63557,6031919178.9748,5400110486.10429,4390896980.34678,3511991027.01522,3722885597.3149,3327201071.14004,3323673214.40425,2708503370.83891,1416927380
"USITC","Dollars","Saudi Arabia & UAE",1842644514.52952,1523967096.94249,2808299328.3831,2924510104.01451,3361380159.9856,4138565259.30539,4412435761.70095,4908083641.9216,4175305159.42813,4625165756.04664,3237488007.82925,2728886634.15795,869650703
"USITC","Dollars","Rest of World",3419838947.21702,3871692138.73956,5272560693.94901,5300445544.447,5406338441.4705,3997521076.98077,4942355199.05815,3844776806.39164,3235961574.042,4651484755.21016,3216387356.64875,3436836540.20261,1663716852
