"PricingUCA","SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"CB-Incentive","Products",1729381260,1386772904,1258599767,1758528322,2169244910,1517436128.45,3708009919.9589,2620161096.9725,7754833650.6538,4416871294.2938,4673502941.9811,11541208579.7806,6782882850.9765,9025604028.2604,7432214598.2237,5651050671.1785,5771026302.8476,8096085928.7353,8343957503.9594,9086503345.5673,9790679518.7737,11633031251.2536,13201544657.1974,10324291240.99,13262037598.87
"CB-Incentive","Services",383455473,591810702,809250414,1755028036.05,2598774635.61,7390536956.8769,8472359819.9172,9097654898.0984,9148520616.7702,8589824497.2419,12021514858.0766,11692914751.2662,8414224282.5169,5585236348.1864,4864812115.5021,4392978307.1542,4502335709.0692,5827746476.4326,4462678313.627,5064402266.6725,4560101831.3203,5021201997.4471,4111599215.2291,4353744193.3247,4945925112.25
"CB-Incentive","R&D",1178708917,1164903103,1277318975,1838380783,1916873056,1506140216.03,1542219642.135,2250208146.2574,1153525223.3156,1814183557.7476,3133381552.6185,3735157547.0356,2879921333.6185,3004491700.89,2164455304.76,2557292142.8237,2935724085.5542,2678324933.3549,2922325275.4594,3784645827.723,4516664147.7961,6692103750.7271,6889293880.3175,9058109555.6468,10324834771.43
"Combination or Other","Products",,120105,25491254,25189000.5801,41228253,125039132.99,465274109.1933,6267699437.4557,9262848078.2704,9762466323.1838,-202427323.0026,-644561.9467,-5072267.007,5355558.83,-2637993,-252,0,0,0,0,62886.3819,0,,,0
"Combination or Other","Services",5006200.8135,206146491.1,40015696.7305,177288608.7774,434742668.4577,908608587.5254,3085994450.7469,10723282354.5033,13871701417.1162,19447591178.575,708424067.9331,216918307.9704,-3087003.7341,-32451589.4489,-21371034.3213,-1964.47,,,,0,,,467462,,
"Combination or Other","R&D",170000,,,59292,19169576.75,7399274.48,251178199.78,1979898158.3212,3933714994.5962,4615764379.3695,62247047.0501,20006149.4897,5165579.8033,-1744975.68,-4321977.05,188650,,,,,,,,,
"Combination or Other","Unlabeled",48443,12475,461178,37618,,5986,11200894,42000,-28097.4801,,,,,,,,,,,,,,,,
"FFP","Products",30350535041.2501,34832154427.5165,44467471853.2131,56646865993.1425,58686686293.0256,70737707134.2315,83096231966.4469,103977986435.902,119267911707.122,101634630490.355,101320948717.128,94062194544.4447,81901054882.9135,71898404949.2174,67838468484.4961,69501201414.128,77388588742.6648,79738814973.6615,91060090729.2274,99483857723.4897,103794313302.725,115781217665.318,115730856272.451,109771628121.668,100065772866.38
"FFP","Services",26723748711.2592,30529781474.0104,36493550581.3077,50049853377.2454,48359708239.2654,52716090316.7817,59872456143.488,59876528788.1555,71104395149.1528,69408366628.0904,84447133575.0836,84034697702.4335,83914359863.02,71710819334.513,75228287437.7632,69818773879.5831,72048952336.4696,75018192824.2555,85949194451.4529,91609518193.7815,104251634104.84,93527116638.7399,100567803967.076,113110089585.992,117014370657.91
"FFP","R&D",2106050168,2664337622,3174484498.4,2487632216.1316,2867470797.0549,4599639201.6051,2656779808.9909,2974946603.1447,3310549383.3954,3875921512.8765,5231927251.1917,7356686866.7222,6636999917.3706,3079668415.7069,2701716991.3259,2114802039.1919,1635262143.1842,1900501993.0071,2100647335.5166,2366326953.3655,6772906272.3243,3257950182.1926,4983463945.0214,6274058362.33,6257075601.22
"FFP","Unlabeled",263776.8687,2859616.9694,37420112.3396,6905530.6118,2964059.6056,2483962.7607,20853329.178,18042618.09,748090.0627,673627.15,-47306.6795,-140641.9013,-3648.7,-52150.8511,449040,,3579792.2709,-245,-233000.08,465885,0,376316,,,
"FFP",,,,,,,,,,,,,,,,,,,,,,,,,,-1323.75
"FP-Econ. Price Adj.","Products",4657723144,6339470200,7317346433,8043241185.1396,9466487537.5519,19201480371.8469,17651548137.714,15709535762.5334,21374870304.3609,23429672551.945,15491781188.3912,16348533580.2411,23377845701.9404,15703331547.5064,9590644583.7013,7291396330.9893,6020756593.0632,7513071795.9345,8536535694.5094,7142510512.7056,6386704222.6344,7586921114.6916,13325012233.2513,13005116422.3806,13637235569.29
