"PlaceOfManufacture_DoD","SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Foreign MFG, Perfomed, or Content, Unlabeled Waiver","Products (All)",4218749351.58733,3563410849.24558,6858852899.53328,7530912941.83174,9899475296.50483,19589991915.4765,18185464367.5568,10066786443.5886,7058735307.28162,12400928.8586513,300532874.600276,109857978.340863,932051.790737445,-1091518.37038532,-27716536.544055,-2333503.6660827,-2754844.7840541,-2913348.28408577,-1146096.93422467,-5423576.95082065,-336867.528649302,-164786.841966188,-2190294.9688,0
"Foreign MFG, Perfomed, or Content, Unlabeled Waiver","R&D",227134509.058082,253393576.091585,276956561.590259,389409689.593034,419142603.859042,985868723.925295,2080492035.28249,3037084106.0711,918000752.508465,187725543.164838,401428723.418561,580767758.85294,264278489.372332,118771970.189343,34561776.2518707,-811860.703442607,301836.181452944,-1799435.10197856,278392.804991963,-1997335.72607053,-1911363.51603917,-1099278.63581264,-434581.9063,-119643.768246837
"Foreign MFG, Perfomed, or Content, Unlabeled Waiver","Services (Non-R&D)",5748997027.40635,5773772791.65584,5364542206.27375,7283484396.53195,7930525572.83997,10622889228.0855,9718171040.03367,13178508657.8034,4463597287.36876,293627125.198106,1078829790.98248,1114936155.62481,266436136.832747,249696978.658454,154347543.68112,140305380.38726,20510769.3469592,39202667.7782571,31829721.9362486,-281608.472844572,-780925.362111251,-261496.871687935,56223672.0465,-901754.302092568
"MFG Outside U.S., Other Exception or Waiver","Products (All)",,33120949.8037814,,688286.095624952,232203539.279309,98772940.9948741,752591013.12153,806533326.185143,1898283788.03401,3338051150.54553,1847251508.0024,1948271045.65774,1507148104.22371,1899705830.3547,624584504.664232,603834935.489224,699621170.153813,312686698.024612,347691108.864682,264337024.188421,690525265.030317,618413711.986163,4225266957.2953,287212112.432505
"MFG Outside U.S., Other Exception or Waiver","R&D",,,,,,,2449429.7270369,56445527.0096743,3750553.17988373,9139777.40566736,86011455.3363921,,-15355.1491207902,,,-1537.61993408162,-419.937174800585,,,,,,,
"MFG Outside U.S., Other Exception or Waiver","Services (Non-R&D)",,,0,0,,0,22075227.846231,111049267.237226,70573792.7596984,67003547.4791129,6056449.52568288,243626.761633583,415165.178048976,-207150.286599453,-28471.4142236237,-38580.3504599637,-438797.790137629,-436071.704422826,-1313.19822257045,-4708.37531209996,-8477.1204188793,,,
"MFG Outside U.S., Qualifying Country","Products (All)",37873258.4833462,19001784.8333549,38297645.5545459,32054256.3492766,61671974.5361389,718555165.186126,191726268.572674,-117189847.010101,1637516622.0447,1722252611.67821,1991061160.3625,1511326014.83329,1216698566.94619,636700303.269194,712510685.620062,616205913.545062,1399734924.10209,3369406200.66231,3098141986.298,4084385147.83327,3002773363.08435,3679534379.26833,6055179817.2992,4031997435.75998
"MFG Outside U.S., Qualifying Country","R&D",,,,228575.750351102,,,56028.8533075238,3229312.03657175,14288497.5797986,29304689.8277128,4584599.56347293,-82607.5943194444,,,,,,,,,,,,
"MFG Outside U.S., Qualifying Country","Services (Non-R&D)",,,0,,,20377399.8379264,1924280.86500502,8776337.08620156,52359738.6865722,6676258.77496254,7639202.86129496,1589948.19751473,1441518.13218972,34105.4006447614,302978.335490501,961572.825711258,,,-6073.59864658091,-44406.7205472127,-210.225955003264,,1925870.125,0
"MFG Outside U.S., Use outside U.S.","Products (All)",7359131.7273526,11471050.9408888,79364109.6241879,427648920.717574,673582847.981323,502142336.663965,9167440398.31406,14030645360.3738,19920582445.8931,17181034303.8864,16676586744.0357,13400495165.2013,13010852380.6643,13853735706.4148,6575834540.22769,5425130078.07886,3977745055.93978,3832235447.72858,3338643694.21164,3168538956.08376,2570712688.16955,2165289584.1971,2338912724.5056,1731294077.29358
