"ProductServiceOrRnDarea","Authority","2015","2016","2017","2018","2019","2020","2021"
"Operation of Government
R&D Facilities","Contract",52904842.3825137,58303883.0440715,60115114.536907,64463561.2730585,47417769.6580961,53504365.9454,NA
"Basic Research (6.1)","OTA",12035384.6994536,9515837.57444505,50553102.6696448,101486180.335207,337524780.685644,505049833.25,479530389.185214
"Basic Research (6.1)","Contract",3419641837.81683,3543526793.49258,3486574972.58722,3855401816.68801,3965272137.59504,3762438512.4235,NA
"Applied Research (6.2)","OTA",80660586.0765027,290841440.411478,345118854.584131,404094333.708099,1008037756.7085,1879741267.99,1632199841.42563
"Applied Research (6.2)","Contract",6729863911.67923,7200237197.53546,7273625096.69783,7173947127.50333,7920089724.60076,7964099128.109,NA
"Advanced Technology
Development (6.3)","OTA",21470752.9836066,224905994.802382,358546196.000851,445334055.954612,617971581.869197,8013869236.01,2868091625.72801
"Advanced Technology
Development (6.3)","Contract",4310370006.92087,4301041466.69702,4435487219.29334,4898079364.84676,6244475800.92562,6041787416.308,NA
"Advanced Component
Development & Prototypes (6.4)","OTA",641066578.743169,758492632.582566,1214182634.31185,2484604450.30189,3887196822.94664,3874539937.4,3700583696.86244
"Advanced Component
Development & Prototypes (6.4)","Contract",4302426496.91858,5246367817.54683,5435235233.81174,6161651676.55382,7279421138.04347,7902099787.6231,NA
"System Development &
Demonstration (6.5)","OTA",1499757.37704918,1932917.39036275,2641827.27079345,32806914.4284822,791234850.953984,497658184.19,504387647.220316
"System Development &
Demonstration (6.5)","Contract",4663683964.62885,4008667777.75571,4455508632.79675,4154145243.39965,4161621985.88634,3818923980.071,NA
"Operational Systems
Development (6.7)","OTA",NA,NA,2002127.20697724,3618426.3377056,423677.196204469,15875824.48,392713.991567801
"Operational Systems
Development (6.7)","Contract",1141136602.67923,995871820.266161,1008229823.34727,751429342.437955,742091381.607489,693326141.4162,NA
