"","OR","2.5 %","97.5 %"
"(Intercept)",0.00483580121779344,0.00283145786995169,0.00825898688664276
"cl_def3_HHI_lag1",0.68286022918276,0.563459946942982,0.827562092264773
"cl_def3_ratio_lag1",0.60868344499842,0.412290394072054,0.898627621555487
"cl_def6_HHI_lag1",1.20919105648161,1.02667986846925,1.42414695756636
"cl_def6_obl_lag1",1.20418348508468,1.01855653789243,1.423640035487
"cl_def6_ratio_lag1",0.98394647005727,0.915028175359372,1.05805556813365
"cl_US6_avg_sal_lag1",0.859549883466043,0.748799515145311,0.986680663145344
"cl_Ceil",4.28181715890405,3.74771065896261,4.89204206264955
"cl_Days",1.63794579137089,1.43054245924904,1.87541893505068
"VehS-IDC",0.741489233218188,0.658056165942217,0.83550054149447
"VehM-IDC",1.04912274802834,0.891418793125291,1.2347266502781
"VehFSS/GWAC",0.842149888238516,0.694976077679461,1.02049042699172
"VehBPA/BOA",0.668413126845434,0.506251427158938,0.882518219546717
"PricingFeeOther FP",0.859901536341704,0.506292899375252,1.46047999708322
"PricingFeeIncentive",9.80270357299923,5.46695076215261,17.5770738608693
"PricingFeeCombination or Other",1.82635024407196,1.20399165690445,2.77041389356273
"PricingFeeOther CB",0.907383535360561,0.675669215790833,1.21856207298086
"PricingFeeT&M/LH/FPLOE",0.929253185746467,0.594358108880899,1.45284714773361
"b_UCA",9.48879049469889,6.41235891617962,14.0411892455219
"b_Intl",0.805792010172368,0.641591184873522,1.0120163415051
"cl_def6_HHI_lag1:cl_def6_obl_lag1",1.28840321680489,1.04290538805517,1.59169074020105
"cl_def6_HHI_lag1:b_UCA",2.21064939824259,1.26296359712487,3.86944704746478
"cl_Ceil:b_UCA",0.119902917680188,0.0645861109943005,0.222597543758139
