"Vehicle.sum7","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Definitive","Commercial",0.209541370328426,0.283354660086195,0.28311471083356,0.0990961093544137,0.138571133709051,0.145922580696657,0.164187657366005,0.157381414335339,0.182260025287624,0.381921889820639,0.403884126553106,0.49569438816101,0.388251559767699,0.29659293953541,0.284904300672658,0.247223047151351,0.358264129643244,0.282649616090603,0.3865769111247
"Definitive","Non-Commercial",0.167770942808607,0.191949815098012,0.398230924518056,0.174135063241107,0.0269128975169156,0.044934512968684,0.0196931356374041,0.0162533094913337,0.0171551388609619,0.0477859556683047,0.0268234892185096,0.0371952467921975,0.0928091616924779,0.119973192451694,0.192711910219708,0.255139346372899,0.188668635146055,0.158825240247016,0.0643340008107
"Definitive","Non-Developmental",0.00271899773499434,0.000126716251911581,0.00100474748846049,0.00101027272727273,,,,,,,0.00175481127534734,0.00189945317397677,0.00072051017699115,0,-1.55223282079047e-05,,,,
"Definitive","Not IT",0.000680110419026048,0.000679977756151814,0.00115165218571816,0.000518163372859025,0.0735317970395761,0.231092681995278,0.328211739748326,0.276037130719186,0.13077600043251,0.248880566144495,0.271981744769549,0.101442999983087,0.146188639048673,0.323227719567978,0.157695440725176,0.139688591298022,0.151974619227358,0.145694566152535,0.127171178125
"Definitive","Unlabeled",0.0908880563420158,0.0313944835256499,0.0608516576160738,0.292251790513834,0.226473404318269,0.10525991417609,0.0987540488923657,0.0731156264972316,0.272344935729085,0.0565315856284076,0.00117014925732001,-0.00256118616529485,0.000880075497787611,0.000379319803278688,7.34192744991879e-06,0.0218132721049777,0.00531826449614824,0.0243426033538414,0.0166801001476
"Pur. Order","Commercial",0.0513574674405436,0.0750329598220492,0.0974970172922889,0.112606431715283,0.144553545562875,0.284248036297129,0.353700809814684,0.264255159986399,0.788002207255878,0.39046132197777,0.356605910861752,0.400206578136656,0.249551321129978,0.223091894234208,0.328539130317055,0.176249757091151,0.225330476971164,0.30651631823314,0.2161833896125
"Pur. Order","Non-Commercial",0.000285387882219706,0.00241737244543306,0.00188841026337225,0.00414942687747036,0.00432365042755011,0.000846337605567292,0.000660604837939851,0.00134533004718344,0.00235258596180929,0.00562626724417924,0.00346054016144219,0.000544961607847559,0.00024632814159292,0.00107635350721311,0.0071668009122902,0.000248303669644756,0.000899761070997293,0.00436151592133456,0.0025827745429
"Pur. Order","Non-Developmental",,0.000110871680800779,,,0.000211911145155113,4.66211010314403e-05,,,,,4.10329292685727e-05,9.15643251775848e-05,7.63274336283186e-05,2.34802841530055e-05,0,,3.30806787424526e-06,3.66493214978063e-08,0
"Pur. Order","Not IT",,,,,0.0122219067905017,0.0170004036895738,0.0183915374589066,0.0182089789297063,0.0291945440522735,0.0293893066712297,0.0188003018715122,0.0335629240876085,0.0761723129535398,0.0625604498619672,0.0313014415259339,0.0351074075796639,0.0375184718798667,0.0339262777284971,0.0217157313827
"Pur. Order","Unlabeled",0.000863543177236693,0.0235666092033922,0.00506305185989682,0.0147324044795784,0.0243566513468658,0.00388081665452964,0.00173556034396688,0.0109368851090515,0.00884485313665115,0.0034118201028431,0.000274335966126995,2.07145450445372e-05,2.8908185840708e-07,,-0.000102531586356253,0.000832171633375877,-0.00132792660451801,0.0028627645318845,0.0027570460703
