"ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","ProductServiceOrRnDarea.sum","Action_Obligation_OMB20_GDP20"
"",NA,"Unlabeled","Unlabeled",2161706.2957417
"1095","MISCELLANEOUS WEAPONS","Launchers & Munitions","Products (All)",6437.35541215147
"1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","Launchers & Munitions","Products (All)",172745.526010929
"1230","FIRE CONTROL SYSTEMS, COMPLETE","Launchers & Munitions","Products (All)",10199.1048340797
"1250","FIRE CONTROL STABILIZING MECHANISMS","Launchers & Munitions","Products (All)",11057.7197
"1265","FIRE CONT EQ EXCEPT AIRBORNE","Launchers & Munitions","Products (All)",26346.2860259502
"1290","MISC FIRE CONT EQUIPMENT","Launchers & Munitions","Products (All)",3946.81247669939
"1398","AMMUNITION HANDLING & SERVICING EQ","Launchers & Munitions","Products (All)",31906.3181238034
"1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","Aircraft","Products (All)",57974.9855002731
"1730","AIRCRAFT GROUND SERVICING EQUIPMENT","Aircraft","Products (All)",55433.0088495575
"1925","SPECIAL SERVICE VESSELS","Ships","Products (All)",47288.5307439425
"2305","GROUND EFFECT VEHICLES","Ground Vehicles","Products (All)",98070.9405816235
"2310","PASSENGER MOTOR VEHICLES","Ground Vehicles","Products (All)",1249234.73745361
"2320","TRUCKS AND TRUCK TRACTORS, WHEELED","Ground Vehicles","Products (All)",4627506.51249403
"2330","TRAILERS","Ground Vehicles","Products (All)",647386.874338438
"2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","Ground Vehicles","Products (All)",167830.165350756
"2420","TRACTORS, WHEELED","Ground Vehicles","Products (All)",43649.2318892469
"2510","VEH CAB BODY FRAME STRUCTURAL COMP","Ground Vehicles","Products (All)",43919.0732582803
"2520","VEH POWER TRANSMISSION COMPONENTS","Ground Vehicles","Products (All)",9908.0703
"2530","VEH BRAKE STEERING AXLE WHEEL COMP","Ground Vehicles","Products (All)",15154.5623265346
"2540","VEHICULAR FURNITURE AND ACCESSORIES","Ground Vehicles","Products (All)",250438.587757246
"2590","MISCELLANEOUS VEHICULAR COMPONENTS","Ground Vehicles","Products (All)",236634.371469577
"2610","TIRES & TUBES PNEUMATIC EXCEPT AIR","Ground Vehicles","Products (All)",92637.193668753
"2815","DIESEL ENGINES AND COMPONENTS","Engines & Power Plants","Products (All)",16956.826956827
"3040","MISC POWER TRANSMISSION EQ","Ground Vehicles","Products (All)",101186.086397004
"3220","WOODWORKING MACHINES","Other","Products (All)",269545.841310359
"3405","SAWS AND FILING MACHINES","Other","Products (All)",21262.9980433737
"3415","GRINDING MACHINES","Other","Products (All)",35628.0416821235
"3416","LATHES","Other","Products (All)",117779.375809003
"3417","MILLING MACHINES","Other","Products (All)",38601.5015457088
"3419","MISCELLANEOUS MACHINE TOOLS","Other","Products (All)",848582.766583559
"3442","HYDRAULIC AND PNEUMATIC PRESSES, POWER DRIVEN","Other","Products (All)",252557.169567093
"3445","PUNCHING AND SHEARING MACHINES","Other","Products (All)",229950.104407704
"3449","MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES","Other","Products (All)",10991.7651271035
"3456","CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY","Other","Products (All)",9432.60684281018
"3460","MACHINE TOOL ACCESSORIES","Other","Products (All)",14143.3613901711
"3461","ACCESSORIES FOR SECONDARY METALWORKING MACHINERY","Other","Products (All)",15188.2689200944
"3470","MACHINE SHOP SETS KITS & OUTFITS","Other","Products (All)",119847.800843845
"3540","WRAPPING AND PACKAGING MACHINERY","Other","Products (All)",118905.925798571
"3590","MISC SERVICE & TRADE EQ","Other","Products (All)",7759222.10531903
"3610","PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT","Other","Products (All)",48289531.910808
"3615","PULP AND PAPER INDUSTRIES MACHINERY","Other","Products (All)",9494.70351881164
"3685","SPECIAL METAL CONTAINER MFG MACH","Other","Products (All)",126828.963610586
