"SWpsc","ProductOrServiceCode","ProductOrServiceCodeText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Annual Software Maint.","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196933839.180962,463704210.075319,814296114.766814,1124392644.21235,1147315637.18473,1592674117.76462,1729601355.23392,2393231354.12203,3281835787.7435
"Software as a product","7030","ADP SOFTWARE",2152427032.2033,1938565222.62146,2967948258.91549,3255819316.01932,2927253871.74939,3000393710.54005,3808420705.74224,3578088662.46166,3834875340.5887,4638512130.17838,5210762492.47894,5488276925.55622,5222107491.90665,4758370776.51742,5583785714.86438,5881779653.87585,6125220887.55831,6434140977.17241,6375329486.78566,6890468164.29568,7217655556.0597
"Software Development Related","D302","ADP SYSTEMS DEVELOPMENT SERVICES",1659004549.5806,2037315361.21875,2264752623.02959,3023001439.45558,3450781157.58376,3021114972.42833,2770262213.84284,2807974010.86653,3287993639.96006,3619860288.44307,4037271772.68803,3244144074.446,2771502064.53428,2197093006.71135,2493323556.41969,2779274310.43126,2931572220.7726,3013109511.40619,3024008377.90037,3112747068.8139,2957688669.9715
"Software Development Related","D307","AUTOMATED INFORMATION SYSTEM SVCS",1372731476.40512,1354625397.20121,1446367369.98117,1900293828.41971,2044689643.03638,2592278118.75455,3020614867.35797,2853395267.19684,3515782247.08767,3406005551.0845,3315864509.49302,3857309324.62396,3485739843.05982,2749872418.12651,2499993453.12898,2807189575.2106,2712117472.92799,2478804405.92172,2417804146.58536,2342962038.98582,2371999126.4627
"Software Development Related","D308","IT AND TELECOM- PROGRAMMING",667443795.208155,719583502.686898,757546583.744054,962843195.27485,1104805807.81808,1024754384.522,1018863850.36678,922770530.24941,967315657.009862,1081840257.85893,1250525498.11254,1510583976.08693,1629336284.26834,1705915765.43646,1813190436.78949,1999563739.75202,2062494332.87699,1786782597.56924,1816865684.44451,1796991074.97878,1760461442.7573
"Software Development Related","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1739325907.54197,1921580821.51708,1905379268.43341,2556528125.8918,3438146866.83952,3658433891.388,5003183965.1143,6675444725.34721,7042183973.754
"Software Development Related","H170","QUALITY CONT SV/ADP EQ & SUPPLIES",400164.875607243,NA,119139.297848245,577376.616154595,2030815.77572631,8376505.65098814,1767145.26094727,1205205.60904685,6685032.00645318,17228751.0693308,11424843.9885428,11184430.4973675,6810227.71121828,16790254.3550569,17966129.3094027,12322378.2180328,14681741.73817,13061432.6868751,12674996.3107433,9844564.30058157,9050446.576
"Software Development Related","H970","OTHER QC SVCS/ADP EQ & SUPPLIES",27969.9690858236,NA,NA,13646848.3247602,1293495.58797176,7689432.93926219,7265231.99757436,7964581.28196844,7836182.57128942,3073131.05452576,8954612.36066356,13467506.7910378,15993282.7093811,10126260.7762995,17331070.829646,6319046.89234973,7886558.66258798,61591429.0872155,21244950.3138663,20230921.452913,30487636.7266
"Software Development Related","J070","MAINT-REP OF ADP EQ & SUPPLIES",940043318.121596,854411929.123112,727616098.758635,1006858821.63228,1037768630.21219,1300879826.7415,1354674181.06141,1135273473.77607,1258737422.74212,1208133828.82932,802456738.748299,701374292.021879,665770719.968768,674973497.40681,566923854.156416,593939499.523388,495690209.542393,389030535.975856,424437272.048511,500156197.546475,487821467.1549
"Teleprocessing / Cloud Computing","D305","ADP TELEPROCESSING & TIMESHARE",66056046.9015163,221397795.116496,57409752.2650057,101892828.942861,47381462.4951127,65369424.8818182,75470163.4572961,49734118.0869889,22206516.2369414,44216892.4820655,50075467.5680869,47765738.2623143,48779287.4946607,59214107.9560266,162370200.416925,151377985.094098,127998265.15203,286591008.300468,424465775.929627,512142298.836241,1028207944.3265
