"Shiny.VendorSize","PlaceIsForeign","IsFMS","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Small","International","Includes FMS",1608727.17878057,20649564.6972601,9033560.7079646,58232657.2008743,120986469.765674,138120609.767922,54769811.6197168,84643193.4005714,143480684.485,292205336.437788
"Small","International","No FMS",353637090.756459,421392744.835494,505853411.245907,1019877158.89486,1207391657.38246,1709475799.9649,1300923035.48699,1446415582.83859,1363532866.3723,1175405008.3217
"Medium","International","Includes FMS",111313269.327707,364523012.292367,496670954.026881,1218475873.66044,1219120855.78614,1179875845.87332,1659872903.01239,1189345660.45699,1299794575.4719,1319032435.0906
"Medium","International","No FMS",4303735203.36985,6820545015.81892,4396574924.34469,8143270521.60186,9796135529.74878,9965217020.72261,10374744577.5612,10610068169.8513,10733453605.9034,16415036249.6943
"Large","International","Includes FMS",78134899.2411299,43433545.9155485,81042940.8628319,483241670.466995,424650334.672983,983670384.816635,359117814.963252,365578757.526783,253780696.6604,NA
"Large","International","No FMS",7345176017.74498,9046974809.65419,4719631454.61184,7058810366.74208,6245478315.91489,6395074942.01457,7694094610.28618,7606602223.70187,6614567641.4452,NA
"Big Five","International","Includes FMS",383827423.326788,279525745.55756,202626102.256858,1278396647.44634,645897907.575528,715276191.923527,1213094723.76348,1606999797.31272,920135465.5125,NA
"Big Five","International","No FMS",1248855348.7777,823812166.05119,424632984.606195,568124313.374536,600582080.85804,489748033.498724,530145032.455445,539586458.677074,412621713.6748,NA
"Unlabeled","International","Includes FMS",212194.281777472,1321677.26925245,3182018.78318584,33463959.5216393,120675641.479372,12402929.1766645,3597373.39412867,-11543068.1671258,1375701.6836,NA
"Unlabeled","International","No FMS",123845535.645654,124759336.959635,65189456.1955752,446354687.484044,611241126.294207,483143847.393533,193589228.480845,355127734.125089,54229779.1229,NA
"Small","Domestic","Includes FMS",56010845.2560569,95203346.4834818,228362625.62865,874629884.814645,1283820917.53633,1198162346.54914,1715569936.50323,1822914062.28364,1727743345.6768,1811612342.19208
"Medium","Domestic","Includes FMS",2438800753.54587,880234855.575149,232104432.256195,2024091790.78754,2846852650.50125,2925676503.4883,2146836179.47762,2810826674.74941,2949697797.8836,20877323537.2258
"Large","Domestic","Includes FMS",2296274112.26536,1011054227.89683,2515064105.4021,4786392386.07301,5538005513.30038,4154848206.87864,5248883370.02332,4980132691.10713,4839212230.4153,NA
"Big Five","Domestic","Includes FMS",5002821401.57975,3363355133.81215,3317158276.14558,13258186842.9729,24277295676.3025,21701406015.6836,23839079465.8755,26303101906.4021,38145945737.4644,NA
"Unlabeled","Domestic","Includes FMS",NA,NA,NA,10928.9617486339,0,-3574.77132524995,-12116.3855923381,NA,73197,NA
