"Shiny.VendorSize","PlaceIsForeign","IsFMS","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Small","International","Includes FMS",61126247.4903616,68649717.514277,112776323.911633,68424294.1778343,138692330.336187,158521319.439201,62828529.8042778,97270002.5901798,166063213.733637,333525802.403481,95800196.5254844,121971955.2448,14351948.5479031
"Small","International","No FMS",4193267454.01493,1820070148.56184,1540836995.95856,1285377034.61705,1384088344.05344,1960133534.82297,1492338193.08485,1662187375.46162,1626245796.5519,1292353271.66901,1068325741.35549,1517179171.3071,229320794.019855
"Medium","International","Includes FMS",1031601850.14555,1308032010.26059,1583112591.70608,1770198843.75511,1397404740.80419,1354146033.50326,1904103210.76737,1364749497.04563,1451485825.40324,734285288.66581,947257884.941246,1312090961.2802,337334910.469715
"Medium","International","No FMS",21785054806.123,19633777911.964,11929825179.5121,10082575795.275,11229011821.8138,11434547341.2782,11888487367.3371,12177757367.1042,11727129371.5176,11650827183.6964,12255052240.418,13928800308.1691,3405421662.42426
"Large","International","Includes FMS",744730942.105055,1143132909.39309,544467235.50368,584015418.913572,486925444.098394,1128960605.92555,410228146.959464,420114663.245974,301721922.029777,183934248.455088,97171632.9750748,195224219.9678,
"Large","International","No FMS",23937928915.6508,23207621759.1093,12038924949.4451,9884659127.86433,7160374892.41039,7342278483.93313,8837718806.42722,8756417029.93435,7616583636.99832,6057473243.05186,9360516339.34986,8860451137.9661,
"Big Five","International","Includes FMS",534303361.953279,972352178.124822,523976642.987897,1475884993.34732,740422347.510569,820040461.452212,1391587003.0115,1846727045.22478,933509358.16432,451374013.452078,566226821.337628,75359511.7337,
"Big Five","International","No FMS",2237419728.90465,1722429982.79297,933618099.458972,687911122.385653,688474740.305136,562045232.527646,607328260.34962,620080293.813567,465627920.573997,387115153.564709,388179876.574357,298055327.9266,
"Unlabeled","International","Includes FMS",133516288.839418,161159387.80313,186459527.14221,49803223.1376062,138336013.638583,14234868.3610608,4126683.56574672,-13265027.2916968,177172959.124089,133378496.079429,12081996.6870162,-17390327.4681,
"Unlabeled","International","No FMS",3409152350.80798,1548955299.1947,525191005.917291,519621582.411052,700693692.172767,554505227.687912,222073552.048102,408104588.572375,696686987.571563,685501856.577064,250004099.227201,421852458.1906,
"Small","Domestic","Includes FMS",838192747.943446,973572280.391008,877917758.521103,1140868848.14378,1471702704.70998,1375133489.46603,1967995391.97453,2094867146.02731,1758942589.57115,1927402277.86704,2019290819.68032,2591503974.0168,219443160.337543
"Medium","Domestic","Includes FMS",3924842499.40577,2290751069.96016,1500191960.38409,2487392552.74165,3258294998.23239,3353056285.2983,2453632821.01666,3219742400.22448,3434938258.35244,2973527506.14588,2409226104.90218,4315440327.4668,4016761069.25326
"Large","Domestic","Includes FMS",7049752583.13324,5636212604.32015,5854968209.46072,5401241324.82005,4079936227.4901,4405420968.57035,5645901912.31516,4501725177.07774,4972843743.20152,3186372078.92733,3472678750.75076,3615060260.8134,
"Big Five","Domestic","Includes FMS",22064111452.9812,13237343076.6536,8519353741.47818,14911382443.5775,23755325220.8646,18044299320.5044,23699401213.7207,26961216479.9437,39638706518.496,20609010246.6501,17305801939.3151,22397348970.3869,
"Unlabeled","Domestic","Includes FMS",576396.781486704,833699.044523496,1896.28210442738,12512.3001227935,0,-4102.77270078814,-13899.1658140794,,84717.5290478337,2530358.61699985,-8040087.48891697,41333.1172,
