"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",1594000,487000,517370,277481,1504771,5743102.2229,3216465.8476,525246.519,2902620.8621,557272.9484,292299.8804,1827186.1602,6923421.1617,8239355.79,4743944.69,8880818.29,6383794.2,5237759.3233,7615198.1295,42856435.0494,4850553.9649,50970445.2129,43954683.8794,7139378.16,8430011.3,2931405.68
"Electronics, Comms, & Sensors",174604768.8672,176419446.6504,213454189.7568,266423503.4953,274410065.7904,303132510.1669,326630720.6786,380598747.9597,377886925.2,399979107.3408,412332244.26,329427295.3224,230313444.2527,164629131.0657,194515924.4599,248668811.6667,283786533.92,354709203.3713,350835140.1353,532267354.1387,624031539.1181,673495853.2917,796446959.1863,860366755.5682,907770477.59,297983485.24
"Facilities and Construction",18471486138.2881,20369555205.9631,21103455537.3067,27010995595.2482,19011253767.0607,20839776691.962,20105527675.4865,20388969339.3456,18995641228.452,26680595235.9252,21371038211.1933,20751672358.6525,20734686394.1824,19980446745.9172,21614061910.3146,21240688631.5099,24550278585.19,24976502675.9506,27878400807.223,28829548660.9021,31171414679.0089,32675294589.3961,35873481587.8043,38475623513.3529,38961563364.54,18656066631.18
"Land Vehicles",11252000,3979000,2353115,2512104,6527439,3858537.1213,3084371.7937,12592826.5599,8885045.284,4972386.7919,13603004.3936,13818148.0921,14762065.6682,21043473.34,20353726.6,32662831.23,23571396.01,17788036.1198,12849845.5483,25189383.7179,18058296.2419,20562527.9067,17968068.4355,21902213.1879,24696666.94,7270840.49
"Ordnance and Missiles",-76869.6982,3650836.7,7216381.85,40186110.08,8492036.97,9130478.1605,6866305.4929,1673401.7492,14270087.7519,3926618.1375,4920041.5662,-5139701.2088,1935012.7021,1157987.73,2654031.05,2326276.47,1829820.86,2562012.2812,1456224.18,2254277.74,3817909.7788,3997442.82,4466279.5552,4144247.4,6836360.74,2279100.02
"Other Products",30593578,47332600,21582595,7737184.5508,31917797.25,23463871.1129,16380547.4724,83911536.0578,52958952.4652,577331081.2997,32181876.0128,5628851.0767,5751852.5104,4087886.831,6059402.4598,249173442.965,8131408.53,6354523.934,8415960.2549,10797559.3296,19393871.1449,11993696.9085,23091738.2627,17058171.2701,14800730.14,47418633.63
"Other R&D and Knowledge Based",1456809078.0093,2202167150.7148,2282926189.5047,2378203024.7249,1740179799.3111,1531831409.0216,2004751523.6859,2178512797.3052,4039088099.6682,3159067295.5408,3509210784.8872,3209441301.4848,3415872397.8725,3131093789.885,3222613379.606,3314698331.152,3351469469.74,3548179566.2263,3643851903.2425,3799829591.8516,4058398429.3019,5046434601.0344,6044619598.3036,6741448051.9069,7526926224.33,3474491573.86
"Other Services",34191391.0909,35875622.65,27976380.11,27054527.72,36206396.0866,42859327.6212,51766338.6969,74293375.8917,91862195.0561,83572179.9597,70925364.3163,59650463.5048,61564746.5078,40351129.4837,53152259.1321,71258737.5647,54832164.34,46989761.8658,52521265.8281,53388698.6352,49544119.5118,42969479.6048,57308056.5507,66944869.6075,85695775.54,31401719.74
"Ships & Submarines",420323130,195019701,309798979,734471938,678735430.52,434937613.96,416187602.84,283872670.53,601889297.98,733123695.55,299334326.58,733652670.09,675377048.68,633215678.99,386278442.69,4433020.98,7122046.63,5198225.8499,6640271.12,15436873.36,15094912.59,16969813.03,22049088.39,48918775.45,97270761.32,88914073.41
"Space Systems",43798304,27574651.1,31234073.19,45698719,45992304,42453028.32,24242635.86,17847198,14409151.6,11532634.66,35308508.9141,19406525.8516,37820146.5,0,-322.43,952501.15,1412482.44,2555157.25,515161.06,0,14189540.82,17300000.15,28981024.48,30617500,37199750,9534200
"Unlabeled",-35000,232000,5111254,1574988,2693616.585,-288372.12,3884606.5399,2311820.1695,1818348.18,243139.03,141569.0691,8221.7899,-4587.1201,,,-183934.78,0,,,,,,,,,
