"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",77180524.9786,91395386.1637,71693491.55,59383405.9502,101564229.9554,114593816.3498,69484370.596,84921314.0657,82393328.6702,98049229.4221,140452879.4619,92154328.3037,95237248.2709,108716748.458,84836609.1144,100725702.8319,114637122.6094,174602381.1302,290386887.3413,322758019.3692,356572321.081,348076461.2865,242808139.2453,172369167.3108,183984062.52,74140463.34
"Electronics, Comms, & Sensors",518439181.3624,576859137.3211,508286637.7215,484116090.7749,1038044787.1971,1017467633.1256,1183154259.8065,1166074444.36,1067475097.8464,1107239938.0527,1148733885.5572,1176025808.867,1129860153.9561,1035310199.7633,1008526201.8211,1066283919.3401,1024371973.8332,997218667.4415,1075681629.4146,1112400564.8715,1189476422.9743,1204285615.171,1189252742.1128,1222766857.8264,1325762290.87,513067202.31
"Facilities and Construction",901914208.4023,941900665.45,1023204873.0105,2302032228.2211,1087640786.0027,1208217023.8771,1264784860.052,1649569441.879,1670476803.4894,1527044565.8634,1493267099.0946,1265946940.9424,1410763530.6953,1385001557.6018,1441991897.6956,1370387444.0547,1285164801.9933,1368924016.8144,1421210580.8381,1550466459.5803,1409130259.6618,1392839775.2327,1487765878.2502,1438046283.4578,1302166337.02,446741387.18
"Land Vehicles",6637000,1635983.6,117337334.63,1521676,13018779.65,15892526.2003,3876303.4319,20719802.4563,28732658.4651,33284028.6776,35813724.8027,18897246.2583,3799564.3952,7658728.89,6411343.7957,2561563.9412,15178062.9324,47113788.6455,23127887.8296,50874352.9846,51660456.0075,15406073.5467,74333107.78,69761686.4914,94895417.72,20378646.74
"Ordnance and Missiles",1314000,595000,977612,643078,1254958,1158649.7,-23097.6108,2391710.3888,-1620559.97,1601566.1299,313080.1446,3659045.375,2454423.0264,5579003.1001,4253508.39,3960678.9194,1457005.6945,1520817.1786,9295054.55,1039144.1883,943139.7554,943552.0784,3332149.5124,3070549.5,2665563.65,131872.44
"Other Products",49538916.3555,64906636.1256,58270398.0591,44275269.845,59100286.4394,73974052.3847,100872495.3529,84003002.0973,95388898.5066,97293277.0144,69601691.9525,50029749.9204,55278346.1851,50407140.9323,61921322.6514,42539781.6351,60550691.2445,47884046.0285,57012939.2917,47555923.4653,93986715.6577,82324389.3415,110860833.0844,241107446.8345,171875135.3,76423716.24
"Other R&D and Knowledge Based",1268510493.6493,1261462921.6338,1242751445.2197,1240513382.8253,2141301856.7619,4139462353.1113,4143602164.6652,4413129453.2784,4836435390.9937,4340574529.0325,4911860266.155,4128326176.5403,3438451440.9808,2727372784.3895,2981269431.2966,3507284295.7153,3862174560.9671,3862125963.4303,3542502286.5118,3391102487.5231,3835925504.8765,4253797007.4783,4135069181.8275,4192335690.279,3958441643.11,1739225903.89
"Other Services",202964378.2998,184029515.65,149638515.55,168202954.63,164707648.3489,112061012.4362,136184371.7255,144784590.8861,175501108.6633,134883020.1587,156676880.2596,165193930.8045,166629742.1423,150309976.2523,147608098.8974,124925701.1915,105624010.3459,178174099.4713,179423306.0872,169269038.7737,206224800.6219,142325917.7823,137092873.931,124321333.95,125359909.49,41787063.12
"Ships & Submarines",533614.8438,229000,71000,93278,383870,263776.83,593346,402377.81,10717416.2402,15258991.69,14685868.4454,3523067.7948,32675.7402,83446.77,883978.98,544275,738178.625,1334616.05,9660.27,2128148.8005,13761,192339.91,264432,317241.96,225452.9,
"Space Systems",2019365409.8517,3173240967.61,2560826724.54,2259796785.5674,6246957406.6652,5880856647.096,6046232752.1157,5662753441.7845,7069926867.0949,7981367394.5784,8172101662.3854,8488990080.4808,8851013897.4072,8748534115.7576,9275216195.4039,9655237911.5294,10801201594.2688,10701251292.4267,11442605694.4641,11082413555.8843,11795122197.9854,11731495925.0031,12542753791.7267,13481976931.7694,12867866770.16,5540652331.73
"Unlabeled",768855.2447,1590457.0839,9551747.32,9179902.7024,46076382.9296,36841123.2098,27133917.5804,2525492.9002,284823.62,-3180.87,-33681.1799,9393.84,38219.7298,0,0,0,,,,,,,,38439.8,158150.62,
