"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",14595000,105028000,40918000,18463809.8811,11558038.5793,50276583.1214,319337749.0563,309511062.9204,373372213.7781,326394939.831,822080095.0877,718724999.9775,679260708.2775,358646750.3775,141627377.5499,380832446.6469,309940352.15,228748872.1195,306945552.74,287824825.7135,289303226.9296,280783994.6131,211289381.3313,272573175.0672,234382637.29,71474174.73
"Electronics, Comms, & Sensors",281092086.4343,475296273.7745,603486853.7727,534642767.0886,744607453.026,719437314.902,632390187.3346,813737240.54,884990124.9117,1133627544.4164,1594548137.7449,1368508179.5089,1520060492.7048,1466635814.0492,1699929900.1425,1806921433.1311,2023975211.8522,2139853699.7181,2227032147.464,2223631019.4615,2453066661.5033,2341761426.6674,2382359501.2726,2502024260.843,2681813695.86,709085904.18
"Facilities and Construction",640955870.9526,750357178.4891,1291952094.5194,1802332495.363,2007264757.8315,2674118315.398,2161784171.6484,2952245714.9798,2163364267.7063,3454153497.0413,3961906614.1284,3747980805.2994,4173606424.054,3160795492.1813,4484074067.3428,3294724048.9678,3603453279.6291,5500872765.044,3920011195.0582,3474361232.0679,2834875514.4331,3117364897.6124,5066437060.974,3865997996.8927,3271652501.14,929487260.58
"Land Vehicles",17997000,24841799.67,45548026,35208193.95,43564373.573,72299155.6618,73011616.819,79484992.2177,89038147.2092,90211903.6064,166872361.4514,250999841.6285,131193404.2967,100099419.5296,109094608.1687,108219817.795,132341486.7787,169400492.0736,198507005.2035,83852249.532,118255428.5272,160821009.4824,209920983.7504,258327566.8292,379909572.07,16338333.02
"Ordnance and Missiles",1144000,4091000,1636663,7850218.875,8442849.36,24529614.6607,33755860.7328,28592172.2039,32361355.4825,28654613.9118,35383135.5102,61782774.6953,36713262.7804,44545963.6,52430619.8799,52366143.8697,45130069.3204,27067830.4056,27010324.4264,25130755.0579,14695517.345,10717701.1376,45378414.3272,32126856.1233,43292285.81,46827752.16
"Other Products",275392269.5859,307853216,158197837.07,73988574.7518,209292812.104,281973586.4976,372899265.8698,370438834.2125,314851221.543,260126046.3444,619113682.2785,265109981.3578,553857122.4097,431439056.2328,386820219.5012,419988835.2593,284507573.4998,269732179.4186,259734134.2154,248489783.3915,260952502.0625,242944990.4745,384579475.9388,280588741.2924,348035564.48,59185176.89
"Other R&D and Knowledge Based",499769364.6948,946769712.194,2479060758.223,3287602425.3809,2277622997.9408,4288320441.6978,4745483131.7373,5286724619.4395,5950662510.091,7064563789.5649,6456479107.195,6114398456.2572,5736042365.1876,5796518895.5134,5593658444.0288,6496735066.0429,6598584264.9197,7391788985.3302,7758368083.1417,8365289857.1199,8998732822.9978,8519360836.0036,9190491288.7464,10062458699.9695,10679832122.68,3528943537.12
"Other Services",104457238.8242,62918682.57,114848120.46,92395509.399,419295202.5912,207165054.3086,271719418.4653,417779460.6812,916682995.0279,721711959.1176,604919151.3253,575738967.956,950600974.7127,608958900.8201,762222663.9223,766659492.5828,653117682.4237,629205726.934,696620611.904,734727666.17,695806509.2771,941865532.9461,713551716.6649,1650896922.5961,1925957087.25,739568052.97
"Ships & Submarines",480000,730000,1089053,6806934,2356012.7558,6353709.4638,2405744.1388,2137536.1593,6603612.7497,3377691.5448,5190695.8017,8622247.3182,15706011.5401,7055749.8291,16598634.1902,13157864.87,9930613.94,4087886.6945,8556457.9285,5799900.875,9711713.222,3741081.6881,8758209.3962,6076998.436,21486257.64,8765988.55
"Space Systems",,175000,,286021,64676.01,947164.42,23479.77,342033.6102,456064.17,687768.3201,1048220.8573,2331136.9195,1897504.9583,2041182.25,2744239.95,2837313.68,1375324.48,1877905.1407,1406668.1198,401432.04,74286.73,39803,591470.95,48286.8,46920,45920
"Unlabeled",6623149.1794,39737703.7791,41001198.9484,55450445.2922,5224795.32,36415294.2102,68584613.8901,68507644.5228,72097127.3593,15354584.16,984134.4314,-371063.7513,-385965.0246,-127290.95,-263912.47,-47436,-40831.41,,,,,,0,208650,15500,
