"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",132177969739.387,143993538572.227,169810521135.502,211533087299.785,229775123832.669,265664477759.014,295135547389.375,328138443820.212,377985532544.32,381546162439.944,362695499197.28,368610501185.146,357789885542.806,308200677489.641,283396245176.568,274224090474.232,298351857417.014,321874415208.485,359361603508.872,383608376439.977,422534745021.121,386973975340.852,414352444443.049,457121656656.725,445289601912.467,198633427531.29
"DHS",239679197.5894,324962674.3824,1016739690.5347,4112525853.134,7868547285.8106,12818143993.9839,16495589873.5407,12468819310.9643,14032111435.8313,14300423415.3792,13587280596.3903,14259187519.8295,12418319652.8096,12291180784.3089,12819914563.3996,13441869495.4139,13550179505.1602,16301999884.717,18223751263.5358,17645334907.1554,19659010025.1808,19806783446.8673,21182538670.9554,24075446854.3687,23624959629.5,8553357436.03
"DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,31201876.44,40421520.2,36765139.79,62508044.2,21487661.93
"Energy",20644540518.5573,23062293214.7783,24005626064.7182,30515135175.8192,21837913423.5738,23236898197.5493,22962538794.3944,23425108960.0876,24201611952.4995,31654900647.184,25749288231.073,25119393320.8162,25185001942.9177,23984265179.0326,25504432698.5724,25173559468.1983,28288817701.86,28966076922.1722,31963101776.7216,33311568834.7245,35978793851.4812,38559988449.3551,42912367084.8477,46274163475.9035,47671190122.44,22618291663.25
"GSA",10797134038.06,12724914936.187,19252086241.7124,19292897584.8827,16549786422.2536,14961244193.2576,14047534675.2285,13166399557.2769,13384382566.1678,15651377950.683,18813100288.9566,14591934695.6506,10230815675.4684,8919033914.4749,9112283175.4828,9610804038.1216,10493335348.1788,11976280172.3095,13843434094.6758,16096085620.0204,17612746799.0439,18209945443.8044,21187262948.1329,24435763194.9701,26966672001.5,10473395419.9
"HHS",4352015166.1089,5375374130.6995,7072661816.757,7837446323.366,8561230154.3831,10242250167.9823,12751839162.1645,14362853670.7528,14161899367.3618,19828047270.5281,19117800190.5878,19727670162.3731,19281016855.6504,20313888790.8691,22041912291.6554,22153154898.52,24121082656.2278,24922775545.792,24664398765.5593,26499138014.2337,40703080727.7021,38826978764.0388,38888049608.498,38500916593.6656,36757199192.48,9424559530.88
"NASA",5047166582.9881,6297845670.6381,5742609779.6008,6569758052.5163,10900050991.9502,12600788614.3208,12975895743.7153,13231275071.9063,15035711833.6198,15336593359.7497,16143473357.079,15392755769.1272,15153559242.5293,14218973701.9149,15012918588.0461,15874451274.1586,17271098002.5141,17380149688.617,18041255926.5984,17730007695.4408,18939055579.6215,19171687056.8305,19923533129.4703,20946111629.1793,20033400733.36,8452548586.99
"NATIONAL ENDOWMENT FOR THE HUMANITIES",,,,,,,,,,,,,,,,,,,,2329254.9135,2263806.9092,2309034.1525,3605567.2286,657244.3538,1734163.11,793472.17
"NUCLEAR WASTE TECHNICAL REVIEW BOARD",,,,,,,,,,,,,,,,,,,,,,29835.0801,,,,
"Other Agencies",26624106827.3764,24270821571.7018,27771195501.7067,26908100505.7261,30513384126.3585,34368206101.29,37487876667.2208,42011823393.2348,43798047918.2,48988442119.5442,74845730965.3401,51975337810.6342,50085745098.1349,45706030575.6271,46311334374.9242,46259813688.9138,47445422783.6486,46963216454.381,47712515896.3003,50890026625.9961,61085299744.8497,60861790015.1383,61620892279.9756,68976160992.5467,68855423693.6,20250192122.62
"State and IAP",1842505979.6712,2717798566.4767,4777738604.9935,5915027394.9816,5729293969.0916,8361836234.3419,8681395239.4624,10329501311.4873,10804479640.0287,13098864337.8587,14268525335.8118,13113826327.167,13798552305.8972,11976609933.433,13248936862.2063,13342395026.8455,13662315027.5836,16362636342.8788,15404192180.2015,15449508721.4292,15675474183.0276,15619401273.6252,18213357503.3518,18931328154.8494,19586424144.22,6109722100.2
"THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES",,,,,,,,914848.74,1295726.0031,1641550.2799,1613945.6,1459398.28,1762003.66,2225690.54,2462325.23,3475838.7702,3710168.9,2738358.64,2514967.543,4083830.4128,5525657.2948,5992439.1978,9241108.2054,12719460.5929,9514999.07,498081.36
"UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO",,,,,,,,,,,,,,,,,,,,,30871874.9164,41299988.2892,50583896.7605,78453278.7467,103623017.2,15616354.61
"VA",3896892906.4126,4354565634.3731,4730362731.3832,6850650042.384,7639032679.5269,9167876912.9713,10612476182.6578,12697310442.4353,14919739434.2,14813175322.6176,16239368370.7548,17489392509.5028,17258149660.3307,18389401507.2861,19048897532.4373,20154866460.4557,22632070131.03,26361058814.2771,27133330090.9291,28818264606.7591,39536015205.4168,47682090819.8119,56373321887.3948,61691888583.0481,66890723420.4344,30455524537.99
"VIETNAM EDUCATION FOUNDATION",,,,,,,,,,,,,,,,,,,80062,,,,,,,
,0,,0,5323.65,0,,,,,,,,,,,,,,,,,,,,,
