"AnyCommercialText","ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Not Classified
as Commercial","Defense",116001138682.354,123663386670.484,136762349988.971,168717682002.693,175441917003.748,225631251206.604,245308430893.345,256891179448.462,292556325948.958,304435692028.319,292617980204.575,299130193683.182,287461462473.61,251336236608.725,230150863664.192,223753552258.868,250120697079.063,268564384371.552,296425781787.972,317457119718.572,349569325172.556,286020145098.603,304934890731.336,368906299718.302,354532199559.25,161364679688.9
"Not Classified
as Commercial","DHS",196563197.5894,288610344.7399,869103662.9496,3247243517.9176,7346925064.0708,11805290239.4383,15615723924.8232,11559596418.0866,12813726157.0106,12184539225.5435,10203932678.4963,10323433079.7753,8615414792.3575,8086238793.7378,7417160701.6225,7329930675.3651,6780691986.9402,7725919871.6372,9201355841.7599,8697349979.9728,8612586361.984,7890522752.3608,8550828008.0723,9714252336.9713,8476782972.64,2758086539.73
"Not Classified
as Commercial","DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,18940802.15,15641647.38,12240488.93,35670197.33,14606297.47
"Not Classified
as Commercial","Energy",20175289419.8327,22520196284.6457,23424378886.9061,29980505060.3777,21298357777.0404,22650290168.6236,22281843488.8996,23052037411.2284,23573615603.7352,30811253828.4628,25454432671.4473,24770257033.4501,24826415834.8519,23608575916.03,25066746797.0741,24381645954.3004,27646960913.67,28261509721.4843,31183205259.5014,32203893014.7335,34708395111.2521,37171654631.379,41180785232.9793,44166159627.4249,45381674598,21757655482.05
"Not Classified
as Commercial","GSA",6919144516.5077,8164796895.0966,12193919386.6523,12238175783.4952,14457069620.7022,13360998200.7301,12704617516.6503,12239862300.7061,11969620962.175,11946004701.7583,14050365624.5507,9654779282.6118,5366177645.2359,4966190671.3108,4932917651.4029,5826433949.085,6340312171.7807,7280197602.8094,8932574391.6144,10656491062.5627,11391922864.0898,11614921006.6159,13655222107.2056,16421056152.6368,18587468028.5,7285069102.75
"Not Classified
as Commercial","HHS",4125788031.739,4909065011.4315,6121961225.4724,6912633041.0283,8105685732.1552,9529894833.8358,10409933389.9544,10653999897.4453,12180179996.3597,17150493304.2442,13637591980.0829,13737751572.4721,12386488052.4774,13247273069.2382,14829194599.9997,14122297973.3398,14811257555.1188,14557746362.9769,14050934764.5589,15254127924.1129,22327261946.4071,19445887627.2027,19075305055.3157,18480795233.6675,18006417891.23,3516963874.26
"Not Classified
as Commercial","NASA",4622145263.0322,5559260571.9212,5113338603.6043,5961289204.3134,10237096847.3884,11947646711.2057,12310936670.9375,12598458190.3126,14251955357.7978,14479191059.3285,15165881591.5491,14445447446.2974,14216544857.432,13186870660.6913,13880724239.3725,14726505476.7037,15879119243.9318,15893231120.7743,15949650792.3046,15436359772.2745,15757066997.9833,16380550183.6498,17114848224.6962,17872806698.5126,17128462182.3,7261282091.55
"Not Classified
as Commercial","NATIONAL ENDOWMENT FOR THE HUMANITIES",,,,,,,,,,,,,,,,,,,,785681.4898,170290.73,18567.16,,,268420,
"Not Classified
as Commercial","NUCLEAR WASTE TECHNICAL REVIEW BOARD",,,,,,,,,,,,,,,,,,,,,,29835.0801,,,,
"Not Classified
as Commercial","Other Agencies",21589247696.1244,18734735061.5133,21019911080.0734,20595373443.2559,26834380701.5322,29158520441.1951,30540148294.6033,33469410363.5778,32495731211.0171,33283389213.7065,34742159087.1524,30532090825.7361,28654000290.929,27336877922.5848,26090914609.2176,25708534976.8549,26161849000.9815,25208450298.0989,23332047332.286,25770360376.5781,24155373658.4021,25054449869.623,25620939839.8036,28343788788.7525,27348895896.56,9478017843.59
"Not Classified
as Commercial","State and IAP",1626405472.7656,2387028570.2199,4244599582.0274,5461007555.1169,5506535238.5163,7715160875.1856,8070332374.6446,9792020223.0765,9994535906.489,11541943879.6831,11616756565.1126,10173654322.7613,11174040670.9648,9799794882.7974,10284485859.1243,10357651666.6204,10606294448.7785,12211060224.1925,11863216880.2117,11825200984.6233,11862097461.2542,11399945225.8941,13029908455.3264,14103309689.039,13652540926.79,4470172374.57
"Not Classified
as Commercial","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES",,,,,,,,144483.33,1219205.4431,1094461.2799,826441.69,542514.17,769124.01,1239632.27,760334.95,1236637.51,1370694.3,781109.3,475423.4194,328151.11,70000,181491.16,3205100.26,2983467.8,1706376.32,136383.07
"Not Classified
as Commercial","UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO",,,,,,,,,,,,,,,,,,,,,7534043.3063,7925717.8589,14776366.96,11871288.7182,5536031.54,6082388.71
"Not Classified
as Commercial","VA",1669728784.2821,1682473591.9465,1576579995.4616,1720568778.1667,7265522886.8858,8773505591.7205,10097821865.9338,11501812685.6269,12538948752.058,9850770667.0437,8565571049.0849,9046156239.07,7811268902.4834,4856303690.8254,4599186727.3713,4763593155.5974,5513974364.8897,8536818578.0397,5580579789.9142,5415970018.527,5226498196.197,7236239770.7565,6901756973.5219,7543850156.6103,7381407078.4,2119412227.29
"Not Classified
as Commercial",,0,,0,5323.65,0,,,,,,,,,,,,,,,,,,,,,
"Non-development
or Commercial Similar","Defense",26260158,-322238,230943578,809179394.4297,1111423970.54,954299947.445,516931352.1708,724735757.2672,862716587.7597,665214868.7579,388168271.1823,1065671635.2977,721532200.9786,668408124.9484,277989368.3526,118552614.4652,105110593.2819,43196987.8387,151956299.7245,127383592.0792,31584471.7862,90002167.5997,44917071.723,30758910.1239,11744861.66,8139949.96
"Non-development
or Commercial Similar","DHS",,,,0,,23374467.6251,7309372.6094,577798.8643,1929314.4,23433554.005,30266370.2192,29144895.044,26129262.3937,29181621.69,32714322.17,30144134.9602,14290534.98,9838326.96,9929095.5361,6352707.3036,4585031.7953,19806970.7234,20130977.2887,7048670.8831,3864710.76,43661.78
"Non-development
or Commercial Similar","DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,6245017.9,16655469.46,10646011.98,2530819.32,122063
