"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",20799929809.0744,23066281708.1984,26062764956.2649,34446873950.0982,35703133221.642,39560168282.3154,45549368633.2868,46197030187.8622,57289811092.2691,66364166614.8171,61236025341.2038,54581198029.5999,49007984660.0025,39519355046.8524,42197614655.496,38095138884.6933,38545539074.0472,38480200157.5382,46957866409.7389,52078003058.9155,60200005421.9628,51314515561.2864,57369116642.3392,65031893630.2126,66268335328.8982,22049233310.52
"DHS",62231000,101981474.94,120983985.54,701763291.5462,988159207.5696,3985621172.6721,5987767642.0518,2996774676.7695,3007465489.8897,3358761434.9065,2877249855.6619,3401754790.1327,3136234714.1535,3095241815.8085,3162864621.0767,3710999686.9659,3430999509.7694,3990582902.1967,4894021852.1313,4635340818.2562,4958289964.4446,5319772845.9525,6731452041.7711,8549073051.0862,7247457010.69,3120732135.97
"DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,14434755.51,25517042.99,14332574.03,28574884.68,8954417.85
"Energy",18471486138.2881,20369555205.9631,21103455537.3067,27010995595.2482,19011253767.0607,20839776691.962,20105527675.4865,20388969339.3456,18995641228.452,26680595235.9252,21371038211.1933,20751672358.6525,20734686394.1824,19980446745.9172,21614061910.3146,21240688631.5099,24550278585.19,24976502675.9506,27878400807.223,28829548660.9021,31171414679.0089,32675294589.3961,35873481587.8043,38475623513.3529,38961563364.54,18656066631.18
"GSA",4756934424.894,5260396695.9929,9715794134.6534,8251909396.137,7499813581.8821,7182917674.2039,7834624568.5839,7839532282.128,7602842107.9578,9014405936.7363,12042698501.7083,6827193821.7834,3359055393.5293,2902283865.8039,2851466950.0807,3364719734.8128,3220770317.4295,3766972935.8094,3668048730.8804,3998379592.4863,3893196915.5781,4109157841.7381,4194044588.9625,4609882218.0715,5559451251.71,1838629680.91
"HHS",853183225.9868,829752055.5409,1405799493.4917,1066017151.2579,1363768582.0082,1535435378.7983,2707667895.5628,2473590625.8284,1572890535.3988,1508547691.3294,2545287332.2536,1705778581.9188,2150044477.9055,1797148939.7137,1739625222.7099,1897647312.3078,1999499885.5627,2385215682.4056,2115743803.5232,2492953298.79,3256487051.1971,2703198681.3652,3021720340.4382,3163060369.432,2635237781.64,385363253.83
"NASA",901914208.4023,941900665.45,1023204873.0105,2302032228.2211,1087640786.0027,1208217023.8771,1264784860.052,1649569441.879,1670476803.4894,1527044565.8634,1493267099.0946,1265946940.9424,1410763530.6953,1385001557.6018,1441991897.6956,1370387444.0547,1285164801.9933,1368924016.8144,1421210580.8381,1550466459.5803,1409130259.6618,1392839775.2327,1487765878.2502,1438046283.4578,1302166337.02,446741387.18
"NATIONAL ENDOWMENT FOR THE HUMANITIES",,,,,,,,,,,,,,,,,,,,98175.7301,3883.83,93611.8799,57538.1496,,56568.16,182130
"Other Agencies",6518768620.2908,6581998298.0477,8111804563.2022,7200949444.2202,7201632689.5225,7952435760.8145,7895189906.9005,8744415796.7303,8698601395.1292,9935688463.4816,12441901803.0528,9952094030.7005,10167986446.9167,9202331837.1052,9560219737.3675,9082818024.6128,9416966684.6585,10378617204.2657,10556849823.5256,10996821930.1189,11153150698.3236,11693640564.3707,13597608031.9016,16314667413.1526,16070472573.73,4745531774.49
"State and IAP",640955870.9526,750357178.4891,1291952094.5194,1802332495.363,2007264757.8315,2674118315.398,2161784171.6484,2952245714.9798,2163364267.7063,3454153497.0413,3961906614.1284,3747980805.2994,4173606424.054,3160795492.1813,4484074067.3428,3294724048.9678,3603453279.6291,5500872765.044,3920011195.0582,3474361232.0679,2834875514.4331,3117364897.6124,5066437060.974,3865997996.8927,3271652501.14,929487260.58
"THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES",,,,,,,,67718.09,33430.22,82070.4398,177856.32,401053.97,237410,243863.98,228349.51,896963.5169,358336.41,344671.37,266329.35,369011.4902,98635.5488,233422.68,101749.541,735446.2533,1178515.42,0
"UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO",,,,,,,,,,,,,,,,,,,,,385951.22,2195867.2639,1401624.8175,645724.1984,667489.18,242317.52
"VA",949422226.498,826836466.6615,1039673557.6141,1358071065.071,1388797211.0512,1815648277.4651,2087999585.4771,3169198620.8358,4728368604.0308,4157327220.267,4712463942.4533,4349377138.5885,4114644080.5835,4166623703.6863,3695615993.8616,3425426468.9271,3831540468.2349,3433108663.6204,3992516962.7529,4640966952.6364,4442179550.0249,4984823539.3156,5689874793.3607,6349585579.3205,5724067303.83,2235661744.92
"VIETNAM EDUCATION FOUNDATION",,,,,,,,,,,,,,,,,,,65000,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,
