"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",29503352.0086,9825233.9423,84074351.1747,75741000.1801,7078195.786,3802636.12,110264977.8082,18047584.62,368043.2172,986168.1493,-253919.658,-140825.1013,-6477.8001,-99723.1206,449040,30000,3581529.4309,31755,-212795.37,465885,10000,386316,980919.7602,2471452.5331,2563052.94,2844018.11
"DHS",1039398.4494,5089676.5699,197578217.66,166625779.469,10462496.0448,111318713.5959,81826417.9301,57460158.51,54066201.405,27936212.61,15669820.6349,1184460.9739,-140737.3527,-56068.87,-5050.97,-2472.44,-8609334.23,-269339.8699,0,-22889.17,0,0,80034,228547.46,-50,0
"Energy",-35000,232000,5111254,1574988,2693616.585,-288372.12,3884606.5399,2311820.1695,1818348.18,243139.03,141569.0691,8221.7899,-4587.1201,,,-183934.78,0,,,,,,,,,
"GSA",11395675.4789,100407770.7061,12038389.0912,42541938.4625,49482536.184,10245938.124,9965628.6925,3913626.8184,3380813.3,8150815.1891,644290.7801,71099.6668,-291335.5171,-6330,,,-1799284.7,,0,,0,0,0,,,
"HHS",36650883.0543,226179567.0282,257681371.2062,263871300.4063,114774102.8974,122090467.7444,83852961.1699,67994802.903,18211255.9162,7054289.29,3552195.9663,1112651.4675,-2313647.96,-5644971.18,-18344.67,-1353626.25,-2670091.17,-101389.6491,-195.4,-405315.74,,,2974042.1866,3036324.5,4919098.56,4319844.75
"NASA",768855.2447,1590457.0839,9551747.32,9179902.7024,46076382.9296,36841123.2098,27133917.5804,2525492.9002,284823.62,-3180.87,-33681.1799,9393.84,38219.7298,0,0,0,,,,,,,,38439.8,158150.62,
"Other Agencies",65063092.5299,22069249.6665,58294626.0866,53924169.0143,110404394.3191,113202883.5788,139221111.6123,89200313.8352,53670602.09,38693368.8437,10119595.8981,501948.6802,-475190.0783,-1405245.65,-338106.04,786414.7544,14353942.2024,571310.8273,-31524.75,-569,3033.91,-70148.45,845901.3903,1258537.05,1933544.44,870154.61
"State and IAP",6623149.1794,39737703.7791,41001198.9484,55450445.2922,5224795.32,36415294.2102,68584613.8901,68507644.5228,72097127.3593,15354584.16,984134.4314,-371063.7513,-385965.0246,-127290.95,-263912.47,-47436,-40831.41,,,,,,0,208650,15500,
"VA",0,2494176,489705.0504,5429545.9558,19660,3251391.86,2021955.6,1958204.76,4186796.32,9564483.46,2687980.7802,9277.3804,8129.04,,,,-43814.41,,,,,,1351485.0186,7349675.1823,4994386.71,3734594.74
,0,,,5323.65,0,,,,,,,,,,,,,,,,,,,,,
