"PlatformPortfolio","max_fq","2022","2023","2024","2025"
"Aircraft","1",17645797952.9374,28106085830.9065,19479476434.91,27373788026.24
"Electronics, Comms, & Sensors","1",14795180019.8478,16202091798.9902,16918477005.5825,18352446702.74
"Facilities and Construction","1",26845503162.6264,22809376013.7464,27063597063.1482,24510761950.78
"Land Vehicles","1",2101927570.6423,3209338608.9063,3912160790.3333,3191274799.62
"Missile Defense","1",2752511560.4528,2427117922.9851,2486717355.29,3135388587.29
"Ordnance and Missiles","1",3846012761.5883,6201542564.6971,5389099854.05,5486017860.48
"Other Products","1",22200033946.7293,14663134696.6378,14113353336.3618,12915394274.38
"Other R&D and Knowledge Based","1",20205521133.1424,21049203839.5404,26611511005.6291,26074817884.93
"Other Services","1",13662282107.0304,15429856358.9177,18793070378.8812,20933336660.56
"Ships & Submarines","1",8454845605.0176,7053097473.0136,8986782728.2909,12740526871.7
"Space Systems","1",3355746560.2138,3468750414.5281,3844268814.61,3383721959.75
"Unlabeled","1",183880,5620896.3444,1946088.91,5738070.68
