"","productorservicecode","ProductOrServiceCodeText","BioRelated","Action_Obligation_OMB20_GDP20"
"1","1005","GUNS, THROUGH 30 MM",NA,17906725.5437075
"2","1010","GUNS, OVER 30 MM UP TO 75 MM",NA,79363.7380390208
"3","1030","GUNS OVER 200 MM THROUGH 300 MM",NA,579582.385027603
"4","1040","CHEMICAL WEAPONS AND EQUIPMENT",NA,746531.063311517
"5","1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE",NA,185170.119679271
"6","1055","LAUNCHERS, ROCKET AND PYROTECHNIC",NA,4573489.6292705
"7","1070","NETS AND BOOMS, ORDNANCE",NA,2450056.04857667
"8","1075","DEGAUSSING & MINE SWEEPING EQUIPMEN",NA,9735279.76728828
"9","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT",NA,255403.238539798
"10","1095","MISCELLANEOUS WEAPONS",NA,355912528.011432
"11","1115","NUCLEAR WARHEADS & WARHEAD SECTIONS",NA,-1191253.99694147
"12","1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ",NA,13778083.2511049
"13","1195","MISCELLANEOUS NUCLEAR ORDNANCE",NA,828335.863013914
"14","1220","FIRE CONT COMPUTING SIGHTS & DEVICE",NA,4001276.86228888
"15","1230","FIRE CONTROL SYSTEMS, COMPLETE",NA,1587938.2101366
"16","1240","OPTICAL SIGHTING & RANGING EQUIPMEN",NA,76121288.3863429
"17","1250","FIRE CONTROL STABILIZING MECHANISMS",NA,326339.658670486
"18","1260","FIRE CONT DESIGNATING-INDICATING EQ",NA,199137369.18606
"19","1265","FIRE CONT EQ EXCEPT AIRBORNE",NA,16792.9727867723
"20","1270","AIRCRAFT GUNNERY FIRE CONT COMPS",NA,39595540.5213363
"21","1280","AIRCRAFT BOMBING FIRE CONT COMPS",NA,83873.5177865613
"22","1290","MISC FIRE CONT EQUIPMENT",NA,1744094.70374808
"23","1305","AMMUNITION, THROUGH 30 MM",NA,-29242514.4706115
"24","1310","AMMUNITION, OVER 30 MM UP TO 75 MM",NA,4735663.12732205
"25","1315","AMMUNITION, 75 MM THROUGH 125 MM.",NA,4928533.9705243
"26","1320","AMMUNITION, OVER 125 MM",NA,831736469.527616
"27","1325","BOMBS",NA,354861766.131903
"28","1330","GRENADES",NA,7232288.89492262
"29","1336","GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS",NA,164424294.226958
"30","1337","GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",NA,3170672838.24157
"31","1338","GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",NA,254235322.544181
"32","1340","ROCKETS & ROCKET AMMUNITION",NA,2021430.20802379
"33","1345","LAND MINES",NA,1350179.77851287
"34","1355","TORPEDO INERT COMPONENTS",NA,47570.9241446487
"35","1356","TORPEDO EXPLOSIVE COMPONENTS",NA,69790.4869762174
"36","1365","MILITARY CHEMICAL AGENTS",NA,59428.0607685433
"37","1367","TACTICAL SETS, KITS, AND OUTFITS",NA,1085314.41312852
"38","1370","PYROTECHNICS",NA,2060720.5024822
"39","1375","DEMOLITION MATERIALS",NA,541302.135768957
"40","1376","BULK EXPLOSIVES",NA,0
"41","1377","CARTRIDGE & PROPELLANT DEVICES",NA,671916.529177733
"42","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL",NA,293020165.311545
"43","1386","UNDERWATER EXPLOSIVE ORD DISPOSAL",NA,6861.66007905138
"44","1390","FUZES AND PRIMERS",NA,3574.62019660411
"45","1395","MISCELLANEOUS AMMUNITION",NA,185129974.030358
