"principalnaicscode","StartCY","def6_HHI_lag1","def6_obl_lag1","def6_ratio_lag1","US6_avg_sal_lag1","annual_action_obligation","annual_count","naics_action_obligation","naics_count","naics_dollar_rank","naics_count_rank","principalnaicscodeText","principalNAICS2DigitCode","principalNAICS3DigitCode","principalNAICS4DigitCode","NAICS_shorthand","CY"
"54171",2008,475.495231877834,20629339427.3887,0.230719393436948,90565.694572245,23178964785.615,9471,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2007
"54171",2009,435.123532023848,25952451315.7683,0.230719393436948,90565.694572245,19129075932.4426,9372,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2008
"54171",2010,283.246520845141,23478351478.258,0.230719393436948,90565.694572245,16336900233.9843,8863,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2009
"54171",2011,331.468201156419,27282370979.9239,0.230719393436948,90565.694572245,13624199269.4037,7542,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2010
"54171",2012,264.167188186235,25806950304.2989,0.230719393436948,90565.694572245,9569344380.111,6678,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2011
"54171",2013,259.98512514726,26244029788.666,0.237029740277296,103987.791449063,7795542587.8277,5973,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2012
"54171",2014,210.618662567761,19063022756.0123,0.237029740277296,103987.791449063,5414506057.9401,5067,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2013
"54171",2015,227.51645264357,20732003269.5637,0.237029740277296,103987.791449063,2419624095.8524,3486,97468157343.1768,56452,2,29,"Research and Development in the Physical, Engineering, and Life Sciences",54,541,5417,"54171* R&D in
the Phys.,
Eng., & Life
Sciences",2014
"111110",2008,NA,NA,NA,NA,45265,3,339376.44,14,1092,1072,"Soybean Farming",11,111,1111,"NA",2007
"111110",2009,NA,NA,NA,NA,70080,2,339376.44,14,1092,1072,"Soybean Farming",11,111,1111,"NA",2008
"111110",2010,NA,NA,NA,NA,79015,3,339376.44,14,1092,1072,"Soybean Farming",11,111,1111,"NA",2009
"111110",2011,NA,NA,NA,NA,136482,4,339376.44,14,1092,1072,"Soybean Farming",11,111,1111,"NA",2010
"111110",2014,NA,NA,NA,NA,8533,1,339376.44,14,1092,1072,"Soybean Farming",11,111,1111,"NA",2013
"111110",2015,NA,NA,NA,NA,1.44,1,339376.44,14,1092,1072,"Soybean Farming",11,111,1111,"NA",2014
"111120",2008,NA,NA,NA,NA,4979,1,33796.07,5,1217,1160.5,"Oilseed (Except Soybean) Farming",11,111,1111,"NA",2007
"111120",2012,NA,NA,NA,NA,18914.32,1,33796.07,5,1217,1160.5,"Oilseed (Except Soybean) Farming",11,111,1111,"NA",2011
"111120",2014,NA,NA,NA,NA,4992,1,33796.07,5,1217,1160.5,"Oilseed (Except Soybean) Farming",11,111,1111,"NA",2013
"111120",2015,NA,NA,NA,NA,4910.75,2,33796.07,5,1217,1160.5,"Oilseed (Except Soybean) Farming",11,111,1111,"NA",2014
"111130",2011,NA,NA,NA,NA,1420.75,1,35200.75,4,1214,1179,"Dry Pea and Bean Farming",11,111,1111,"NA",2010
"111130",2013,NA,NA,NA,NA,6816,1,35200.75,4,1214,1179,"Dry Pea and Bean Farming",11,111,1111,"NA",2012
"111130",2015,NA,NA,NA,NA,26964,2,35200.75,4,1214,1179,"Dry Pea and Bean Farming",11,111,1111,"NA",2014
"111140",2008,NA,NA,NA,NA,1260000,1,5064062.21,8,851,1122,"Wheat Farming",11,111,1111,"NA",2007
"111140",2009,NA,NA,NA,NA,3799440,4,5064062.21,8,851,1122,"Wheat Farming",11,111,1111,"NA",2008
"111140",2013,NA,NA,NA,NA,4391,1,5064062.21,8,851,1122,"Wheat Farming",11,111,1111,"NA",2012
"111140",2015,NA,NA,NA,NA,231.21,2,5064062.21,8,851,1122,"Wheat Farming",11,111,1111,"NA",2014
"111150",2008,NA,NA,NA,NA,11956.43,2,43644.79,7,1203,1134.5,"Corn Farming",11,111,1111,"NA",2007
"111150",2009,NA,NA,NA,NA,23097,2,43644.79,7,1203,1134.5,"Corn Farming",11,111,1111,"NA",2008
"111150",2013,NA,NA,NA,NA,8064.36,2,43644.79,7,1203,1134.5,"Corn Farming",11,111,1111,"NA",2012
"111150",2015,NA,NA,NA,NA,527,1,43644.79,7,1203,1134.5,"Corn Farming",11,111,1111,"NA",2014
"111160",2008,NA,NA,NA,NA,36213.35,4,154086.7001,6,1141,1145,"Rice Farming",11,111,1111,"NA",2007
"111160",2013,NA,NA,NA,NA,115500,1,154086.7001,6,1141,1145,"Rice Farming",11,111,1111,"NA",2012
"111160",2015,NA,NA,NA,NA,2373.3501,1,154086.7001,6,1141,1145,"Rice Farming",11,111,1111,"NA",2014
"111191",2010,NA,NA,NA,NA,32142.0508,1,36404.0508,2,1211,1218.5,"Oilseed and Grain Combination Farming",11,111,1111,"NA",2009
"111191",2015,NA,NA,NA,NA,4262,1,36404.0508,2,1211,1218.5,"Oilseed and Grain Combination Farming",11,111,1111,"NA",2014
"111199",2014,NA,NA,NA,NA,10713.66,2,10713.66,2,1246,1218.5,"All Other Grain Farming",11,111,1111,"NA",2013
"111211",2012,NA,NA,NA,NA,68366,1,68366,1,1180,1252,"Potato Farming",11,111,1112,"NA",2011
"111219",2009,NA,NA,NA,NA,5375.25,1,5375.25,1,1258,1252,"Other Vegetable (Except Potato) and Melon Farming",11,111,1112,"NA",2008
"111310",2010,NA,NA,NA,NA,5366.25,1,5366.25,1,1259,1252,"Orange Groves",11,111,1113,"NA",2009
"111320",2015,NA,NA,NA,NA,2182.01,1,2182.01,1,1265,1252,"Citrus (Except Orange) Groves",11,111,1113,"NA",2014
