"NAICS_Code","naics_text","mismatch","exclude","obl","rcp","pay","EMP","minyear","maxyear","NAICS.display.label"
"11","Agriculture, Forestry, Fishing and Hunting","Not tracked: Agriculture","Not in stats",241706178.0964,NA,NA,NA,2007,2016,NA
"21","Mining, Quarrying, and Oil and Gas Extraction",NA,"No",2590082187.1888,4713822745000,500747110000,7893110,2007,2016,"Mining, quarrying, and oil and gas extraction"
"22","Utilities",NA,"No",13102628808.1385,5580416765000,552882845000,6442405,2007,2016,"Utilities"
"23","Construction",NA,"No",265622971048.484,15491344600000,3017744780000,64929315,2007,2016,"Construction"
"31-33","Manufacturing",NA,"No",1517400953881.63,55080929720000,6035827860000,123049175,2007,2016,"Manufacturing"
"42","Wholesale Trade",NA,"No",110671947671.002,72078435725000,3491641180000,60546510,2007,2016,"Wholesale trade"
"44-45","Retail Trade",NA,"No",13314291107.3766,40687426635000,3659100185000,151094625,2007,2016,"Retail trade"
"48-49","Transportation and Warehousing",NA,"No",234974560719.648,27409154200000,7140479860000,175196940,2007,2016,"Transportation and warehousing(105)"
"51","Information",NA,"No",68000984697.5339,11554030535000,2489531055000,34089995,2007,2016,"Information"
"52","Finance and Insurance",NA,"No",211588662324.661,146108340960000,2.0519399e+13,252967820,2007,2016,"Finance and insurance"
"53","Real Estate and Rental and Leasing",NA,"No",5657491934.8571,4863569230000,850454100000,20561245,2007,2016,"Real estate and rental and leasing"
"54","Professional, Scientific, and Technical Services",NA,"No",797446909187.808,13656402825000,5417402290000,80370745,2007,2016,"Professional, scientific, and technical services"
"55","Management of Companies and Enterprises",NA,"No",351004.3792,753242094000,1865082682000,19485599,2007,2014,"Management of companies and enterprises"
"56","Administrative and Support and Waste Management and Remediation Services",NA,"No",178654711707.41,6519038135000,3152315620000,100126085,2007,2016,"Administrative and support and waste management and remediation services"
"61","Educational Services",NA,"No",40432487289.2226,1966819220000,630849440000,23645700,2007,2016,"Educational services"
"62","Health Care and Social Assistance",NA,"No",25811854217.7044,18543590055000,7319797300000,176034155,2007,2016,"Health care and social assistance"
"71","Arts, Entertainment, and Recreation",NA,"No",410091937.3188,1953051205000,612053585000,20715080,2007,2016,"Arts, entertainment, and recreation"
"72","Accommodation and Food Services",NA,"No",10801375308.7283,6609671650000,1834650940000,118042200,2007,2016,"Accommodation and food services"
"81","Other Services (except Public Administration)",NA,"No",48876484655.238,16639554460000,4146180100000,138194440,2007,2016,"Other services (except public administration)"
"92","Public Administration","Not tracked: Public Administration","No",13800739627.2475,NA,NA,NA,2007,2016,NA
"99","Industries not classified","Not tracked: Industries not classified","Not in stats",14236.8701,NA,NA,NA,2008,2008,NA
NA,NA,NA,"Not in stats",13039212289.3119,NA,NA,NA,2007,2016,NA
