"NAICS_Code","naics_text","mismatch","exclude","obl","minyear","maxyear"
"111","Crop Production","Not tracked: Agriculture","Not in stats",24241311.1535,2007,2016
"112","Animal Production and Aquaculture","Not tracked: Agriculture","Not in stats",49653686.0185,2007,2016
"113","Forestry and Logging","Not tracked: Agriculture","Not in stats",17062803.1138,2007,2016
"114","Fishing, Hunting and Trapping","Not tracked: Agriculture","Not in stats",11680634.4228,2007,2016
"115","Support Activities for Agriculture and Forestry","Not tracked: Agriculture","Not in stats",139067743.3878,2007,2016
"233","Building, Developing, and General Contracting","Reassigned in 2002","Not in sample",961839123.8395,2007,2016
"234",NA,"Reassigned in 2002","Not in sample",224904985.2271,2007,2016
"235",NA,"Reassigned in 2002","Not in sample",137810197.3939,2007,2016
"421",NA,"Reassigned in 2002","Not in sample",60341339.861,2007,2016
"422",NA,"Reassigned in 2002","Not in sample",45357581.2749,2007,2016
"482","Rail Transportation","Not tracked: Railroads","Not in stats",4691693.5353,2007,2016
"491","Postal Service","Not tracked: Postal Service","Not in stats",328157285.1741,2007,2016
"513",NA,"Reassigned in 2002","Not in sample",2026842029.5128,2007,2016
"514","Information Services and Data Processing Services","Reassigned in 2002","Not in sample",786478334.2582,2007,2016
"516",NA,"Reassigned in 2007","Not in sample",11634868.9268,2007,2016
"525","Funds, Trusts, and Other Financial Vehicles","Not tracked: Pension and Other Funds","Not in stats",13130170.792,2007,2016
"814","Private Households","Not tracked: Private Households","Not in stats",518560.7574,2007,2016
"921","Executive, Legislative, and Other General Government Support","Not tracked: Public Administration","No",5165038678.3697,2007,2016
"922","Justice, Public Order, and Safety Activities","Not tracked: Public Administration","No",242628504.0619,2007,2016
"923","Administration Of Human Resource Programs","Not tracked: Public Administration","No",209621842.779,2007,2016
"924","Administration Of Environmental Quality Programs","Not tracked: Public Administration","No",1007031831.2183,2007,2016
"925","Administration Of Housing Programs, Urban Planning, and Community Development","Not tracked: Public Administration","No",42937365.9812,2007,2016
"926","Administration Of Economic Programs","Not tracked: Public Administration","No",1192227205.804,2007,2016
"927","Space Research and Technology","Not tracked: Public Administration","No",4340397872.416,2007,2016
"928","National Security and International Affairs","Not tracked: Public Administration","No",1540035483.1047,2007,2016
"999","Unclassified Establishments","Not tracked: Industries not classified","Not in stats",14236.8701,2008,2008
