"","NAICS_Code","Action.Obligation","Obligation.2016","minyear","maxyear","Note"
"1","11111",117248,134551.296763828,2007,2007,"Not tracked: Agriculture"
"2","11112",9391,10776.9107183842,2007,2007,"Not tracked: Agriculture"
"3","11113",3436,3943.08010098692,2007,2007,"Not tracked: Agriculture"
"4","11116",0,0,2007,2007,"Not tracked: Agriculture"
"5","11119",2495,2863.20862979114,2007,2007,"Not tracked: Agriculture"
"6","11121",8175.1802,9381.03819245087,2007,2012,"Not tracked: Agriculture"
"7","11133",9234,9676.73781270798,2007,2012,"Not tracked: Agriculture"
"8","11142",295281.0492,346064.693388218,2007,2012,"Not tracked: Agriculture"
"9","11192",1069,1226.76153316502,2007,2007,"Not tracked: Agriculture"
"10","11194",83593.3096,88420.3497633727,2007,2012,"Not tracked: Agriculture"
"11","11199",272181.2799,310510.556156907,2007,2012,"Not tracked: Agriculture"
"12","11211",22303.2195,23276.1631183469,2012,2012,"Not tracked: Agriculture"
"13","11212",262143.8403,300830.66364471,2007,2007,"Not tracked: Agriculture"
"14","11221",244231,277580.273614741,2007,2012,"Not tracked: Agriculture"
"15","11239",11100,11584.2204132749,2007,2012,"Not tracked: Agriculture"
"16","11241",16560,19003.9017672711,2007,2007,"Not tracked: Agriculture"
"17","11242",1319801,1444731.98590215,2007,2012,"Not tracked: Agriculture"
"18","11251",1780453.5388,1968383.94357439,2007,2012,"Not tracked: Agriculture"
"19","11291",14879,17074.8221253156,2007,2007,"Not tracked: Agriculture"
"20","11292",38013.8401,40126.1074913721,2007,2012,"Not tracked: Agriculture"
"21","11293",6488,7213.35816951176,2007,2012,"Not tracked: Agriculture"
"22","11299",4796413.7381,5131268.05805164,2007,2012,"Not tracked: Agriculture"
"23","11311",347629.1553,372833.722408735,2007,2012,"Not tracked: Agriculture"
"24","11321",466502.1626,543758.897075205,2007,2012,"Not tracked: Agriculture"
"25","11331",1969510.6108,2160312.55245297,2007,2012,"Not tracked: Agriculture"
"26","11411",607202.1152,647205.893501543,2007,2012,"Not tracked: Agriculture"
"27","11421",1111666.5709,1221145.35421119,2007,2012,"Not tracked: Agriculture"
"28","11511",8195874.2457,9072449.53319068,2007,2012,"Not tracked: Agriculture"
"29","11521",2413740.3199,2746683.97491248,2007,2012,"Not tracked: Agriculture"
"30","11531",11543869.8305,12702507.9393202,2007,2012,"Not tracked: Agriculture"
"31","23311",797647,915362.634840487,2007,2007,"Reassigned in 2002: Contruction"
"32","23321",17210464,19750360.3396833,2007,2007,"Reassigned in 2002: Contruction"
"33","23322",54817704.625,63010484.6257581,2007,2012,"Reassigned in 2002: Contruction"
"34","23331",85586062,98216733.9912784,2007,2012,"Reassigned in 2002: Contruction"
"35","23332",519684427.7845,598827199.413558,2007,2012,"Reassigned in 2002: Contruction"
"36","23411",11001773,12630008.312819,2007,2012,"Reassigned in 2002: Contruction"
"37","23412",1042075,1195862.97911407,2007,2007,"Reassigned in 2002: Contruction"
"38","23491",1304552,1497075.96970392,2007,2007,"Reassigned in 2002: Contruction"
"39","23492",0,0,2007,2012,"Reassigned in 2002: Contruction"
"40","23493",478311,548899.47211384,2007,2007,"Reassigned in 2002: Contruction"
"41","23499",58129735.493,65734006.1441653,2007,2012,"Reassigned in 2002: Contruction"
"42","23511",11501497.3084,13198954.1061983,2007,2012,"Reassigned in 2002: Contruction"
"43","23521",639589.2397,733978.930112463,2007,2007,"Reassigned in 2002: Contruction"
"44","23531",188716,216566.444801469,2007,2007,"Reassigned in 2002: Contruction"
"45","23542",168881,193804.223089282,2007,2007,"Reassigned in 2002: Contruction"
"46","23551",59186,67920.5875602479,2007,2007,"Reassigned in 2002: Contruction"
"47","23552",-33382,-38308.4691301354,2007,2007,"Reassigned in 2002: Contruction"
"48","23561",12282825,14095507.2297452,2007,2007,"Reassigned in 2002: Contruction"
"49","23571",3899347,4474807.20679367,2007,2007,"Reassigned in 2002: Contruction"
"50","23591",-25616,-29396.3736515951,2007,2007,"Reassigned in 2002: Contruction"
"51","23594",1137179,1305002.29515722,2007,2007,"Reassigned in 2002: Contruction"
"52","23595",995726.4804,1142674.40945605,2007,2007,"Reassigned in 2002: Contruction"
"53","23599",32584030.5809,36900117.7000158,2007,2012,"Reassigned in 2002: Contruction"
"54","23611",1239148798.2128,1398788323.39223,2007,2012,"Uncollated at NAICS 4-5: Construction"
"55","23621",2567258489.9875,2860153082.76043,2007,2012,"Uncollated at NAICS 4-5: Construction"
"56","23622",26847662460.107,29212044363.1785,2007,2012,"Uncollated at NAICS 4-5: Construction"
"57","23711",899350418.7483,986328271.0939,2007,2012,"Uncollated at NAICS 4-5: Construction"
"58","23712",466452462.4431,503464886.262398,2007,2012,"Uncollated at NAICS 4-5: Construction"
"59","23713",607512914.8894,666623494.66165,2007,2012,"Uncollated at NAICS 4-5: Construction"
"60","23721",7052088,7973419.12842758,2007,2012,"Uncollated at NAICS 4-5: Construction"
"61","23731",2569732912.8935,2830894090.73599,2007,2012,"Uncollated at NAICS 4-5: Construction"
"62","23799",7871562679.4163,8591318535.44433,2007,2012,"Uncollated at NAICS 4-5: Construction"
"63","23811",84252447.1479,91812599.8756504,2007,2012,"Uncollated at NAICS 4-5: Construction"
"64","23812",16399760.0861,17743469.5600708,2007,2012,"Uncollated at NAICS 4-5: Construction"
"65","23813",3833884.3,4297399.01709689,2007,2012,"Uncollated at NAICS 4-5: Construction"
"66","23814",22244561.138,24040893.751818,2007,2012,"Uncollated at NAICS 4-5: Construction"
"67","23815",11689191.7331,12995094.3108214,2007,2012,"Uncollated at NAICS 4-5: Construction"
"68","23816",431140219.9299,472539962.416456,2007,2012,"Uncollated at NAICS 4-5: Construction"
"69","23817",14373093.5147,15580548.6872887,2007,2012,"Uncollated at NAICS 4-5: Construction"
"70","23819",249792984.8811,272986384.034422,2007,2012,"Uncollated at NAICS 4-5: Construction"
"71","23821",701144971.5726,754063648.771198,2007,2012,"Uncollated at NAICS 4-5: Construction"
"72","23822",725952842.9411,786499185.333866,2007,2012,"Uncollated at NAICS 4-5: Construction"
"73","23829",162019680.8387,178234370.577432,2007,2012,"Uncollated at NAICS 4-5: Construction"
"74","23831",11943856.8405,12965689.3106966,2007,2012,"Uncollated at NAICS 4-5: Construction"
"75","23832",283624003.2694,306324470.473659,2007,2012,"Uncollated at NAICS 4-5: Construction"
"76","23833",58116412.9764,63723157.7754834,2007,2012,"Uncollated at NAICS 4-5: Construction"
"77","23834",2419183.3975,2709609.92888258,2007,2012,"Uncollated at NAICS 4-5: Construction"
"78","23835",54121146.7222,60953482.8220994,2007,2012,"Uncollated at NAICS 4-5: Construction"
"79","23839",69305431.5394,77421000.4450435,2007,2012,"Uncollated at NAICS 4-5: Construction"
"80","23891",339684217.4386,369090873.154562,2007,2012,"Uncollated at NAICS 4-5: Construction"
"81","23899",1696263417.6129,1841170577.8767,2007,2012,"Uncollated at NAICS 4-5: Construction"
"82","31528",71874,75009.3926111459,2012,2012,"New in 2012: Missing from Economy Stats"
"83","33324",52424.7793,54711.7295971613,2012,2012,"New in 2012: Missing from Economy Stats"
"84","42111",-4903273.0625,-5626891.28127152,2007,2007,"Reassigned in 2002: Warehouse"
"85","42112",163226,187314.666054625,2007,2007,"Reassigned in 2002: Warehouse"
"86","42121",10609,12174.6614643103,2007,2007,"Reassigned in 2002: Warehouse"
"87","42132",-293,-336.240532476475,2007,2007,"Reassigned in 2002: Warehouse"
"88","42133",1050172,1205154.92311223,2007,2007,"Reassigned in 2002: Warehouse"
"89","42141",67773,77774.8450768878,2007,2007,"Reassigned in 2002: Warehouse"
"90","42142",228006,261654.808354372,2007,2007,"Reassigned in 2002: Warehouse"
"91","42143",42566780.0705,48889386.7169248,2007,2012,"Reassigned in 2002: Warehouse"
"92","42145",486344,558117.971081019,2007,2007,"Reassigned in 2002: Warehouse"
"93","42161",197909,227116.134955244,2007,2007,"Reassigned in 2002: Warehouse"
"94","42162",154223.77,176983.899472114,2007,2007,"Reassigned in 2002: Warehouse"
"95","42169",-13309.2998,-13246.6230573861,2007,2012,"Reassigned in 2002: Warehouse"
"96","42181",2576534,2956775.30410833,2007,2007,"Reassigned in 2002: Warehouse"
"97","42183",45087,51740.8767500574,2007,2012,"Reassigned in 2002: Warehouse"
"98","42185",1050000,1204957.53959146,2007,2007,"Reassigned in 2002: Warehouse"
"99","42191",1236338.62,1418800.15957834,2007,2012,"Reassigned in 2002: Warehouse"
"100","42199",3014561,3459445.71953179,2007,2007,"Reassigned in 2002: Warehouse"
"101","42211",-11659,-13379.6190039018,2007,2007,"Reassigned in 2002: Warehouse"
"102","42212",21674288.8804,24863494.0197053,2007,2012,"Reassigned in 2002: Warehouse"
"103","42221",21857886,25083642.4145054,2007,2007,"Reassigned in 2002: Warehouse"
"104","42241",5066603.7048,5813744.05111714,2007,2012,"Reassigned in 2002: Warehouse"
"105","42269",281197.3896,322696.109249484,2007,2007,"Reassigned in 2002: Warehouse"
"106","42271",5999797.1402,6725472.70521635,2007,2012,"Reassigned in 2002: Warehouse"
"107","42292",2379313.8124,2698443.82656224,2007,2012,"Reassigned in 2002: Warehouse"
"108","42294",244934.12,281081.156759238,2007,2007,"Reassigned in 2002: Warehouse"
"109","48211",2740620.3081,3124323.20323747,2007,2012,"Not tracked: Railroads"
"110","49111",67787931.8176,72380283.0756549,2007,2012,"Not tracked: Postal Service"
"111","51321",256431.63,294279.130187152,2007,2012,"Reassigned in 2002: Telecom and Information Services"
"112","51331",113517495.2558,129894232.281864,2007,2012,"Reassigned in 2002: Telecom and Information Services"
"113","51332",978785.9327,1123233.7992885,2007,2007,"Reassigned in 2002: Telecom and Information Services"
"114","51333",354681964.6117,393759893.746644,2007,2012,"Reassigned in 2002: Telecom and Information Services"
"115","51334",10507255.3922,12074052.0220348,2007,2012,"Reassigned in 2002: Telecom and Information Services"
"116","51339",32136601.0405,36879275.9243746,2007,2007,"Reassigned in 2002: Telecom and Information Services"
"117","51412",185291.4492,215226.603340352,2007,2012,"Reassigned in 2002: Telecom and Information Services"
"118","51419",22399102.7913,25786350.1739436,2007,2012,"Reassigned in 2002: Telecom and Information Services"
"119","51421",326025751.0411,373864320.087356,2007,2012,"Reassigned in 2002: Telecom and Information Services"
"120","51611",6947270.9142,7893198.26306267,2007,2012,"Reassigned in 2007: Telecom and Information Services"
"121","51731",49396351.9202,56592818.7851614,2007,2012,"Reassigned in 2007: Telecom and Information Services"
"122","51751",10119270.9079,11625266.4985102,2007,2012,"Reassigned in 2007: Telecom and Information Services"
"123","51811",37835030.5237,42557622.6128603,2007,2012,"Reassigned in 2007: Telecom and Information Services"
"124","52512",70901.0898,80143.6207999306,2007,2012,"Not tracked: Pension and Other Funds"
"125","52519",2542226.875,2653127.60905865,2012,2012,"Not tracked: Pension and Other Funds"
"126","52593",11049,12679.5960523296,2007,2007,"Not tracked: Pension and Other Funds"
"127","61111",56743923.7079,62376408.5012581,2007,2012,"Not tracked: Schools and Universities"
"128","61121",30832891.2697,34880026.3166569,2007,2012,"Not tracked: Schools and Universities"
"129","61131",502356831.2647,553669615.392746,2007,2012,"Not tracked: Schools and Universities"
"130","81311",19920002.574,21590877.6692104,2007,2012,"Not tracked: Religious Organizations"
"131","81393",155184.921,175489.222988392,2007,2012,"Not tracked: Labor Unions and Political Organizations"
"132","81394",700,803.305026394308,2007,2007,"Not tracked: Labor Unions and Political Organizations"
"133","81411",88450.3201,101157.699307697,2007,2012,"Not tracked: Private Households"
"134","92111",6878200.7898,7776737.61417727,2007,2012,"Not tracked: Public Administration"
"135","92112",442734.5122,496524.725268196,2007,2012,"Not tracked: Public Administration"
"136","92113",-632240.2387,-731675.584058085,2007,2012,"Not tracked: Public Administration"
"137","92114",596210,632217.669433838,2007,2012,"Not tracked: Public Administration"
"138","92115",1023995.0555,1102245.06348701,2007,2012,"Not tracked: Public Administration"
"139","92119",2325573264.3989,2641395357.51449,2007,2012,"Not tracked: Public Administration"
"140","92211",66754.8301,73705.5643228469,2007,2012,"Not tracked: Public Administration"
"141","92212",9630885.5824,10729557.1204886,2007,2012,"Not tracked: Public Administration"
"142","92213",1045483.6656,1135508.88782986,2007,2012,"Not tracked: Public Administration"
"143","92214",3497070.5589,3886760.04302481,2007,2012,"Not tracked: Public Administration"
"144","92216",10460751.1616,11427056.7846666,2007,2012,"Not tracked: Public Administration"
"145","92219",1883458.3978,2093434.20535602,2007,2012,"Not tracked: Public Administration"
"146","92311",33339143.5172,36515545.3524504,2007,2012,"Not tracked: Public Administration"
"147","92312",10166083.1743,11405530.1900217,2007,2012,"Not tracked: Public Administration"
"148","92313",3100721.6797,3267868.72602604,2007,2012,"Not tracked: Public Administration"
"149","92314",51651.34,58442.3317293102,2007,2012,"Not tracked: Public Administration"
"150","92411",418612344.8595,440466330.281564,2007,2012,"Not tracked: Public Administration"
"151","92412",25035723.0368,26994174.59968,2007,2012,"Not tracked: Public Administration"
"152","92511",8210870.7667,9261067.55626211,2007,2012,"Not tracked: Public Administration"
"153","92512",167887,193084.548303143,2007,2012,"Not tracked: Public Administration"
"154","92611",94645,102826.641807494,2007,2012,"Not tracked: Public Administration"
"155","92612",454297.2595,501063.987086543,2007,2012,"Not tracked: Public Administration"
"156","92613",375479524.9163,412377803.487303,2007,2012,"Not tracked: Public Administration"
"157","92614",24938,28618.3153546018,2007,2007,"Not tracked: Public Administration"
"158","92615",5964680.0393,6317140.92342853,2007,2012,"Not tracked: Public Administration"
"159","92711",1378571098.6936,1513871645.35704,2007,2012,"Not tracked: Public Administration"
"160","92811",107038500.0095,115697684.971394,2007,2012,"Not tracked: Public Administration"
"161","92812",9921397.9502,10729004.9070714,2007,2012,"Not tracked: Public Administration"
