"NAICS_Code","NAICS_DESCRIPTION","Mismatch","Action.Obligation","Obligation.2016","minyear","maxyear"
"111110",NA,"Not tracked: Agriculture",117248,134551.296763828,2007,2007
"111120",NA,"Not tracked: Agriculture",9391,10776.9107183842,2007,2007
"111130",NA,"Not tracked: Agriculture",3436,3943.08010098692,2007,2007
"111160",NA,"Not tracked: Agriculture",0,0,2007,2007
"111191",NA,"Not tracked: Agriculture",2495,2863.20862979114,2007,2007
"111211",NA,"Not tracked: Agriculture",8175.1802,9381.03819245087,2007,2012
"111331",NA,"Not tracked: Agriculture",0,0,2007,2007
"111332",NA,"Not tracked: Agriculture",384,440.670185907735,2007,2007
"111335",NA,"Not tracked: Agriculture",8850,9236.06762680025,2012,2012
"111421",NA,"Not tracked: Agriculture",232813.2091,276581.664900794,2007,2012
"111422",NA,"Not tracked: Agriculture",62467.8401,69483.0284874234,2007,2012
"111920",NA,"Not tracked: Agriculture",1069,1226.76153316502,2007,2007
"111940",NA,"Not tracked: Agriculture",83593.3096,88420.3497633727,2007,2012
"111992",NA,"Not tracked: Agriculture",11940,13702.0885930686,2007,2007
"111998",NA,"Not tracked: Agriculture",260241.2799,296808.467563838,2007,2012
"112111",NA,"Not tracked: Agriculture",-1,-1.0436234606554,2012,2012
"112112",NA,"Not tracked: Agriculture",22304.2195,23277.2067418076,2012,2012
"112120",NA,"Not tracked: Agriculture",262143.8403,300830.66364471,2007,2007
"112210",NA,"Not tracked: Agriculture",244231,277580.273614741,2007,2012
"112390",NA,"Not tracked: Agriculture",11100,11584.2204132749,2007,2012
"112410",NA,"Not tracked: Agriculture",16560,19003.9017672711,2007,2007
"112420",NA,"Not tracked: Agriculture",1319801,1444731.98590215,2007,2012
"112511",NA,"Not tracked: Agriculture",595069.5,639464.728592988,2007,2012
"112512",NA,"Not tracked: Agriculture",858298.11,984969.945529418,2007,2012
"112519",NA,"Not tracked: Agriculture",327085.9288,343949.269451984,2007,2012
"112910",NA,"Not tracked: Agriculture",14879,17074.8221253156,2007,2007
"112920",NA,"Not tracked: Agriculture",38013.8401,40126.1074913721,2007,2012
"112930",NA,"Not tracked: Agriculture",6488,7213.35816951176,2007,2012
"112990",NA,"Not tracked: Agriculture",4796413.7381,5131268.05805164,2007,2012
"113110","Timber Tract Operations","Not tracked: Agriculture",347629.1553,372833.722408735,2007,2012
"113210","Forest Nurseries and Gathering of Forest Products","Not tracked: Agriculture",466502.1626,543758.897075205,2007,2012
"113310","Logging","Not tracked: Agriculture",1969510.6108,2160312.55245297,2007,2012
"114111","Finfish Fishing","Not tracked: Agriculture",77334.7988,85194.5947853702,2007,2012
"114112","Shellfish Fishing","Not tracked: Agriculture",60000,68854.7165480836,2007,2007
"114119","Other Marine Fishing","Not tracked: Agriculture",469867.3164,493156.58216809,2007,2012
"114210","Hunting and Trapping","Not tracked: Agriculture",1111666.5709,1221145.35421119,2007,2012
"115112","Soil Preparation, Planting, and Cultivating","Not tracked: Agriculture",7933411.6046,8786467.2256712,2007,2012
"115113","Crop Harvesting, Primarily by Machine","Not tracked: Agriculture",16564.0903,19008.595708056,2007,2007
"115114","Postharvest Crop Activities (except Cotton Ginning)","Not tracked: Agriculture",196949.5508,210800.886472882,2007,2012
"115116","Farm Management Services","Not tracked: Agriculture",48949,56172.8253385357,2007,2012
"115210","Support Activities for Animal Production","Not tracked: Agriculture",2413740.3199,2746683.97491248,2007,2012
"115310","Support Activities for Forestry","Not tracked: Agriculture",11543869.8305,12702507.9393202,2007,2012
"233110",NA,"Reassigned in 2002",797647,915362.634840487,2007,2007
"233210",NA,"Reassigned in 2002",17210464,19750360.3396833,2007,2007
"233220",NA,"Reassigned in 2002",54817704.625,63010484.6257581,2007,2012
"233310",NA,"Reassigned in 2002",85586062,98216733.9912784,2007,2012
"233320",NA,"Reassigned in 2002",519684427.7845,598827199.413558,2007,2012
"234110",NA,"Reassigned in 2002",11001773,12630008.312819,2007,2012
"234120",NA,"Reassigned in 2002",1042075,1195862.97911407,2007,2007
"234910",NA,"Reassigned in 2002",1304552,1497075.96970392,2007,2007
"234920",NA,"Reassigned in 2002",0,0,2007,2012
"234930",NA,"Reassigned in 2002",478311,548899.47211384,2007,2007
"234990",NA,"Reassigned in 2002",58129735.493,65734006.1441653,2007,2012
"235110",NA,"Reassigned in 2002",11501497.3084,13198954.1061983,2007,2012
"235210",NA,"Reassigned in 2002",639589.2397,733978.930112463,2007,2007
"235310",NA,"Reassigned in 2002",188716,216566.444801469,2007,2007
"235420",NA,"Reassigned in 2002",168881,193804.223089282,2007,2007
"235510",NA,"Reassigned in 2002",59186,67920.5875602479,2007,2007
"235520",NA,"Reassigned in 2002",-33382,-38308.4691301354,2007,2007
"235610",NA,"Reassigned in 2002",12282825,14095507.2297452,2007,2007
"235710",NA,"Reassigned in 2002",3899347,4474807.20679367,2007,2007
"235910",NA,"Reassigned in 2002",-25616,-29396.3736515951,2007,2007
"235940",NA,"Reassigned in 2002",1137179,1305002.29515722,2007,2007
"235950",NA,"Reassigned in 2002",995726.4804,1142674.40945605,2007,2007
"235990",NA,"Reassigned in 2002",32584030.5809,36900117.7000158,2007,2012
