"SubCustomer","PlatformPortfolio","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Army","Other Knowledge Based",6634173.21,21718705.7,121399611.86,321154038.92,512179233.44,602418928.09,1527324003.78,9898619093.7,6708826075.82,3716726505.02,4028388461.88,747452455.45
"Army","Other Services",,,,,,,,,649277495.87,1998470.32,-378066286.64,
"Army","Other Products",,,,,57335,25981140.04,134059084.94,114414520.72,442251688.5,281271207.55,542194017.74,27941324.29
"Army","Facilities & Construction",,,,,,,1997044.4,1413597,14001463.31,38183592.91,47868841.28,-1786178.95
"Army","Electronics, Comms & Sensors",1270461,1136000,1118000,1772800,81573195.4,104713791.2,324534955.93,337864515.94,518384203.76,376313670.94,1204827901.27,89368206.9
"Army","Ordnance & Missiles",285893757.01,446685336.9,500789364.93,578938636.39,946511490.71,2165769171.64,2791440414.12,2448204909.41,2061855779.08,1559625989.32,1462371695.68,147920829.5
"Army","Space Systems",,,,,,7860000,9625152.99,15320477,831547,4080000,2e+06,0
"Army","Land Vehicles",,,,300874,987980,31883117.71,95938894.91,133554084.36,158365073.15,107536767,57267989.38,90544.79
"Army","Ships & Submarines",,,,,,,,,,4150000,12445,
"Army","Aircraft",1.2e+07,-2456382,,,4095000,8422968,62416051,318957791.47,1791737.36,8893052.36,5894996,28440000
