"PricingUCA.sum","PricingUCA","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cost or Effort-Based","Other CB",,1100000,89295524,153439678,284736280,293212419,379000657,368841707,225038575.3265,297867328.8887,380571618.4496,249281127.1314,370571010.3929,689256260.4728,569587857.7763,624464120.1735,561681567.6917,359668019.9251,252881578.3163,291430760.3773,286208820.9104,179707131.5934,33365031.0657,12336288.3498,26115636.016,40634561.38
"Cost or Effort-Based","T&M/LH/FPLOE",,12791791,5018663,1170252,12518844,25696222,22728562,74334137,17291601.3281,69877137.0626,86897963.288,155551541.2775,80998561.861,163033062.0488,50469871.64,10728785.05,6746718.2197,20401844.508,-18396479.6656,-2310949.4779,-835932.0716,-779504.3458,-2033760.1219,66335.6993,90389.7813,
"Crosscutting","Combination or Other",,,,,,,,,272174832.9688,2902168.46,22972193,0,0,,,-381576,,,,,,,,,,
"Crosscutting","UCA",,,,,353933157,432322781,42014424,45808626,78803412,142179099,118206738.77,296844122.75,153006870.5625,372395189.6768,219580476.1526,60681772.1575,1095621301.76,867555534.4475,1473245361.6387,1623313093.1022,424234260.8034,692344242.9375,766341154.4453,1006796993,782825386,1478992813
"Crosscutting",,,,,,,,,,,5413046.5449,-2900012.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fixed-Price","FFP",17166093,134865087,297608201,289646699,224872357,487772496,521237578,1033651068.2188,1581313924.9739,1876713846.6357,1751220870.8647,2086406370.3549,2344666622.2785,4450829276.081,5014552162.9142,4598361186.3978,3996686783.1119,3447634021.2785,2511584011.7484,1642279574.761,1690407810.139,2550091507.0154,2331780865.196,2071721892.9373,2566090000.1079,1779210414.13
"Fixed-Price","FP-Econ. Price Adj.",,,,,,,0,27820699,0,34936373.28,-4012831.54,31582493,39331383.2656,43978462.4727,109106625.1,83520659.64,113473256.87,88550250.5469,125147860.002,10462358.08,5680005.17,-12027384.77,-9877514.38,,110515020.46,
"Fixed-Price","Other FP",,,,,,,,,39272199.54,200758000.58,199951729,1303957.375,-722875.9531,-387424.9375,449030.58,-6693,,,,,,,,,,
"Incentive","CB-Incentive",,86182421,80233020,10141221,153065425,173032063,230696082,205584709,237334326,276672330,377937992.6388,387470278.375,406209445.918,602628445.0323,843330132.97,516112980.25,250173018.07,637230209.2003,598572320.8362,462941533.3162,1184321600.754,1299502166.7848,1737306509.3094,385791329.8952,140624504.5038,187020383.48
"Incentive","FP-Incentive",,26183980,22228978,4966568,4197705,112349830,40822056,91681388,1112965,42800000,239339025,196762420.95,1005296.4687,-14991103.8438,24276553,154727539.96,214356483,128702396.875,297907229.2604,712839356.87,963559440.5225,999978011.5354,601602810.8999,356442050,389473407.6679,3685024.18
