"UnmodifiedUltimateDurationCategory","Vehicle.sum7","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"<=2 Months","BOA or BPA",,,,,,,,,,,,,249975,1165333.0605,49080122.34,541408.44,479674.9399,830800,11836,29446,,,-11178.46,,,
"<=2 Months","FSS or GWAC",,,,,,,,,,,,,,,,,3545.14,,,,,,,4786.2899,25276.1298,
"<=2 Months","Multi-Awd.",,,,,,,40495,,18089586.9977,62107227.66,48413139.0899,36634163.6996,41940985.1511,143547451.0677,33014338.3814,3641864.65,181043,-11490.3604,-709000,-500060.6094,-2470507.75,-3788.8601,,,,0
"<=2 Months","Pur. Order",,,,,,,,36809,5737,47640,22048.54,6781.2598,2500,,,,0,71309,101257.3515,84461,230398.95,70814.75,15332,,,
"<=2 Months","Single-Awd.",,,3159094,2480610,918769,9999677,234388,1935456.7366,43091768.8184,114560453.3443,57419506.8328,210546180.9493,129053773.0115,140939152.2605,294300220.87,173085013.28,390065010.0549,112525150.4727,57330743.9605,83722789.9246,281572.9788,275043052.1275,73325929.3095,193140644.2627,223484.9765,-1949182
">1-2 Years","BOA or BPA",,,,,,,,,,,,799264,33810218,535437862,339312493.39,599889113.8763,599300989.592,627281081.73,10477793.8144,-4396458.4704,-21727814.8848,-20164028.0539,-12335756.6899,-1093456.4207,-501240.0577,0
">1-2 Years","Definitive",,,,,15916250,558742,16073180,52090522,196662456.89,283495048.31,312381807.8,438372582.7813,458773576.3078,423745242.2117,367829435.67,301890421.31,572338951.68,204023815.5198,39826843.943,-5505042.34,1077986,-4895473.83,-5894556.32,-167031.17,-784778.23,-2408455.93
">1-2 Years","FSS or GWAC",,,,,,,,,,,99950,,278342,,,,,,,,,,,,,
">1-2 Years","Multi-Awd.",,,,,,,,176720.9063,98299983.8206,160519329.4722,191151079.5201,160620300.9672,133281085.8835,84996381.1818,130298790.1944,75814191.0269,2805354.23,1632289.2738,14146950.6308,-131002.3438,-5440027.25,1334779.08,-37331.1211,,0,0
">1-2 Years","Single-Awd.",,2171974,16947755,123586147,207840405,175113225,196176860,386622061.6875,331332091.7359,672339724.8563,477384144.9434,660637627.0975,385768639.9833,652463248.8706,924013449.5201,385251079.836,784607498.0578,789764368.1153,1071364545.4145,532771424.4934,558477748.5019,419655367.6536,422318198.6999,449343977.265,592991538.2594,851300941.78
">2-4 Years","BOA or BPA",,,,,,,,,,,,14034835,31335583,385488558.48,495764156.3525,381773752.0313,599013636.9203,297218419.1753,41637887.546,-121304.4054,-220639.4702,32374043.4913,-1078516.4409,-125779.6904,-12291.21,-248155.64
">2-4 Years","Definitive",,,,,,,,,124438980,150593455.28,156656440.45,149644608.3974,142254412.5454,36465114.1094,192159409.22,224878075.3719,260149116.3975,364034176.1842,277648278.6935,325155222.43,380213466.53,380192819.31,846821375.18,889807105.57,943229308.53,1147757020
">2-4 Years","FSS or GWAC",,,,,,,969700,-9823,,,,,,,,,,,101551.1875,,,,,,,
">2-4 Years","Multi-Awd.",,,,,,,,9120424,44885733.0725,63501111.2532,140703745.7593,234642251.945,259297860.0262,88421667.9115,73920995.9226,21714396.74,16062739.9489,76613770.2864,74910349.5874,77229066.8473,1999663.6901,2134257.9551,445284.9973,-3857360.5,-1128901.8594,
